seconds_elapsed,dBFS
0.0,-33.13825474780157
0.01,-30.88348172443225
0.02,-34.433191005377985
0.03,-33.81346944968344
0.04,-34.433191005377985
0.05,-36.666097171717716
0.06,-32.64713152768056
0.07,-33.28383172481285
0.08,-34.10434833929267
0.09,-33.633311206064775
0.1,-32.24719895935549
0.11,-31.36032426145334
0.12,-31.291969521423425
0.13,-30.754526593417395
0.14,-29.520716315671613
0.15,-29.885212717795593
0.16,-29.943312530663736
0.17,-29.46536680887903
0.18,-31.844118326588827
0.19,-33.697225325491466
0.2,-31.071089225837348
0.21,-31.004964678676114
0.22,-33.33290467815828
0.23,-30.846441627200385
0.24,-30.077589827248794
0.25,-30.222571223541507
0.26,-32.81936234520502
0.27,-31.109101932626032
0.28,-28.18518075392605
0.29,-29.13288896567622
0.3,-29.68891307192362
0.31,-31.46883763874809
0.32,-29.441753138771766
0.33,-22.72288834418272
0.34,-18.063920577265613
0.35,-17.973188972600042
0.36,-18.642755659532803
0.37,-19.314224073896376
0.38,-17.213920034135754
0.39,-16.695038105241657
0.4,-16.111732350386372
0.41,-17.057619360529152
0.42,-18.32444144371843
0.43,-17.330095055880907
0.44,-17.347656110215663
0.45,-17.881318129561294
0.46,-18.485479692958528
0.47,-18.57500266671337
0.48,-18.881810844117563
0.49,-18.71561282809995
0.5,-18.350709275143792
0.51,-18.313519916266593
0.52,-19.412760464038833
0.53,-21.02815459041814
0.54,-21.630403387025076
0.55,-21.95292424639674
0.56,-22.19183071284162
0.57,-20.34554548646348
0.58,-22.53631931215857
0.59,-21.795054431942535
0.6,-21.187754210095328
0.61,-22.12048132576549
0.62,-21.42810278083283
0.63,-21.553987442786596
0.64,-22.64346569104135
0.65,-22.4691372540001
0.66,-23.757733495448797
0.67,-27.220519236901417
0.68,-26.649299359122725
0.69,-28.52503136309138
0.7,-28.96014184366674
0.71,-28.28093168808774
0.72,-28.39863785273134
0.73,-31.74108165406008
0.74,-33.544614261041836
0.75,-36.73863111839208
0.76,-36.59416392714908
0.77,-35.629012968426615
0.78,-37.98999766606634
0.79,-36.70228843090309
0.8,-37.499369959785916
0.81,-39.47741382026274
0.82,-38.92152050689344
0.83,-37.782191351693506
0.84,-37.98999766606634
0.85,-38.62237421184374
0.86,-37.9480367649525
0.87,-38.24611124679071
0.88,-37.65985285549987
0.89,-38.736214499832904
0.9,-35.581068653661504
0.91,-38.44327735878521
0.92,-34.01073507369288
0.93,-30.17967785420972
0.94,-34.37751203498576
0.95,-32.54540882082786
0.96,-31.782149766681258
0.97,-29.309141560791502
0.98,-30.986164044413698
0.99,-28.3222931454752
1.0,-25.628782347450773
1.01,-28.72537377824186
1.02,-32.56791113817521
1.03,-30.555673400668866
1.04,-31.24347196584827
1.05,-32.48940675940057
1.06,-33.030651160037145
1.07,-34.503295418529525
1.08,-34.847904831909105
1.09,-33.99744373270901
1.1,-33.544614261041836
1.11,-33.27160668459903
1.12,-31.48871382508296
1.13,-34.67389120614498
1.14,-31.91697822351214
1.15,-35.37631472044278
1.16,-35.50174490930948
1.17,-34.03737892783052
1.18,-33.53201688444925
1.19,-32.66989927240235
1.2,-33.04254149678523
1.21,-34.29465713354666
1.22,-34.17183810881801
1.23,-33.67160321358432
1.24,-32.70416318128475
1.25,-35.161078123333866
1.26,-32.959648942013324
1.27,-32.738562789170224
1.28,-33.633311206064775
1.29,-34.58817449434327
1.3,-35.70951298520325
1.31,-33.34521635936638
1.32,-33.95769130799874
1.33,-35.01053900619659
1.34,-33.544614261041836
1.35,-34.349805824450435
1.36,-32.75005966661059
1.37,-32.24719895935549
1.38,-33.684404821853086
1.39,-32.66989927240235
1.4,-34.51738445590585
1.41,-33.198615585838354
1.42,-32.075195524117134
1.43,-32.738562789170224
1.44,-33.25939882645723
1.45,-33.90496950948155
1.46,-33.198615585838354
1.47,-32.33449506740448
1.48,-32.85422214974098
1.49,-31.478770046506295
1.5,-34.906692803452316
1.51,-32.345469029240824
1.52,-33.90496950948155
1.53,-14.850834799768922
1.54,-15.997287661330432
1.55,-17.72896631345452
1.56,-15.257275124386172
1.57,-16.976767330813757
1.58,-18.16204316382609
1.59,-20.238632444712863
1.6,-20.871434713048544
1.61,-22.564762692919746
1.62,-21.640002823962433
1.63,-20.74055494439275
1.64,-20.329011427591293
1.65,-22.236294903383396
1.66,-22.704773864962235
1.67,-22.05307012486349
1.68,-21.347245365347533
1.69,-23.307916827613752
1.7,-22.43398589223275
1.71,-22.305148927342838
1.72,-22.44100479333232
1.73,-23.704783007763798
1.74,-21.62400965126485
1.75,-19.39790855451306
1.76,-18.863186576166
1.77,-22.625515923053683
1.78,-22.58972728718041
1.79,-24.03587176683373
1.8,-25.588335756841637
1.81,-26.14017157042301
1.82,-26.297460164097394
1.83,-24.688331354239807
1.84,-28.15801610430063
1.85,-28.056898668502868
1.86,-29.379095412500188
1.87,-31.4094805309534
1.88,-30.40507286725077
1.89,-29.835720335238488
1.9,-31.53860419566452
1.91,-30.352537084279845
1.92,-31.844118326588827
1.93,-31.46883763874809
1.94,-32.0539326257679
1.95,-32.20387772422533
1.96,-32.0539326257679
1.97,-32.65850794009675
1.98,-32.51176427403059
1.99,-31.53860419566452
2.0,-30.317688934674713
2.01,-32.117878114370846
2.02,-30.17112454023635
2.03,-30.911365824264358
2.04,-31.508635599041092
2.05,-30.352537084279845
2.06,-30.609456170884485
2.07,-30.892766481744005
2.08,-30.370013729286732
2.09,-28.349977279311354
2.1,-28.631782681862894
2.11,-30.855686853872136
2.12,-28.198795003794878
2.13,-26.53605277920001
2.14,-26.09727820109122
2.15,-28.03013165305762
2.16,-25.79247886995649
2.17,-25.36426770905907
2.18,-26.124061724126882
2.19,-25.513002330252384
2.2,-26.36338753668197
2.21,-26.97447758759332
2.22,-27.081638654494856
2.23,-28.356912121706138
2.24,-27.549264044723728
2.25,-29.61642956668795
2.26,-25.513002330252384
2.27,-24.738499404454007
