seconds_elapsed,dBFS
0.0,-30.387525609488854
0.01,-32.50057832317607
0.02,-39.01567741415257
0.03,-42.99923900137636
0.04,-46.787173518080735
0.05,-49.481144996029855
0.06,-51.619029674323
0.07,-51.128170852772485
0.08,-54.891958466351475
0.09,-52.807773431360346
0.1,-55.34523815907035
0.11,-52.57918419574472
0.12,-52.69272685357852
0.13,-52.57918419574472
0.14,-53.53201688444925
0.15,-55.66112350273499
0.16,-53.16234877056899
0.17,-57.63962958760263
0.18,-58.713326766858145
0.19,-56.68417395168261
0.2,-60.76657360480111
0.21,-65.20354859712823
0.22,-67.3864379856296
0.23,-67.3864379856296
0.24,-69.48114499602985
0.25,-67.3864379856296
0.26,-67.3864379856296
0.27,-65.70002027162887
0.28,-61.68172341601461
0.29,-62.3501985257536
0.3,-60.48176482250891
0.31,-62.704773864962235
0.32,-61.68172341601461
0.33,-60.48176482250891
0.34,-57.43994516947061
0.35,-59.42763781218885
0.36,-60.20599913279624
0.37,-60.76657360480111
0.38,-60.20599913279624
0.39,-58.713326766858145
0.4,-58.94496421785445
0.41,-58.26779887263511
0.42,-57.63962958760263
0.43,-56.32959861247397
0.44,-55.19150158574453
0.45,-54.60240199897902
0.46,-54.891958466351475
0.47,-52.24719895935549
0.48,-52.57918419574472
0.49,-56.32959861247397
0.5,-59.18294868384861
0.51,-55.66112350273499
0.52,-55.823481307178575
0.53,-60.76657360480111
0.54,-58.94496421785445
0.55,-61.36583807234997
0.56,-61.68172341601461
0.57,-56.15759517723562
0.58,-56.15759517723562
0.59,-56.86704154048
0.6,-62.704773864962235
0.61,-61.68172341601461
0.62,-62.3501985257536
0.63,-59.18294868384861
0.64,-61.06103874121523
0.65,-59.42763781218885
0.66,-57.24474842368748
0.67,-56.68417395168261
0.68,-54.745973691521485
0.69,-57.844012891236346
0.7,-57.844012891236346
0.71,-59.67942035834925
0.72,-62.3501985257536
0.73,-66.78717351808073
0.74,-63.86461280451597
0.75,-63.46054508275023
0.76,-63.46054508275023
0.77,-64.73392668013777
0.78,-65.20354859712823
0.79,-60.20599913279624
0.8,-62.009531739778
0.81,-63.46054508275023
0.82,-61.06103874121523
0.83,-62.704773864962235
0.84,-61.06103874121523
0.85,-60.48176482250891
0.86,-60.76657360480111
0.87,-59.42763781218885
0.88,-58.94496421785445
0.89,-58.26779887263511
0.9,-55.98893182649837
0.91,-54.891958466351475
0.92,-50.939339728115655
0.93,-49.64052358945536
0.94,-47.141748857289365
0.95,-47.02194158350561
0.96,-45.85466927624269
0.97,-44.96556413113407
0.98,-45.44823772546847
0.99,-42.81403177899228
1.0,-42.280987883563476
1.01,-41.5539874427866
1.02,-39.03937699130614
1.03,-37.927132086659505
1.04,-36.94128036539435
1.05,-34.995627604014075
1.06,-35.32974147407113
1.07,-35.69335318586658
1.08,-34.906692803452316
1.09,-33.95769130799874
1.1,-34.29465713354666
1.11,-33.722923242573856
1.12,-33.48180929009726
1.13,-32.76157178179887
1.14,-31.83375948262035
1.15,-32.075195524117134
1.16,-31.896098671058603
1.17,-31.75133049258022
1.18,-31.19524369292424
1.19,-31.282248323276
1.2,-31.11863115973439
1.21,-30.29164426856982
1.22,-29.51278761622735
1.23,-29.95164431992424
1.24,-29.600403935503394
1.25,-29.672753272586945
1.26,-28.85664916828962
1.27,-26.3248691159612
1.28,-21.462539584282865
1.29,-19.615787182625468
1.3,-19.87577839695289
1.31,-20.38147761894634
1.32,-21.362736522722994
1.33,-19.83667031810694
1.34,-21.652818598530992
1.35,-18.935579138996424
1.36,-20.56340237033298
1.37,-19.83667031810694
1.38,-18.29825281190498
1.39,-20.70598419372875
1.4,-20.708859840051343
1.41,-21.254874168973778
1.42,-22.465615709399636
1.43,-25.003206181977756
1.44,-22.339781707029893
1.45,-22.832375797717752
1.46,-25.09326532609483
1.47,-30.370013729286732
1.48,-32.37847434940325
1.49,-30.8003625290091
1.5,-28.79805947134374
1.51,-31.156852957992452
1.52,-31.679841285414255
1.53,-25.2713696081438
1.54,-29.004876138108116
