seconds_elapsed,dBFS
0.0,-50.05225420509091
0.01,-48.945281464271126
0.02,-49.01983891465598
0.03,-44.82584171392076
0.04,-40.94205209095121
0.05,-38.75916270244985
0.06,-40.34278762340235
0.07,-43.66022950088225
0.08,-43.94773199993912
0.09,-50.573564013869465
0.1,-44.68833135423981
0.11,-48.164799306236986
0.12,-51.92743685167287
0.13,-49.885212717795596
0.14,-43.86461280451597
0.15,-41.12114894400974
0.16,-37.9480367649525
0.17,-40.37040573773005
0.18,-38.333188563932055
0.19,-41.273269988708556
0.2,-37.80274967996088
0.21,-40.23318503805073
0.22,-39.88623702511363
0.23,-36.612091466306104
0.24,-42.110336232568464
0.25,-40.31525704682628
0.26,-39.75640068176758
0.27,-42.63269137958573
0.28,-44.463877272064835
0.29,-46.5585842824651
0.3,-48.23292428007521
0.31,-47.83196587985263
0.32,-51.92743685167287
0.33,-51.619029674323
0.34,-53.28383172481285
0.35,-51.92743685167287
0.36,-51.32119856629609
0.37,-50.48447718534446
0.38,-52.13929832162136
0.39,-53.65882044506962
0.4,-51.92743685167287
0.41,-52.467106645384746
0.42,-50.663574038402984
0.43,-51.22414851040786
0.44,-50.39629480724336
0.45,-50.39629480724336
0.46,-50.84644162720038
0.47,-51.22414851040786
0.48,-49.64052358945536
0.49,-49.64052358945536
0.5,-51.619029674323
0.51,-53.16234877056899
0.52,-52.92436430457484
0.53,-47.3864379856296
0.54,-48.301587796843094
0.55,-46.787173518080735
0.56,-44.55296410058984
0.57,-42.246588275678
0.58,-42.41996508267003
0.59,-41.12114894400974
0.6,-38.992042325724
0.61,-39.182948683848615
0.62,-39.1108661984721
0.63,-37.80274967996088
0.64,-40.9125583796311
0.65,-38.074532539047524
0.66,-39.628476578071655
0.67,-38.01105437853166
0.68,-40.28781345483932
0.69,-41.9098837293992
0.7,-45.34953337195822
0.71,-45.49801373354236
0.72,-49.17090167246491
0.73,-49.56046874038188
0.74,-50.663574038402984
0.75,-51.32119856629609
0.76,-54.745973691521485
0.77,-54.891958466351475
0.78,-54.32218771012272
0.79,-55.50174490930948
0.8,-52.807773431360346
0.81,-52.03272165152002
0.82,-55.823481307178575
0.83,-55.50174490930948
0.84,-56.32959861247397
0.85,-54.60240199897902
0.86,-57.63962958760263
0.87,-53.918119988356985
0.88,-52.92436430457484
0.89,-51.518613646821976
0.9,-49.80288139389895
0.91,-49.80288139389895
0.92,-48.510896470406394
