seconds_elapsed,dBFS
0.0,-42.96188027867397
0.01,-43.82334959324051
0.02,-46.67212694029891
0.03,-46.729459753330964
0.04,-46.50236473578853
0.05,-47.7669027318982
0.06,-45.10757093949286
0.07,-45.59842976104338
0.08,-43.782281480619325
0.09,-44.03165429181129
0.1,-48.164799306236986
0.11,-47.7669027318982
0.12,-44.779762615729474
0.13,-42.41996508267003
0.14,-41.30401653280713
0.15,-41.1816780366135
0.16,-42.7410406802316
0.17,-45.05997690458577
0.18,-44.779762615729474
0.19,-43.66022950088225
0.2,-41.61762061851039
0.21,-44.24507755078458
0.22,-45.05997690458577
0.23,-46.28105621278533
0.24,-43.989591790056004
0.25,-42.56120217241977
0.26,-44.68833135423981
0.27,-41.459403317905384
0.28,-39.20710972762797
0.29,-34.37751203498576
0.3,-34.19898153602635
0.31,-31.214502879613097
0.32,-29.379095412500188
0.33,-28.9824801919536
0.34,-30.378765256110782
0.35,-31.761591438413884
0.36,-31.11863115973439
0.37,-35.04043882793561
0.38,-36.072854118370536
0.39,-37.53921356010161
0.4,-37.59932376289611
0.41,-41.30401653280713
0.42,-37.88547306369365
0.43,-36.73863111839208
0.44,-33.235034463670864
0.45,-32.37847434940325
0.46,-33.407037898909216
0.47,-31.548616749670153
0.48,-31.379953398932898
0.49,-31.282248323276
0.5,-31.937908088188884
0.51,-30.154043139179556
0.52,-30.33509553296124
0.53,-29.23974660068525
0.54,-27.492555097008147
0.55,-28.81998432010253
0.56,-28.790763469538803
0.57,-29.592402194137794
0.58,-30.154043139179556
0.59,-30.52000234586052
0.6,-30.87420688143879
0.61,-31.82341297795672
0.62,-31.24347196584827
0.63,-31.761591438413884
0.64,-32.03272165152002
0.65,-35.29883080216743
0.66,-37.12970184590566
0.67,-39.80810255845745
0.68,-40.59457016956276
0.69,-39.47741382026274
0.7,-37.20623000296671
0.71,-37.579240772127044
0.72,-37.42022690983759
0.73,-37.927132086659505
0.74,-36.191724453515974
0.75,-35.80710827756498
0.76,-32.422677445505585
