seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-90.30899869919435
0.15,-41.876920161797734
0.16,-27.741013324838228
0.17,-23.492187702947724
0.18,-23.64005320925935
0.19,-22.416463413750172
0.2,-22.82136473817671
0.21,-22.872869529046042
0.22,-24.44616903017574
0.23,-24.679240940392727
0.24,-25.290844705177236
0.25,-24.227809374842373
0.26,-23.429017318051134
0.27,-24.503853311303992
0.28,-23.93521330023944
0.29,-24.96087032413627
0.3,-24.665623133101526
0.31,-25.305479737515853
0.32,-25.45817013322667
0.33,-23.19613769477698
0.34,-24.086641845944246
0.35,-23.331224237765596
0.36,-22.88025235111234
0.37,-23.249920464992606
0.38,-23.960268768492373
0.39,-23.42115322549214
0.4,-23.165553544733687
0.41,-23.83158656838418
0.42,-23.52792398501157
0.43,-22.448029370858794
0.44,-22.969339179637338
0.45,-23.757733495448797
0.46,-23.397603578066516
0.47,-23.28854164751188
0.48,-22.65425338396775
0.49,-22.26721168775242
0.5,-22.579019388181294
0.51,-21.7820272234442
0.52,-21.35343851330193
0.53,-20.950919768738352
0.54,-21.239574024735642
0.55,-21.791795797637548
0.56,-21.873630675055878
0.57,-22.219166344020636
0.58,-22.10357941415067
0.59,-22.693923283116355
0.6,-21.169538426478
0.61,-23.070666325821488
0.62,-23.35069496916053
0.63,-22.550529359725623
0.64,-21.5223448225891
0.65,-21.691379770136532
0.66,-21.79831428922909
0.67,-23.58380765891049
0.68,-23.939384195704008
0.69,-23.57180228085817
0.7,-21.573028494558283
0.71,-23.18465601479965
0.72,-22.181601989809007
0.73,-22.543421430001573
0.74,-23.559813473381233
0.75,-21.72364537053099
0.76,-23.848083989560326
0.77,-23.03675910135147
0.78,-21.531825510783122
0.79,-22.504431449811758
0.8,-22.64706010021247
0.81,-22.391991178818735
0.82,-22.690309432580314
0.83,-23.81923403304123
0.84,-24.36692569620923
0.85,-23.055580104681013
0.86,-20.9953944672288
0.87,-22.9246815509915
0.88,-24.345041356998056
0.89,-22.353673576665358
0.9,-25.608535509289887
0.91,-22.490296557126776
0.92,-22.806705005349855
0.93,-23.476351983633272
0.94,-21.175606110719208
0.95,-22.781109858449035
0.96,-23.56380790418884
0.97,-23.448708756179006
0.98,-22.419965082670032
0.99,-23.131274611076975
1.0,-22.636281331956766
1.01,-23.956087834771186
1.02,-24.06121971178252
1.03,-22.686697084997345
1.04,-22.298238911355433
1.05,-21.89009058075491
1.06,-21.88679610332567
1.07,-24.03165429181129
1.08,-22.708393739837746
1.09,-23.03299978961217
1.1,-22.607603172555663
1.11,-21.70104687145502
1.12,-22.298238911355433
1.13,-22.657852261018636
1.14,-21.70104687145502
1.15,-21.63360202069704
1.16,-22.618346389309387
1.17,-24.258051249444645
1.18,-22.36410707898663
1.19,-25.533027444916016
1.2,-24.965564131134084
1.21,-26.798762431925404
1.22,-23.20763457221734
1.23,-22.836049255010003
1.24,-24.98436476539649
1.25,-22.777459558064116
1.26,-23.089561024675636
1.27,-24.548487991427102
1.28,-23.31567901726176
1.29,-23.234519947415375
1.3,-23.04428260952048
1.31,-24.46830997929963
1.32,-24.297089021395088
1.33,-22.766517852265235
1.34,-21.052057982560882
1.35,-22.984276224828495
1.36,-21.28862965608521
1.37,-21.516030107924884
1.38,-24.46830997929963
1.39,-24.052762174952594
1.4,-21.717182654728326
1.41,-23.385852654554192
1.42,-25.954057233938485
1.43,-23.66427038936549
1.44,-24.402055732521998
1.45,-22.511507531374647
1.46,-25.247086982213727
1.47,-24.890765910984733
1.48,-22.586156520577987
1.49,-24.327573498646164
1.5,-25.295720309929486
1.51,-24.406456994150535
1.52,-23.342901438231145
1.53,-24.606858107858116
1.54,-22.9805395546749
1.55,-26.374424246728623
1.56,-22.315524269573594
1.57,-21.933032887387284
1.58,-22.076604579929754
1.59,-21.09404786231042
1.6,-21.4187345725135
1.61,-21.550817988404386
1.62,-21.239574024735642
1.63,-21.85063908384111
1.64,-20.66582479096883
1.65,-21.85063908384111
1.66,-20.915503248158394
1.67,-21.550817988404386
1.68,-21.762522972049414
1.69,-21.531825510783122
1.7,-21.72364537053099
1.71,-21.4187345725135
1.72,-20.92434384906211
1.73,-21.942972872799448
1.74,-21.462539584282865
1.75,-20.746330137184007
1.76,-22.85443988148245
1.77,-20.783962779053688
1.78,-23.142685897550443
1.79,-22.16798240310935
1.8,-22.72288834418272
1.81,-21.808101208166583
1.82,-23.066892313318895
1.83,-22.832375797717752
1.84,-23.41722384762008
1.85,-22.398976213081838
1.86,-21.643204995293843
1.87,-22.665054491645282
1.88,-21.257937434615847
1.89,-20.974611265562384
1.9,-22.147592981450646
1.91,-21.450001307637123
1.92,-23.22298745228716
1.93,-21.163474977967844
1.94,-22.984276224828495
1.95,-24.116395350676385
1.96,-22.81403177899228
1.97,-24.078159531170456
1.98,-22.9246815509915
1.99,-21.74630281861858
2.0,-20.792670438567995
2.01,-20.181604357284275
2.02,-21.00431679943407
2.03,-22.965608928500743
2.04,-24.00639235552232
2.05,-21.331781787045543
2.06,-20.95979650904908
2.07,-19.265371922407642
2.08,-19.385551332855506
2.09,-21.37514937176381
2.1,-23.257630975608183
2.11,-34.51738445590585
2.12,-34.419237766010966
2.13,-34.433191005377985
2.14,-34.86256456473596
2.15,-33.198615585838354
2.16,-32.55665269247964
2.17,-32.75005966661059
2.18,-32.738562789170224
2.19,-33.30833354539897
2.2,-32.76157178179887
2.21,-32.51176427403059
2.22,-32.29073734444098
2.23,-31.875269189522314
2.24,-29.520716315671613
2.25,-28.356912121706138
2.26,-60.20599913279624
2.27,-61.06103874121523
2.28,-61.06103874121523
2.29,-61.68172341601461
2.3,-44.41967417596249
2.31,-35.565145845099615
2.32,-28.00344687127633
2.33,-23.512023038441615
2.34,-22.79938440682291
2.35,-23.097130427889383
2.36,-23.668313158643993
