seconds_elapsed,dBFS
0.0,-57.63962958760263
0.01,-48.72537377824186
0.02,-45.802813064677096
0.03,-44.03165429181129
0.04,-41.522344822589105
0.05,-38.465463551277026
0.06,-39.628476578071655
0.07,-37.28343841923147
0.08,-34.789512076606975
0.09,-33.878728131098896
0.1,-35.25267007542893
0.11,-32.04332066398599
0.12,-31.518613646821983
0.13,-34.15829813781729
0.14,-33.5068768100592
0.15,-32.4005477784062
0.16,-30.01858792403588
0.17,-29.75385460538329
0.18,-31.109101932626032
0.19,-31.05214507516951
0.2,-29.072412553300374
0.21,-28.82730491862948
0.22,-29.004876138108116
0.23,-33.544614261041836
0.24,-30.911365824264358
0.25,-30.282980038785997
0.26,-34.68825992677172
0.27,-31.023806095257378
0.28,-28.043504849907347
0.29,-28.050199177512752
0.3,-32.78464188736151
0.31,-30.069136406009214
0.32,-30.663574038402984
0.33,-29.640523589455363
0.34,-30.718031205112453
0.35,-30.663574038402984
0.36,-30.911365824264358
0.37,-28.812669886290863
0.38,-28.454585805512373
0.39,-27.92388091363562
0.4,-27.910690494034537
0.41,-22.726515777786524
0.42,-25.583293150233786
0.43,-25.369184714363364
0.44,-27.599984712284076
0.45,-25.959319814916235
0.46,-27.70232332929423
0.47,-26.915510018018217
0.48,-24.455018638315764
0.49,-25.558123936336866
0.5,-26.264683183171726
0.51,-28.72537377824186
0.52,-28.15801610430063
0.53,-33.89183891040035
0.54,-29.86868390283995
0.55,-26.31938040194724
0.56,-27.039807663794555
0.57,-28.070313172540725
0.58,-27.039807663794555
0.59,-25.643998508372352
0.6,-31.379953398932898
0.61,-28.67485329724737
0.62,-28.356912121706138
0.63,-27.087630989770865
0.64,-30.422655645801623
0.65,-26.468806846120955
0.66,-24.74307453736888
0.67,-25.67451103262403
0.68,-28.41259109209836
0.69,-33.456813906983115
0.7,-28.761640593511224
0.71,-28.391669629623504
0.72,-30.967404016304414
0.73,-24.120654183631558
0.74,-30.094521391358896
0.75,-30.188239599248014
0.76,-27.62545654765903
0.77,-30.672626555781086
0.78,-31.24347196584827
0.79,-29.449617231330755
0.8,-29.77016614001377
0.81,-30.449096730567526
0.82,-31.710407497502597
0.83,-31.340739383622335
0.84,-28.87135855307185
0.85,-26.752499261900724
0.86,-27.423743223954546
0.87,-25.78731637967788
0.88,-28.510896470406397
0.89,-30.63647295670367
0.9,-29.057359014631096
0.91,-29.934988725869488
0.92,-27.349292285518256
0.93,-27.792869536403817
0.94,-31.17602711509029
0.95,-30.939339728115655
0.96,-29.97668774805081
0.97,-28.454585805512373
0.98,-27.17801567255873
0.99,-27.263231811533227
1.0,-29.270520378272224
1.01,-30.618452432318502
1.02,-27.281601694245147
1.03,-29.13288896567622
1.04,-29.835720335238488
1.05,-32.912634539607794
1.06,-29.632484820128152
1.07,-32.225511333511086
1.08,-30.754526593417395
1.09,-29.16328581083006
1.1,-33.22287786317275
1.11,-32.4005477784062
1.12,-33.67160321358432
1.13,-33.826482020863374
1.14,-32.48940675940057
1.15,-30.827980643336808
1.16,-28.52503136309138
1.17,-27.027892861325324
1.18,-29.43389615982077
1.19,-30.19680979198875
1.2,-29.985051628945577
1.21,-28.703686152397463
1.22,-29.27823088888781
1.23,-29.019838914655985
1.24,-30.17967785420972
1.25,-28.110681438718494
1.26,-27.90410278826705
1.27,-29.70510299205933
1.28,-27.676625412211845
1.29,-27.306155462223188
1.3,-27.349292285518256
1.31,-26.091931392896495
1.32,-26.541680177931394
1.33,-27.97020576817924
1.34,-26.592491506935115
1.35,-26.402077532225967
1.36,-21.02815459041814
1.37,-21.409376457435464
1.38,-22.444516371968408
1.39,-20.900788879675744
1.4,-21.049066458633234
1.41,-22.683086239117838
1.42,-22.277541785665438
1.43,-17.384846455060654
1.44,-20.04464669783558
1.45,-18.164188622559504
1.46,-17.810986655104553
1.47,-22.448029370858794
1.48,-18.40127908301152
1.49,-19.101300239754046
1.5,-17.77193040585984
1.51,-18.07878095666123
1.52,-18.860861348033243
1.53,-16.03079161661525
1.54,-14.371963718196616
1.55,-15.86454941979975
1.56,-12.974983578344377
1.57,-18.01949137738645
1.58,-14.38167559964393
1.59,-15.278797693793532
1.6,-19.417716749273495
1.61,-12.524085481334765
1.62,-15.816928391260024
1.63,-17.96479680804568
1.64,-20.02070028758698
1.65,-15.360762541465892
1.66,-16.808103980076503
1.67,-15.025476051387743
1.68,-15.816928391260024
1.69,-13.633311206064779
1.7,-12.431545123292729
1.71,-11.100534557637767
1.72,-11.328032852881083
1.73,-8.896421818165804
1.74,-7.7948201797413
1.75,-9.648569805536145
1.76,-11.094827665423226
1.77,-10.866794131137747
1.78,-12.184453438147179
1.79,-10.906712253492417
1.8,-11.36915188422691
1.81,-10.822449990722019
1.82,-9.718888190662819
1.83,-13.157524616244443
1.84,-11.709386888884062
1.85,-12.243942361315188
1.86,-12.923190615006387
1.87,-10.80312039207023
1.88,-12.12751067117627
1.89,-10.201098061460234
1.9,-11.360324261453343
1.91,-9.776699340500846
1.92,-8.802440015929184
1.93,-11.589789319411029
1.94,-11.212575038158494
1.95,-9.070152858632628
1.96,-9.001139467954527
1.97,-8.311244150965022
1.98,-9.699433086746193
1.99,-8.386795197502435
2.0,-8.71669222865549
2.01,-8.365935702275161
2.02,-6.59079299838007
2.03,-6.534365270279494
2.04,-5.816265925565553
2.05,-6.308961391062322
2.06,-7.148990116264887
2.07,-8.617473140507737
2.08,-7.854198839947207
2.09,-11.274479190702518
2.1,-7.591087187913974
2.11,-10.49157060316464
2.12,-9.397063261842781
2.13,-7.94436573265381
2.14,-8.866207434399554
2.15,-12.408286750147903
2.16,-11.150151990286265
2.17,-8.998151288811588
2.18,-9.650179943577285
2.19,-8.46792657068485
2.2,-8.39654679876191
2.21,-8.814132280374302
2.22,-9.064882522800106
2.23,-9.800423471049536
2.24,-11.316320223209111
2.25,-11.427245110885673
2.26,-10.41298071330228
2.27,-8.267874847690583
2.28,-8.71741535979174
2.29,-8.46230690877394
2.3,-7.92850229689871
2.31,-8.34512618192859
2.32,-10.583419581074534
2.33,-9.629271394402242
2.34,-8.946766358648288
