seconds_elapsed,dBFS
0.0,-46.61517008284237
0.01,-46.06524661111521
0.02,-43.22682991624633
0.03,-47.08163865449485
0.04,-46.118698408341736
0.05,-45.85466927624269
0.06,-41.00134167022599
0.07,-40.82467341766925
0.08,-40.9125583796311
0.09,-44.96556413113407
0.1,-43.94773199993912
0.11,-40.76657360480111
0.12,-40.01804364598864
0.13,-38.42114769168582
0.14,-34.349805824450435
0.15,-27.956944865392668
0.16,-37.51926891382263
0.17,-41.1816780366135
0.18,-26.491164360750965
0.19,-33.826482020863374
0.2,-3.8712331475484154
0.21,-10.575355103604245
0.22,-18.909822337262476
0.23,-23.24606777491477
0.24,-24.701984838274242
0.25,-24.74765208142111
0.26,-22.839724266546977
0.27,-20.082028389390096
0.28,-21.091041844063398
0.29,-23.802791264973134
0.3,-23.4882260656439
0.31,-24.21057546117652
0.32,-24.16763968596839
0.33,-22.75195031905927
0.34,-26.0121217382404
0.35,-27.349292285518256
0.36,-36.072854118370536
0.37,-39.75640068176758
0.38,-42.043003417569324
0.39,-41.5539874427866
0.4,-45.64907649135128
0.41,-47.08163865449485
0.42,-42.88764145375963
0.43,-46.28105621278533
0.44,-47.574587356066225
0.45,-51.82341297795672
0.46,-50.22257122354151
0.47,-50.30899869919435
0.48,-51.03324215228325
0.49,-49.96833191321875
0.5,-50.754526593417395
0.51,-48.301587796843094
0.52,-47.08163865449485
0.53,-46.61517008284237
0.54,-42.9246815509915
0.55,-36.45206031364975
0.56,-43.7414066304196
0.57,-44.779762615729474
0.58,-46.012121738240396
0.59,-43.86461280451597
0.6,-43.86461280451597
0.61,-36.243171136821125
0.62,-41.81136596657302
0.63,-24.499402432580894
0.64,-26.022720750706362
0.65,-18.660912738813796
0.66,-15.064433013464868
0.67,-13.635858761336912
0.68,-12.760419883429963
0.69,-4.7138352431448975
0.7,-11.54360902993613
0.71,-16.38536695582388
0.72,-16.87628676715176
0.73,-16.537043197570963
0.74,-19.512427531636394
0.75,-21.18471559203458
0.76,-22.069873940586326
0.77,-23.977012657317136
0.78,-23.993788885879663
0.79,-34.433191005377985
0.8,-33.247208102157046
0.81,-32.624423306542276
0.82,-37.302848236555626
0.83,-41.942972872799444
0.84,-40.20599913279624
0.85,-32.04332066398599
0.86,-28.349977279311354
0.87,-30.976778965555667
0.88,-33.569863958003346
0.89,-34.96588137755075
0.9,-42.81403177899228
