seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-46.729459753330964
0.09,-45.05997690458577
0.1,-44.733926680137785
0.11,-45.05997690458577
0.12,-45.49801373354236
0.13,-44.28839878591474
0.14,-42.96188027867397
0.15,-47.32461644608676
0.16,-44.508306471944
0.17,-46.22659904607586
0.18,-42.9246815509915
0.19,-44.37569489396373
0.2,-44.779762615729474
0.21,-43.22682991624633
0.22,-45.01264223900363
0.23,-43.539868827102254
0.24,-31.350526302559825
0.25,-24.159077940930096
0.26,-23.82746710440463
0.27,-22.81036761963059
0.28,-20.671550492981087
0.29,-22.353673576665358
0.3,-19.91243882367998
0.31,-16.443255559081248
0.32,-13.87479875322683
0.33,-16.037507943752964
0.34,-8.648985307663693
0.35,-10.448214063056167
0.36,-12.06774758742431
0.37,-13.059215361076415
0.38,-12.481595205271393
0.39,-14.297406267811754
0.4,-14.912593543922515
0.41,-16.115121304638517
0.42,-19.001488644912882
0.43,-16.85042489033991
0.44,-16.40462032109134
0.45,-17.298962801627017
0.46,-16.56377177432423
0.47,-15.462353052051391
0.48,-15.3096370290063
0.49,-15.826759619970115
0.5,-16.684173951682613
0.51,-17.37308492362497
0.52,-18.747681022472527
0.53,-17.32230152495152
0.54,-17.680123318930917
0.55,-14.717068874037867
0.56,-14.86696731365412
0.57,-16.241451328947363
0.58,-16.517494383995594
0.59,-14.15424025891234
0.6,-11.785237717050238
0.61,-9.867858287171057
0.62,-14.842047859577898
0.63,-19.552616797728874
0.64,-18.26128689709225
0.65,-20.757892055214736
0.66,-20.88023055140837
0.67,-20.162677897666086
0.68,-25.959319814916235
0.69,-26.740971868519253
0.7,-30.222571223541507
0.71,-30.326387873446933
0.72,-33.44434313723417
0.73,-29.860431275484626
0.74,-29.893488935323198
0.75,-34.51738445590585
0.76,-31.896098671058603
0.77,-32.56791113817521
0.78,-32.37847434940325
0.79,-35.581068653661504
0.8,-29.993423571413533
0.81,-21.0072929480457
0.82,-19.59552263067935
0.83,-15.738676603999021
0.84,-18.06604193266462
0.85,-12.660785011714996
0.86,-14.911117982950977
0.87,-16.3365501051524
0.88,-14.429002679504947
0.89,-14.79533371867348
0.9,-17.27181331425538
0.91,-19.022780499982304
0.92,-18.06604193266462
0.93,-17.42613768899598
0.94,-15.677223395459583
0.95,-16.169525175670792
0.96,-20.763678790697305
0.97,-20.2440832698921
0.98,-18.851566655184754
0.99,-18.359482901786805
1.0,-19.532498920436282
1.01,-18.867838900668264
1.02,-18.59527313014442
1.03,-20.192438022097633
1.04,-18.624636456846257
1.05,-19.802918500029577
1.06,-19.705004735132714
1.07,-18.830689890763345
1.08,-18.872493718377775
1.09,-20.068659309271823
1.1,-21.046075964667367
1.11,-21.02815459041814
1.12,-24.112138604872943
1.13,-22.543421430001573
1.14,-21.103072164044853
1.15,-19.844477859880335
1.16,-20.138404319768625
1.17,-18.207209461562748
1.18,-17.655804433316085
1.19,-20.4817648225089
1.2,-19.87316570641189
1.21,-20.723252369670956
1.22,-18.895805298763676
1.23,-18.839962258484654
1.24,-17.625501263942354
1.25,-17.531230205092847
1.26,-20.708859840051343
1.27,-21.65602549893222
1.28,-21.27633975005454
1.29,-20.708859840051343
1.3,-20.815933631953104
1.31,-23.319562714906642
1.32,-24.46830997929963
1.33,-24.450592707194232
1.34,-25.198724442803687
1.35,-22.80304393484758
1.36,-22.12048132576549
1.37,-23.42115322549214
1.38,-25.896378310232514
1.39,-26.956745244643756
1.4,-27.996788465708363
1.41,-27.734553012425817
1.42,-30.213975587374332
1.43,-31.854489539329155
1.44,-30.422655645801623
1.45,-32.66989927240235
1.46,-32.92436430457484
1.47,-38.24611124679071
1.48,-37.32230152495152
1.49,-38.074532539047524
1.5,-39.13482728853104
1.51,-43.782281480619325
1.52,-41.459403317905384
1.53,-43.66022950088225
1.54,-44.59785251903888
1.55,-43.61992367617574
1.56,-44.28839878591474
1.57,-43.0744419788425
1.58,-41.77877347190285
1.59,-45.05997690458577
1.6,-43.15030175918528
1.61,-44.073921478079264
1.62,-44.073921478079264
1.63,-43.15030175918528
1.64,-43.86461280451597
1.65,-44.41967417596249
1.66,-41.81136596657302
1.67,-41.1816780366135
1.68,-42.63269137958573
1.69,-44.24507755078458
1.7,-43.57980402222377
1.71,-44.82584171392076
1.72,-43.539868827102254
1.73,-43.342901438231145
1.74,-45.20354859712824
1.75,-43.342901438231145
1.76,-43.782281480619325
1.77,-44.55296410058984
1.78,-41.58574575837924
1.79,-42.38501175727962
1.8,-42.280987883563476
1.81,-42.63269137958573
1.82,-44.463877272064835
1.83,-43.82334959324051
1.84,-43.15030175918528
1.85,-45.300598653016465
1.86,-42.31552426957359
1.87,-41.68172341601461
1.88,-43.86461280451597
1.89,-42.96188027867397
1.9,-42.81403177899228
1.91,-45.54807663661845
1.92,-44.96556413113407
1.93,-42.455059634001046
1.94,-42.63269137958573
1.95,-44.463877272064835
1.96,-41.459403317905384
1.97,-44.37569489396373
1.98,-44.96556413113407
1.99,-43.46054508275023
2.0,-43.539868827102254
2.01,-41.15136076451451
2.02,-46.39100565100968
2.03,-45.39874534291136
2.04,-43.1884815553319
2.05,-43.03675910135147
2.06,-43.90607297697328
2.07,-41.61762061851039
2.08,-42.110336232568464
2.09,-40.37040573773005
2.1,-41.81136596657302
2.11,-39.47741382026274
2.12,-41.84408122045819
2.13,-40.73766878731749
2.14,-38.333188563932055
2.15,-41.1816780366135
2.16,-42.043003417569324
2.17,-38.57725260575926
2.18,-40.07133147961686
2.19,-40.680146129148255
2.2,-41.15136076451451
2.21,-40.39811194826538
2.22,-42.246588275678
2.23,-40.82467341766925
2.24,-41.2426318982536
2.25,-41.459403317905384
2.26,-42.41996508267003
2.27,-43.61992367617574
2.28,-42.56120217241977
2.29,-42.14419939295736
2.3,-42.56120217241977
2.31,-42.3501985257536
2.32,-42.49029655712677
2.33,-42.280987883563476
