seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-90.30899869919435
0.03,-84.28839878591472
0.04,-80.76657360480111
0.05,-50.84644162720038
0.06,-50.48447718534446
0.07,-50.22257122354151
0.08,-51.41934525619099
0.09,-45.01264223900363
0.1,-42.043003417569324
0.11,-41.06103874121523
0.12,-41.273269988708556
0.13,-40.82467341766925
0.14,-41.876920161797734
0.15,-41.273269988708556
0.16,-41.15136076451451
0.17,-41.36583807234997
0.18,-41.06103874121523
0.19,-40.37040573773005
0.2,-40.48176482250891
0.21,-40.680146129148255
0.22,-38.851566655184754
0.23,-39.304431638092474
0.24,-37.80274967996088
0.25,-37.844012891236346
0.26,-38.5100066726802
0.27,-38.289540785459394
0.28,-38.289540785459394
0.29,-37.782191351693506
0.3,-36.29492435629397
0.31,-37.53921356010161
0.32,-37.12970184590566
0.33,-37.65985285549987
0.34,-37.80274967996088
0.35,-36.072854118370536
0.36,-36.73863111839208
0.37,-37.927132086659505
0.38,-37.70044119869388
0.39,-39.13482728853104
0.4,-38.24611124679071
0.41,-38.944964217854455
0.42,-38.09579543739675
0.43,-40.9125583796311
0.44,-41.876920161797734
0.45,-42.07660457992975
0.46,-46.28105621278533
0.47,-44.41967417596249
0.48,-46.33585696010591
0.49,-48.097204493209375
0.5,-51.128170852772485
0.51,-52.92436430457484
0.52,-52.69272685357852
0.53,-53.16234877056899
0.54,-45.49801373354236
0.55,-36.364411844
0.56,-33.67160321358432
0.57,-31.023806095257378
0.58,-34.226210052487346
0.59,-31.885677686439582
0.6,-29.91006506561751
0.61,-26.9981771647469
0.62,-25.59338129264315
0.63,-21.9131869770671
0.64,-17.87716518201
0.65,-16.773298090810247
0.66,-15.323550533225951
0.67,-16.524597953917645
0.68,-18.027936579449968
0.69,-19.77704451712531
0.7,-18.638222314107317
0.71,-20.18701950062555
0.72,-20.67441475999404
0.73,-19.008580132288483
0.74,-17.808926678897087
0.75,-17.414320150250507
0.76,-19.275120396649864
0.77,-22.37455312911889
0.78,-24.53507348738924
0.79,-29.449617231330755
0.8,-26.86277932875527
0.81,-27.081638654494856
0.82,-28.790763469538803
0.83,-31.639252942220246
0.84,-29.737573645343605
0.85,-28.82730491862948
0.86,-28.08374842601305
0.87,-29.82749895304583
0.88,-28.3222931454752
0.89,-28.768912163327354
0.9,-29.860431275484626
0.91,-31.061611985793935
0.92,-29.648569805536145
0.93,-34.117804406489
0.94,-33.01877707802652
0.95,-31.969397752786712
0.96,-32.20387772422533
0.97,-31.730844894315304
0.98,-34.17183810881801
0.99,-34.267213541559705
1.0,-34.951046378832544
1.01,-36.666097171717716
1.02,-34.349805824450435
1.03,-36.191724453515974
1.04,-34.419237766010966
1.05,-36.540602259140144
1.06,-34.98074175694637
1.07,-34.117804406489
1.08,-32.70416318128475
1.09,-31.83375948262035
1.1,-31.659523405651292
1.11,-32.45597802164835
1.12,-32.48940675940057
1.13,-34.280924498847256
1.14,-32.624423306542276
1.15,-33.852565793132264
1.16,-36.05600466665013
1.17,-34.19898153602635
1.18,-35.597020705230754
1.19,-34.226210052487346
1.2,-35.08548243607973
1.21,-35.04043882793561
1.22,-37.74122009818812
1.23,-38.24611124679071
1.24,-37.65985285549987
1.25,-35.70951298520325
1.26,-34.80407350438963
1.27,-33.74869741471482
1.28,-36.86704154048001
1.29,-35.565145845099615
1.3,-35.34523815907035
1.31,-33.77454829581452
1.32,-39.353504591437904
1.33,-37.11067469779735
1.34,-37.42022690983759
1.35,-38.333188563932055
1.36,-40.651527027019284
1.37,-38.82837334463998
1.38,-40.85386971285011
1.39,-42.38501175727962
1.4,-42.63269137958573
1.41,-46.90376439129521
1.42,-45.44823772546847
1.43,-42.3501985257536
1.44,-43.7414066304196
1.45,-44.68833135423981
1.46,-45.75126460692089
1.47,-45.39874534291136
1.48,-45.34953337195822
1.49,-46.39100565100968
1.5,-46.33585696010591
1.51,-46.84527333094888
1.52,-46.28105621278533
1.53,-47.3864379856296
1.54,-47.32461644608676
1.55,-48.097204493209375
1.56,-44.779762615729474
1.57,-43.61992367617574
1.58,-44.68833135423981
1.59,-32.6813055637829
1.6,-28.967581578286953
1.61,-25.30059865301648
1.62,-23.8233495932405
1.63,-23.839831362205004
1.64,-23.425084381765657
1.65,-22.357150018432023
1.66,-21.63360202069704
1.67,-21.31326175947889
1.68,-21.503414434482593
1.69,-20.92434384906211
1.7,-21.9065817374803
1.71,-23.631995797143453
1.72,-27.97020576817924
1.73,-30.069136406009214
1.74,-33.865637111834005
1.75,-27.779876430558268
1.76,-36.10665139695803
1.77,-40.39811194826538
1.78,-41.64961288170624
1.79,-43.22682991624633
1.8,-41.71395309914619
1.81,-41.942972872799444
1.82,-42.246588275678
1.83,-43.22682991624633
1.84,-43.03675910135147
1.85,-43.1122890523966
1.86,-45.01264223900363
1.87,-42.88764145375963
1.88,-43.0744419788425
1.89,-42.9246815509915
1.9,-42.81403177899228
1.91,-42.96188027867397
1.92,-44.55296410058984
1.93,-43.94773199993912
1.94,-44.41967417596249
1.95,-44.508306471944
1.96,-44.96556413113407
1.97,-44.91873981483603
1.98,-45.10757093949286
1.99,-44.03165429181129
2.0,-45.49801373354236
2.01,-44.59785251903888
2.02,-44.82584171392076
2.03,-44.64297412512336
2.04,-45.44823772546847
2.05,-46.44650673210513
2.06,-47.51141697116962
2.07,-46.787173518080735
2.08,-47.70232332929424
2.09,-48.510896470406394
2.1,-48.653291292865354
2.11,-48.72537377824186
2.12,-47.141748857289365
2.13,-47.83196587985263
2.14,-50.30899869919435
2.15,-48.581802085699394
2.16,-47.7669027318982
2.17,-49.72132314549016
2.18,-50.573564013869465
2.19,-52.24719895935549
2.2,-49.095041892122126
2.21,-49.247429829525956
2.22,-49.01983891465598
2.23,-44.55296410058984
2.24,-41.84408122045819
2.25,-36.72044076695198
2.26,-37.499369959785916
2.27,-37.42022690983759
2.28,-35.055427424645636
2.29,-33.878728131098896
2.3,-33.78750264517783
2.31,-33.569863958003346
