seconds_elapsed,dBFS
0.0,-16.45911054913267
0.01,-18.57500266671337
0.02,-16.380123436414372
0.03,-17.076530514609757
0.04,-24.49495383343727
0.05,-30.422655645801623
0.06,-33.878728131098896
0.07,-33.65882044506963
0.08,-34.51738445590585
0.09,-35.533387529506975
0.1,-31.528603170221025
0.11,-25.012642239003625
0.12,-23.8233495932405
0.13,-23.66427038936549
0.14,-24.692880131321022
0.15,-26.502364735788525
0.16,-26.821986749606754
0.17,-27.41129033345151
0.18,-28.454585805512373
0.19,-31.548616749670153
0.2,-33.918119988356985
0.21,-33.519437751710385
0.22,-26.21574846422998
0.23,-26.22659904607586
0.24,-30.976778965555667
0.25,-33.710064780361634
0.26,-40.9125583796311
0.27,-39.78221315139747
0.28,-38.82837334463998
0.29,-38.39907426268287
0.3,-40.85386971285011
0.31,-28.864000746924063
0.32,-37.844012891236346
0.33,-29.819285345211014
0.34,-22.353673576665358
0.35,-18.615591009907384
0.36,-17.694340842850426
0.37,-18.177072515608653
0.38,-19.07504804611449
0.39,-19.800327630617957
0.4,-21.337963915162796
0.41,-21.89009058075491
0.42,-22.134026575509473
0.43,-22.593299522327644
0.44,-26.075910688130705
0.45,-26.717962875890603
0.46,-25.46811391180334
0.47,-26.291988737372805
0.48,-25.448237725468466
0.49,-25.2373929079507
0.5,-20.95979650904908
0.51,-17.733048987860155
0.52,-16.076227934547376
0.53,-16.86149912427277
0.54,-16.474994533391126
0.55,-21.946288730689712
0.56,-30.265677464064204
0.57,-36.59416392714908
0.58,-37.053842065562876
0.59,-42.96188027867397
0.6,-44.68833135423981
0.61,-45.70002027162887
0.62,-40.85386971285011
0.63,-36.9973788788353
0.64,-28.87135855307185
0.65,-26.39100565100968
0.66,-23.116082845703502
0.67,-22.322448056020782
0.68,-20.98648129083037
0.69,-20.7318993486211
0.7,-19.58793559601026
0.71,-21.811365966573018
0.72,-23.18083215841473
0.73,-29.16328581083006
0.74,-31.969397752786712
0.75,-34.76046225140812
0.76,-30.618452432318502
0.77,-29.993423571413533
0.78,-30.74538836044608
0.79,-26.93315829291072
0.8,-16.49267753957605
0.81,-15.295745776513241
0.82,-13.969597944048367
0.83,-12.979707379759551
0.84,-13.835602433831632
0.85,-12.846075672629244
0.86,-12.723639562702102
0.87,-12.624423306542278
0.88,-12.395024160008246
0.89,-13.630764397766788
0.9,-15.624206610485256
0.91,-17.412352122681632
0.92,-18.940270410856648
0.93,-21.187754210095328
0.94,-28.212430626121247
0.95,-35.597020705230754
0.96,-39.80810255845745
0.97,-38.117110514689955
0.98,-39.086971026213234
0.99,-35.25267007542893
1.0,-40.88316447801559
1.01,-40.56623118965063
1.02,-36.95993964139527
1.03,-39.353504591437904
1.04,-39.47741382026274
1.05,-39.182948683848615
1.06,-38.333188563932055
1.07,-37.38092417473297
1.08,-37.225467861635146
1.09,-34.951046378832544
1.1,-27.40507057691072
1.11,-37.88547306369365
1.12,-38.20289777637217
1.13,-27.792869536403817
1.14,-22.43398589223275
1.15,-21.10608234935935
1.16,-20.04464669783558
1.17,-19.787384863153758
1.18,-20.38424779585965
1.19,-18.784475950202257
1.2,-16.894806794718416
1.21,-17.55720298242036
1.22,-17.45970829435193
1.23,-17.835744552070267
1.24,-19.577829847763756
1.25,-20.189728338831834
1.26,-22.10357941415067
1.27,-21.10909357824653
1.28,-22.75195031905927
1.29,-21.212101499024154
1.3,-21.791795797637548
1.31,-19.289763653230835
1.32,-20.157277903934144
1.33,-19.965080740194875
1.34,-21.61123628184804
1.35,-21.824437285274758
1.36,-22.593299522327644
1.37,-22.17478952699856
1.38,-22.284435349232098
1.39,-23.335114893883535
1.4,-28.077028201586476
1.41,-30.466768943455364
1.42,-32.61309142021474
1.43,-34.40530690554588
1.44,-32.20387772422533
1.45,-30.995559274792225
1.46,-26.93315829291072
1.47,-25.285971835687263
1.48,-25.305479737515853
1.49,-26.637908026817122
1.5,-28.191985211491485
1.51,-30.01019170333563
1.52,-25.433360377318458
1.53,-30.911365824264358
1.54,-37.927132086659505
1.55,-39.628476578071655
1.56,-43.1884815553319
1.57,-38.8748220630206
1.58,-32.69272685357853
1.59,-25.859871965609422
1.6,-35.97224423320387
1.61,-36.39936516939041
1.62,-36.9973788788353
1.63,-40.94205209095121
1.64,-41.36583807234997
1.65,-39.086971026213234
1.66,-36.73863111839208
1.67,-39.15885466108119
1.68,-39.378145429631736
1.69,-38.805241800641134
1.7,-39.402856369877874
1.71,-39.086971026213234
1.72,-40.151881265277744
1.73,-37.7616815673397
1.74,-37.63962958760262
1.75,-37.499369959785916
1.76,-38.8748220630206
1.77,-37.053842065562876
1.78,-40.151881265277744
1.79,-40.23318503805073
1.8,-39.25563437695049
1.81,-38.645023219821894
1.82,-40.37040573773005
1.83,-42.31552426957359
1.84,-39.75640068176758
1.85,-39.47741382026274
1.86,-39.15885466108119
1.87,-38.75916270244985
1.88,-38.333188563932055
1.89,-39.91243882367998
1.9,-38.48770655866437
1.91,-39.304431638092474
1.92,-37.9480367649525
1.93,-38.62237421184374
1.94,-36.59416392714908
1.95,-38.805241800641134
1.96,-39.182948683848615
1.97,-39.628476578071655
1.98,-36.70228843090309
1.99,-38.82837334463998
2.0,-37.74122009818812
2.01,-39.603116298338946
2.02,-36.225988362398375
2.03,-37.59932376289611
2.04,-35.83988525849064
2.05,-36.63005608416411
2.06,-37.18703465893772
2.07,-37.09168913911697
2.08,-39.353504591437904
2.09,-37.96899187677637
2.1,-34.847904831909105
2.11,-34.44716669566275
2.12,-35.645053397062966
2.13,-39.27999873973685
2.14,-38.8748220630206
2.15,-36.77512650669703
2.16,-38.59978410902434
2.17,-37.439945169470604
2.18,-39.6539111193444
2.19,-39.25563437695049
2.2,-38.532364187310215
2.21,-39.502409203376885
2.22,-37.32230152495152
2.23,-37.74122009818812
2.24,-39.086971026213234
2.25,-37.823356782480985
2.26,-40.260456299505705
2.27,-35.11564180540175
2.28,-35.54925217252573
2.29,-38.71332676685816
2.3,-39.06314141006486
2.31,-36.63005608416411
2.32,-38.82837334463998
2.33,-36.94128036539435
2.34,-38.074532539047524
2.35,-38.09579543739675
2.36,-40.20599913279624
2.37,-40.651527027019284
2.38,-38.62237421184374
2.39,-37.96899187677637
2.4,-38.333188563932055
2.41,-36.38187092452772
2.42,-38.992042325724
2.43,-38.44327735878521
2.44,-36.94128036539435
2.45,-39.67942035834925
2.46,-37.74122009818812
2.47,-40.31525704682628
2.48,-39.402856369877874
2.49,-38.805241800641134
2.5,-40.28781345483932
2.51,-36.95993964139527
2.52,-38.333188563932055
2.53,-36.10665139695803
2.54,-36.885541844892686
2.55,-36.86704154048001
2.56,-39.730664693641266
2.57,-37.09168913911697
2.58,-38.44327735878521
2.59,-38.053321564799646
2.6,-35.66112350273499
2.61,-36.9973788788353
2.62,-41.00134167022599
2.63,-35.54925217252573
2.64,-39.80810255845745
2.65,-38.13847802765047
2.66,-39.75640068176758
2.67,-39.96508074019487
2.68,-37.782191351693506
2.69,-35.80710827756498
2.7,-36.9973788788353
2.71,-37.38092417473297
2.72,-40.48176482250891
2.73,-35.517551810192515
2.74,-37.68012331893091
2.75,-37.09168913911697
2.76,-39.628476578071655
2.77,-37.16788164205228
2.78,-39.01567741415257
2.79,-44.41967417596249
2.8,-40.680146129148255
2.81,-41.522344822589105
2.82,-44.41967417596249
2.83,-38.159898234900986
2.84,-40.623001912258644
2.85,-36.38187092452772
2.86,-35.69335318586658
2.87,-40.260456299505705
2.88,-37.782191351693506
2.89,-35.66112350273499
2.9,-39.70500473513271
2.91,-37.65985285549987
2.92,-37.823356782480985
2.93,-38.96847137601314
2.94,-38.13847802765047
2.95,-38.117110514689955
2.96,-41.3969146337224
2.97,-40.82467341766925
2.98,-39.57782984776375
2.99,-39.231338166316874
3.0,-36.8301587265126
3.01,-39.67942035834925
3.02,-37.80274967996088
3.03,-38.224477637504954
3.04,-38.805241800641134
3.05,-36.75685964478449
3.06,-36.15759517723562
3.07,-39.75640068176758
3.08,-39.13482728853104
3.09,-38.5100066726802
3.1,-38.59978410902434
3.11,-39.730664693641266
3.12,-37.32230152495152
3.13,-35.66112350273499
3.14,-37.499369959785916
3.15,-11.797600508326834
3.16,-8.121478071106838
3.17,-8.945281464271126
3.18,-10.552992984156909
3.19,-12.247198959355485
3.2,-9.135165042809758
3.21,-7.34003062872668
3.22,-9.504866147700135
3.23,-5.840118303002049
3.24,-5.956161883727815
3.25,-7.750712811762494
3.26,-6.653289857500692
3.27,-7.778578188326116
3.28,-7.7941699166200475
3.29,-7.766902731898205
3.3,-8.058239187008201
3.31,-9.227467553384152
3.32,-8.794410704376386
3.33,-9.519129996675685
3.34,-9.975851802750316
3.35,-9.6228481072631
3.36,-10.277785646342899
3.37,-10.298581880470646
3.38,-9.275145863233618
3.39,-9.574026115750314
3.4,-8.637513105714532
3.41,-9.834897846753611
3.42,-9.712398312981186
3.43,-9.161763439493582
3.44,-10.34468405177519
3.45,-9.272061932919641
3.46,-9.626059157073446
3.47,-9.067140846590977
3.48,-8.74058740091436
3.49,-9.347157662946913
3.5,-8.520788479523468
3.51,-9.811079497044657
3.52,-9.404104289631416
3.53,-8.734788592628833
3.54,-9.77179897950313
3.55,-7.823480059067607
3.56,-8.274057220267034
3.57,-8.070984441882075
3.58,-6.925506304119494
3.59,-9.046085957061594
3.6,-8.549113597200076
3.61,-7.38892002297698
3.62,-8.834631692271904
3.63,-8.819252599480553
3.64,-7.9728603799474795
3.65,-9.485094025258174
3.66,-9.00412867546508
3.67,-8.01211043629388
3.68,-9.414284750184219
3.69,-8.624624964409582
3.7,-7.780525624447589
3.71,-9.410367776211157
3.72,-9.400974239277522
3.73,-7.633112687104106
3.74,-9.380656359514557
3.75,-9.328516740893377
3.76,-8.407007106282084
3.77,-9.376754517825447
3.78,-9.7270073627235
3.79,-9.290581960486296
3.8,-9.081457215316608
3.81,-9.875291654880247
3.82,-10.472077626296423
3.83,-9.844772852616584
3.84,-10.858462341877244
3.85,-10.929072166228114
3.86,-11.057823983275082
3.87,-10.4085865766992
3.88,-11.420332345190067
3.89,-10.750870146451991
3.9,-10.618452432318506
3.91,-10.343811930720383
3.92,-11.147281728772656
3.93,-11.014380278121772
3.94,-11.683910570866088
3.95,-11.732891281328673
3.96,-12.33559183988376
3.97,-11.914888008211937
3.98,-11.948391963496757
3.99,-11.932670891986767
