seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-100
0.32,-100
0.33,-100
0.34,-100
0.35,-100
0.36,-100
0.37,-100
0.38,-100
0.39,-100
0.4,-100
0.41,-100
0.42,-100
0.43,-100
0.44,-100
0.45,-100
0.46,-100
0.47,-100
0.48,-100
0.49,-100
0.5,-100
0.51,-100
0.52,-100
0.53,-100
0.54,-100
0.55,-100
0.56,-100
0.57,-100
0.58,-100
0.59,-100
0.6,-100
0.61,-100
0.62,-100
0.63,-100
0.64,-100
0.65,-100
0.66,-100
0.67,-100
0.68,-100
0.69,-100
0.7,-100
0.71,-100
0.72,-100
0.73,-100
0.74,-100
0.75,-100
0.76,-100
0.77,-100
0.78,-100
0.79,-100
0.8,-100
0.81,-100
0.82,-100
0.83,-100
0.84,-100
0.85,-100
0.86,-100
0.87,-100
0.88,-100
0.89,-100
0.9,-100
0.91,-100
0.92,-100
0.93,-100
0.94,-100
0.95,-100
0.96,-100
0.97,-100
0.98,-100
0.99,-100
1.0,-100
1.01,-100
1.02,-100
1.03,-100
1.04,-100
1.05,-100
1.06,-100
1.07,-100
1.08,-100
1.09,-100
1.1,-100
1.11,-100
1.12,-100
1.13,-100
1.14,-100
1.15,-100
1.16,-100
1.17,-100
1.18,-100
1.19,-100
1.2,-100
1.21,-100
1.22,-100
1.23,-100
1.24,-100
1.25,-100
1.26,-100
1.27,-100
1.28,-100
1.29,-100
1.3,-100
1.31,-100
1.32,-100
1.33,-100
1.34,-100
1.35,-100
1.36,-100
1.37,-100
1.38,-100
1.39,-100
1.4,-100
1.41,-100
1.42,-100
1.43,-100
1.44,-100
1.45,-100
1.46,-100
1.47,-100
1.48,-100
1.49,-100
1.5,-100
1.51,-100
1.52,-100
1.53,-100
1.54,-100
1.55,-100
1.56,-100
1.57,-100
1.58,-100
1.59,-100
1.6,-100
1.61,-100
1.62,-100
1.63,-100
1.64,-100
1.65,-100
1.66,-100
1.67,-100
1.68,-100
1.69,-100
1.7,-100
1.71,-100
1.72,-100
1.73,-100
1.74,-100
1.75,-100
1.76,-100
1.77,-100
1.78,-100
1.79,-100
1.8,-100
1.81,-100
1.82,-100
1.83,-100
1.84,-100
1.85,-100
1.86,-100
1.87,-100
1.88,-100
1.89,-100
1.9,-100
1.91,-100
1.92,-100
1.93,-100
1.94,-100
1.95,-100
1.96,-100
1.97,-100
1.98,-100
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-100
2.1,-100
2.11,-100
2.12,-100
2.13,-100
2.14,-100
2.15,-100
2.16,-100
2.17,-100
2.18,-90.30899869919435
2.19,-73.40703789890921
2.2,-59.9387199016366
2.21,-47.70232332929424
2.22,-42.009531739778
2.23,-36.364411844
2.24,-33.944480826915246
2.25,-33.6205846255637
2.26,-36.15759517723562
2.27,-32.117878114370846
2.28,-33.519437751710385
2.29,-32.20387772422533
2.3,-32.279832271272106
2.31,-33.544614261041836
2.32,-36.48736885673499
2.33,-34.349805824450435
2.34,-34.717068874037864
2.35,-34.65954621586863
2.36,-34.6452248776892
2.37,-31.090074784517725
2.38,-32.865873244228496
2.39,-29.75385460538329
2.4,-30.396294807243358
2.41,-34.46116490922928
2.42,-33.93129040731416
2.43,-31.282248323276
2.44,-31.82341297795672
2.45,-33.247208102157046
2.46,-32.35645687338553
2.47,-29.77016614001377
2.48,-31.771864520200506
2.49,-35.69335318586658
2.5,-33.93129040731416
2.51,-37.24474842368748
2.52,-34.18539921951661
2.53,-33.49433400695822
2.54,-34.10434833929267
2.55,-33.0069192063718
2.56,-34.545631276371005
2.57,-33.33290467815828
2.58,-34.93623667424207
2.59,-34.40530690554588
2.6,-33.878728131098896
2.61,-30.077589827248794
2.62,-30.78199911912889
2.63,-33.38225645659825
2.64,-34.02404678455595
2.65,-33.15029340480577
2.66,-36.26038797028385
2.67,-35.11564180540175
2.68,-32.075195524117134
2.69,-33.35754551635211
2.7,-33.11422737525142
2.71,-33.030651160037145
2.72,-32.25806311291453
2.73,-33.83951411578833
2.74,-34.18539921951661
2.75,-33.247208102157046
2.76,-33.16234877056899
2.77,-31.896098671058603
2.78,-33.11422737525142
2.79,-29.473252319759318
2.8,-31.071089225837348
2.81,-31.46883763874809
2.82,-31.969397752786712
2.83,-34.76046225140812
2.84,-31.109101932626032
2.85,-32.92436430457484
2.86,-30.188239599248014
2.87,-31.147281728772654
2.88,-33.78750264517783
2.89,-33.6205846255637
2.9,-33.01877707802652
2.91,-35.438803404625766
2.92,-33.710064780361634
2.93,-36.15759517723562
2.94,-33.12623275330374
2.95,-33.33290467815828
2.96,-34.68825992677172
2.97,-32.92436430457484
2.98,-34.83326979957049
2.99,-35.597020705230754
3.0,-31.937908088188884
3.01,-34.58817449434327
3.02,-34.6452248776892
3.03,-35.50174490930948
3.04,-32.64713152768056
3.05,-35.677223395459585
3.06,-32.77309917518034
3.07,-35.42313903674083
3.08,-36.38187092452772
3.09,-33.970921911681145
3.1,-36.243171136821125
3.11,-35.80710827756498
3.12,-36.243171136821125
3.13,-35.517551810192515
3.14,-34.98074175694637
3.15,-31.74108165406008
3.16,-33.735800768487955
3.17,-30.370013729286732
3.18,-27.306155462223188
3.19,-32.936109931297835
3.2,-35.47021714461037
3.21,-33.34521635936638
3.22,-35.31427238781313
3.23,-33.32061042325637
3.24,-33.970921911681145
3.25,-34.25352419335484
3.26,-34.731509259139564
3.27,-36.05600466665013
3.28,-37.38092417473297
3.29,-35.02547605138774
3.3,-33.09026628519248
