seconds_elapsed,dBFS
0.0,-24.24507755078458
0.01,-24.74307453736888
0.02,-23.215307620099786
0.03,-24.249399964229372
0.04,-24.904741601269503
0.05,-23.66427038936549
0.06,-23.943557094961818
0.07,-22.788415064630755
0.08,-22.09345403165016
0.09,-22.850758639792225
0.1,-23.35069496916053
0.11,-23.09334490172876
0.12,-21.996179101271274
0.13,-22.7847616935409
0.14,-25.13146611175173
0.15,-22.79938440682291
0.16,-26.270137431161352
0.17,-25.623716211618568
0.18,-23.339007293517604
0.19,-25.568182871610542
0.2,-25.996247430493117
0.21,-26.346858721726324
0.22,-24.6837849580941
0.23,-25.448237725468466
0.24,-26.204911420231465
0.25,-23.555820878671515
0.26,-22.704773864962235
0.27,-22.683086239117838
0.28,-24.816606317369594
0.29,-23.539868827102257
0.3,-24.503853311303992
0.31,-22.554085507017085
0.32,-24.09088611167153
0.33,-24.835086940592515
0.34,-23.304038332511098
0.35,-22.37106971634388
0.36,-22.88025235111234
0.37,-23.676404346595707
0.38,-24.318852725184605
0.39,-22.741040680231603
0.4,-22.398976213081838
0.41,-22.046357690496915
0.42,-22.969339179637338
0.43,-22.14080712982576
0.44,-22.412963155940137
0.45,-23.997988010756256
0.46,-22.88025235111234
0.47,-21.939658280262346
0.48,-23.848083989560326
0.49,-23.24606777491477
0.5,-22.84707895761982
0.51,-21.811365966573018
0.52,-23.025486043781967
0.53,-22.01287310917411
0.54,-22.73014472692561
0.55,-22.416463413750172
0.56,-26.001535643525916
0.57,-23.142685897550443
0.58,-23.672357810469382
0.59,-21.35343851330193
0.6,-23.712908255912968
0.61,-24.099380869940852
0.62,-23.745485470427905
0.63,-25.4234562831575
0.64,-23.249920464992606
0.65,-24.266711160070336
0.66,-23.346797329589602
0.67,-24.214880734939047
0.68,-25.23254992503289
0.69,-23.331224237765596
0.7,-22.277541785665438
0.71,-23.843956695760617
0.72,-24.044312865299876
0.73,-21.59848166922126
0.74,-23.09334490172876
0.75,-22.30169323219558
0.76,-23.010478023394842
0.77,-24.13344322589993
0.78,-24.419674175962495
0.79,-24.010597579345962
0.8,-22.71926242484888
0.81,-25.0742277521436
0.82,-23.1274741780091
0.83,-22.3606278521674
0.84,-21.694600941928712
0.85,-22.134026575509473
0.86,-22.701155498053808
0.87,-22.284435349232098
0.88,-23.444766895599404
0.89,-22.84707895761982
0.9,-22.312064444935906
0.91,-23.50805234596649
0.92,-23.939384195704008
0.93,-21.720413411558603
0.94,-26.833622236461355
0.95,-22.586156520577987
0.96,-24.91873981483603
0.97,-27.473734093678598
