seconds_elapsed,dBFS
0.0,-28.64611583633331
0.01,-28.110681438718494
0.02,-28.489737167279724
0.03,-28.461604706611944
0.04,-28.18518075392605
0.05,-28.212430626121247
0.06,-24.477182186034334
0.07,-24.019014139731325
0.08,-22.665054491645282
0.09,-23.257630975608183
0.1,-23.64811810272461
0.11,-23.603853570503723
0.12,-23.997988010756256
0.13,-24.503853311303992
0.14,-24.349413816007107
0.15,-24.64297412512336
0.16,-23.611884906848527
0.17,-23.18465601479965
0.18,-22.579019388181294
0.19,-22.462095591970275
0.2,-20.68014612914826
0.21,-20.100779738990816
0.22,-20.09273848894443
0.23,-20.81302232318173
0.24,-21.43435387116242
0.25,-21.37514937176381
0.26,-22.02959926423313
0.27,-22.973071033459757
0.28,-23.135076707718145
0.29,-23.897765095289625
0.3,-23.77818532886312
0.31,-23.22298745228716
0.32,-23.69260936927762
0.33,-22.755589912507897
0.34,-21.516030107924884
0.35,-21.61123628184804
0.36,-20.95683658752169
0.37,-20.35106384092995
0.38,-19.572781379363526
0.39,-18.996764201153184
0.4,-19.262936512427274
0.41,-19.522457428406852
0.42,-19.06552143190139
0.43,-19.417716749273495
0.44,-20.859720767054565
0.45,-22.134026575509473
0.46,-21.969535247133628
0.47,-21.456268183549724
0.48,-21.230406858039785
0.49,-21.43435387116242
0.5,-21.95292424639674
0.51,-22.8250335406127
0.52,-22.367587700006183
0.53,-22.872869529046042
0.54,-26.038643559268255
0.55,-27.105632840024114
0.56,-25.568182871610542
0.57,-23.98120367773045
0.58,-23.58781314186737
0.59,-22.850758639792225
0.6,-23.078219273808777
0.61,-23.50011640239199
0.62,-23.90191804284092
0.63,-22.561202172419765
0.64,-23.025486043781967
0.65,-22.75195031905927
0.66,-22.86180704870788
0.67,-22.839724266546977
0.68,-22.94326100115174
0.69,-23.535885387620347
0.7,-23.725110397425336
0.71,-24.193375674094714
0.72,-24.661088604343846
0.73,-25.408621284439295
0.74,-24.853606968159166
0.75,-25.184268035075895
0.76,-25.689807584222976
0.77,-28.164799306236986
0.78,-27.83196587985264
0.79,-29.379095412500188
0.8,-31.05214507516951
0.81,-32.21468779362074
0.82,-34.60240199897902
0.83,-34.745973691521485
0.84,-34.70265245639133
0.85,-33.81346944968344
0.86,-33.74869741471482
0.87,-34.09091308582035
0.88,-30.466768943455364
0.89,-30.052254205090914
0.9,-30.4933448631316
0.91,-29.721323145490164
0.92,-29.819285345211014
0.93,-27.28773363211935
0.94,-27.676625412211845
0.95,-25.92254853080762
0.96,-25.603481165453307
0.97,-25.933038736959606
0.98,-25.65924137213463
0.99,-22.636281331956766
1.0,-19.447513998523714
1.01,-17.49142312516199
1.02,-15.6546918921945
1.03,-22.543421430001573
1.04,-29.102598125428653
1.05,-33.722923242573856
1.06,-38.75916270244985
1.07,-40.53798436918547
1.08,-41.61762061851039
1.09,-41.522344822589105
1.1,-44.55296410058984
1.11,-46.44650673210513
1.12,-46.33585696010591
1.13,-47.02194158350561
1.14,-49.72132314549016
1.15,-47.89752007507736
1.16,-40.260456299505705
1.17,-37.9062775997192
1.18,-37.88547306369365
1.19,-44.91873981483603
1.2,-49.481144996029855
1.21,-48.23292428007521
1.22,-48.44056499594966
1.23,-46.67212694029891
1.24,-45.64907649135128
1.25,-52.13929832162136
1.26,-56.86704154048
1.27,-56.68417395168261
1.28,-56.505077098624085
1.29,-57.844012891236346
1.3,-57.053842065562876
1.31,-54.60240199897902
1.32,-59.67942035834925
1.33,-54.891958466351475
1.34,-56.505077098624085
1.35,-57.053842065562876
1.36,-56.505077098624085
1.37,-57.844012891236346
1.38,-58.053321564799646
1.39,-58.713326766858145
1.4,-59.67942035834925
1.41,-57.844012891236346
1.42,-56.86704154048
1.43,-54.891958466351475
1.44,-57.43994516947061
1.45,-56.15759517723562
1.46,-55.34523815907035
1.47,-55.0404388279356
1.48,-56.505077098624085
1.49,-56.505077098624085
1.5,-55.98893182649837
1.51,-54.32218771012272
1.52,-58.053321564799646
1.53,-56.86704154048
1.54,-58.94496421785445
1.55,-58.053321564799646
1.56,-57.844012891236346
1.57,-51.92743685167287
1.58,-52.03272165152002
1.59,-48.37079843903322
1.6,-45.10757093949286
1.61,-41.30401653280713
1.62,-46.67212694029891
1.63,-43.61992367617574
1.64,-39.628476578071655
1.65,-37.927132086659505
1.66,-38.44327735878521
1.67,-38.944964217854455
1.68,-41.3969146337224
1.69,-44.11639535067637
1.7,-40.9125583796311
1.71,-42.63269137958573
1.72,-42.88764145375963
1.73,-41.61762061851039
1.74,-43.94773199993912
1.75,-46.118698408341736
1.76,-48.72537377824186
1.77,-52.03272165152002
1.78,-53.28383172481285
1.79,-54.60240199897902
1.8,-55.66112350273499
1.81,-55.98893182649837
1.82,-54.745973691521485
1.83,-53.40703789890922
1.84,-54.18539921951661
1.85,-54.46116490922928
1.86,-57.844012891236346
1.87,-55.66112350273499
1.88,-56.15759517723562
1.89,-51.7206201849085
1.9,-56.86704154048
1.91,-57.844012891236346
1.92,-59.42763781218885
1.93,-53.16234877056899
1.94,-56.32959861247397
1.95,-54.18539921951661
1.96,-54.46116490922928
1.97,-50.136995263955995
1.98,-49.247429829525956
1.99,-47.32461644608676
2.0,-30.663574038402984
2.01,-25.003206181977756
2.02,-27.606345671658858
2.03,-22.90243854360415
2.04,-20.052643527896894
2.05,-20.35934795184695
2.06,-21.811365966573018
2.07,-24.539542687198708
2.08,-27.129693491526155
2.09,-27.72164678473464
2.1,-28.336124182853215
2.11,-31.75133049258022
2.12,-38.48770655866437
2.13,-40.708859840051346
2.14,-40.31525704682628
2.15,-40.76657360480111
2.16,-41.3969146337224
2.17,-43.7414066304196
2.18,-44.463877272064835
2.19,-43.94773199993912
2.2,-49.247429829525956
2.21,-47.89752007507736
2.22,-38.159898234900986
2.23,-39.99152182496077
2.24,-30.911365824264358
2.25,-29.608413055146997
2.26,-27.593628407837908
2.27,-24.98436476539649
2.28,-23.35069496916053
2.29,-24.526141980547695
2.3,-24.82122278818678
2.31,-24.548487991427102
2.32,-27.380235993478866
2.33,-26.341356099028474
2.34,-27.728097501435194
2.35,-27.599984712284076
2.36,-27.644609564544467
2.37,-25.39874534291136
2.38,-25.18908416474632
2.39,-25.24223859267223
2.4,-24.13344322589993
2.41,-25.14104261728418
2.42,-24.16763968596839
2.43,-25.37410450471753
2.44,-26.986319293092173
2.45,-27.361656543318627
2.46,-27.398855271001104
2.47,-28.915636760962443
2.48,-27.715200855208337
2.49,-28.26032458556763
2.5,-28.689257760976613
2.51,-28.00344687127633
2.52,-27.50512512762173
2.53,-26.9981771647469
2.54,-27.374038426581556
2.55,-26.82780254469385
2.56,-26.764041974081888
2.57,-27.17801567255873
2.58,-27.511416971169623
2.59,-28.44757257167309
2.6,-31.48871382508296
2.61,-40.17889805109691
2.62,-45.85466927624269
2.63,-45.15542720181067
2.64,-38.944964217854455
2.65,-39.42763781218884
2.66,-38.55477939881613
2.67,-44.463877272064835
2.68,-50.754526593417395
2.69,-53.28383172481285
2.7,-54.891958466351475
2.71,-55.19150158574453
2.72,-53.04254149678523
2.73,-55.98893182649837
2.74,-54.32218771012272
2.75,-52.69272685357852
2.76,-52.69272685357852
2.77,-58.26779887263511
2.78,-59.9387199016366
2.79,-61.68172341601461
2.8,-59.42763781218885
2.81,-54.18539921951661
2.82,-56.15759517723562
2.83,-56.86704154048
2.84,-53.918119988356985
2.85,-56.15759517723562
2.86,-55.0404388279356
2.87,-53.53201688444925
2.88,-51.22414851040786
2.89,-52.467106645384746
2.9,-51.619029674323
2.91,-52.69272685357852
2.92,-50.663574038402984
2.93,-50.136995263955995
2.94,-50.48447718534446
2.95,-49.247429829525956
2.96,-48.510896470406394
2.97,-49.80288139389895
2.98,-47.7669027318982
2.99,-49.96833191321875
3.0,-48.653291292865354
3.01,-49.17090167246491
3.02,-47.3864379856296
3.03,-46.44650673210513
3.04,-47.3864379856296
3.05,-48.097204493209375
3.06,-52.24719895935549
3.07,-53.28383172481285
3.08,-56.505077098624085
3.09,-58.26779887263511
3.1,-60.48176482250891
3.11,-60.20599913279624
3.12,-59.9387199016366
3.13,-57.844012891236346
