seconds_elapsed,dBFS
0.0,-40.623001912258644
0.01,-39.70500473513271
0.02,-42.110336232568464
0.03,-42.96188027867397
0.04,-45.70002027162887
0.05,-41.84408122045819
0.06,-40.509829110697666
0.07,-42.043003417569324
0.08,-39.01567741415257
0.09,-39.03937699130614
0.1,-39.25563437695049
0.11,-40.4537909186576
0.12,-39.304431638092474
0.13,-38.8748220630206
0.14,-41.091041844063405
0.15,-41.77877347190285
0.16,-41.21210149902416
0.17,-38.75916270244985
0.18,-35.01053900619659
0.19,-32.32353495284228
0.2,-26.36338753668197
0.21,-20.9953944672288
0.22,-17.58526079521987
0.23,-17.38288509349918
0.24,-17.137324391053102
0.25,-18.895805298763676
0.26,-20.9953944672288
0.27,-16.409878654197993
0.28,-18.061799739838868
0.29,-15.3903355300055
0.3,-13.82387794660071
0.31,-14.494852952640763
0.32,-14.362262683687362
0.33,-17.495395633641053
0.34,-15.643448020542722
0.35,-16.193434442622404
0.36,-16.35918095577322
0.37,-15.922372959519823
0.38,-16.904081637711876
0.39,-17.086001554298626
0.4,-16.06779584997286
0.41,-16.709544813645987
0.42,-16.969284332601145
0.43,-16.032470211583863
0.44,-15.800567697709184
0.45,-16.364411844000006
0.46,-16.702288430903096
0.47,-16.569127373900784
0.48,-15.722462506257141
0.49,-14.455562916363009
0.5,-17.339846813543907
0.51,-16.958071908964026
0.52,-15.861256815651883
0.53,-14.971822478766004
0.54,-21.26406720878561
0.55,-20.40644107433569
0.56,-21.215149714404816
0.57,-21.982846957996706
0.58,-22.37106971634388
0.59,-25.32013947034271
0.6,-26.575521349199455
0.61,-25.61359279597603
0.62,-29.552503687427517
0.63,-27.78637055395467
0.64,-26.9981771647469
0.65,-27.105632840024114
0.66,-26.36338753668197
0.67,-25.184268035075895
0.68,-24.64297412512336
0.69,-24.176209878709123
0.7,-19.95452680251965
0.71,-16.05600466665013
0.72,-15.802202380999615
0.73,-17.950130002614898
0.74,-17.543207990909217
0.75,-15.905812631075218
0.76,-16.68598370054593
0.77,-15.792398892782751
0.78,-16.300116678639327
0.79,-15.724082554688223
0.8,-15.624206610485256
0.81,-14.849369692295083
0.82,-15.05842825025436
0.83,-17.006763957693327
0.84,-18.429992793914607
0.85,-18.06604193266462
0.86,-19.50240920337688
0.87,-18.821427410932714
0.88,-20.07133147961687
0.89,-21.646408347584646
0.9,-19.628476578071655
0.91,-19.831469186431733
0.92,-20.603089924672577
0.93,-20.178898051096912
0.94,-20.40088743627049
0.95,-20.537984369185473
0.96,-21.001341670225994
0.97,-19.766716466398254
0.98,-19.415238253140807
0.99,-16.691415210658135
1.0,-18.11924490212865
1.01,-19.21921549911798
1.02,-20.501400299130776
1.03,-23.10470643328731
1.04,-20.749219174176567
1.05,-26.609494885229136
1.06,-22.20890539818697
1.07,-26.3248691159612
1.08,-24.472744949851975
1.09,-25.393811579848816
1.1,-28.667660013492096
1.11,-28.75437510614651
1.12,-27.349292285518256
1.13,-29.528652259246115
1.14,-32.107187787312995
1.15,-33.83951411578833
1.16,-34.847904831909105
1.17,-33.710064780361634
1.18,-32.6813055637829
1.19,-37.59932376289611
1.2,-36.8301587265126
1.21,-39.99152182496077
1.22,-42.56120217241977
1.23,-42.178195090515246
1.24,-41.30401653280713
1.25,-46.118698408341736
1.26,-44.41967417596249
1.27,-46.17248117855736
1.28,-48.03013165305762
1.29,-47.96357278607907
1.3,-47.08163865449485
1.31,-47.02194158350561
1.32,-47.263231811533224
1.33,-47.63822053179
1.34,-46.06524661111521
1.35,-45.39874534291136
1.36,-46.729459753330964
1.37,-44.87216656846438
1.38,-43.61992367617574
1.39,-42.56120217241977
1.4,-42.455059634001046
1.41,-45.01264223900363
1.42,-48.164799306236986
1.43,-46.012121738240396
1.44,-47.96357278607907
1.45,-45.64907649135128
1.46,-45.64907649135128
1.47,-48.581802085699394
1.48,-46.787173518080735
1.49,-46.28105621278533
1.5,-44.82584171392076
1.51,-44.59785251903888
1.52,-26.781384854328948
1.53,-21.8440812204582
1.54,-22.150987896341654
1.55,-23.378027528224877
1.56,-24.561923244899425
1.57,-23.05181264002075
1.58,-22.21574468171991
1.59,-28.232924280075217
1.6,-25.980402081669336
1.61,-28.00344687127633
1.62,-23.843956695760617
1.63,-23.269209590481715
1.64,-19.671759717278167
1.65,-18.51670788656903
1.66,-17.910444493364995
1.67,-18.18782371098807
1.68,-20.66582479096883
1.69,-26.666414418134387
1.7,-22.546974667784024
1.71,-21.73011289848287
1.72,-20.14648797753037
1.73,-19.891471065427517
1.74,-17.72284589771938
1.75,-20.238632444712863
1.76,-19.766716466398254
1.77,-19.615787182625468
1.78,-19.65136431104641
1.79,-19.738377486486126
1.8,-18.593018518934336
1.81,-18.674555500212385
1.82,-19.618323579092042
1.83,-21.06103874121523
1.84,-23.123675407059388
1.85,-24.052762174952594
1.86,-25.18908416474632
1.87,-26.752499261900724
1.88,-28.57468542029671
1.89,-31.05214507516951
1.9,-33.633311206064775
1.91,-34.545631276371005
1.92,-35.32974147407113
1.93,-37.12970184590566
1.94,-26.88032068033419
1.95,-24.570891639746858
1.96,-22.106957166337146
1.97,-24.10788394417653
1.98,-22.858122684012947
1.99,-26.374424246728623
2.0,-24.93276062439875
2.01,-26.36890413873344
2.02,-23.142685897550443
2.03,-22.37455312911889
2.04,-21.18471559203458
2.05,-20.54644877424519
2.06,-20.4231233258877
2.07,-23.951908912564974
2.08,-24.163357758527436
2.09,-24.42408437643199
2.1,-28.482695505249897
2.11,-30.36127101124809
2.12,-32.345469029240824
2.13,-33.918119988356985
2.14,-37.20623000296671
2.15,-36.55841947490166
2.16,-37.65985285549987
2.17,-40.31525704682628
2.18,-40.97164629211217
2.19,-42.280987883563476
2.2,-44.91873981483603
2.21,-43.381939210181585
2.22,-32.085846524394825
2.23,-19.0251494866704
2.24,-18.713326766858152
2.25,-18.248277574183923
2.26,-19.182948683848615
2.27,-23.496151147980253
2.28,-24.811992298861057
2.29,-28.72537377824186
2.3,-32.25806311291453
2.31,-30.582523158179047
2.32,-33.95769130799874
2.33,-26.264683183171726
2.34,-21.079028163533984
2.35,-18.18782371098807
2.36,-18.379256024463476
2.37,-20.737668787317492
2.38,-21.400028413873358
2.39,-24.201971310261882
2.4,-23.951908912564974
2.41,-25.349533371958227
2.42,-19.3117749297555
2.43,-14.452763274231419
2.44,-13.252082338894422
2.45,-13.932608548243628
2.46,-14.098971743863762
2.47,-16.284549014063213
2.48,-19.343667795779453
2.49,-14.506111398336346
2.5,-16.943144490229937
2.51,-15.052427635412549
2.52,-16.97115447786363
2.53,-17.095482932423874
2.54,-14.880188966396119
2.55,-14.620932664134187
2.56,-15.15197182548276
2.57,-17.129701845905657
2.58,-16.48736885673499
2.59,-15.828399240482403
2.6,-17.85643017660786
2.61,-16.894806794718416
2.62,-16.411632139545237
2.63,-16.11003836897914
2.64,-18.690499185681972
2.65,-16.348728620410725
2.66,-15.08548243607973
2.67,-13.706210950687503
2.68,-16.734989999228272
2.69,-17.551202367578547
2.7,-16.32265267876671
2.71,-14.905218244474492
2.72,-17.158320948034632
2.73,-15.2266208146861
2.74,-16.000632247293233
2.75,-16.802599032408516
2.76,-16.26900920140162
2.77,-16.09480738470761
2.78,-16.542382336949032
2.79,-15.004571373094741
2.8,-13.65882044506963
2.81,-13.530758151074384
2.82,-14.591018131506686
2.83,-16.819124353267355
2.84,-22.20890539818697
2.85,-20.490174592058622
2.86,-19.849686789354628
2.87,-19.891471065427517
2.88,-19.671759717278167
2.89,-19.71269476630175
2.9,-17.72692569565163
2.91,-18.738506593694495
2.92,-17.665929028981704
2.93,-17.183200675367164
2.94,-15.894239158825851
2.95,-16.669709519300696
2.96,-17.070852843873944
2.97,-16.935690390104515
2.98,-16.52815191863092
2.99,-17.03686453670395
3.0,-17.531230205092847
3.01,-17.269877308532873
3.02,-18.467685290549415
3.03,-19.66920767094335
3.04,-21.65602549893222
3.05,-20.921395982195854
3.06,-20.389790801560256
3.07,-19.95452680251965
3.08,-18.900475132014904
3.09,-15.180841248215195
3.1,-16.076227934547376
3.11,-16.476761214906027
3.12,-17.680123318930917
3.13,-17.22932055171298
3.14,-19.64881824928465
3.15,-16.982383813154986
3.16,-17.14495363145406
3.17,-18.09153869159332
3.18,-20.66868717018012
3.19,-18.030049163587364
3.2,-22.256893860796062
3.21,-18.43220547756893
3.22,-17.070852843873944
3.23,-19.452490160010758
3.24,-18.097924592852465
3.25,-17.183200675367164
3.26,-16.06779584997286
3.27,-14.793877942312397
3.28,-14.117804406489004
3.29,-14.685384280449124
3.3,-15.76142731016458
3.31,-17.960603764450823
3.32,-18.656369909401626
3.33,-18.68138492499462
3.34,-18.814487027312893
3.35,-20.523895331809147
3.36,-21.490817057890006
3.37,-20.233185038050735
3.38,-17.120183061788005
3.39,-16.976767330813757
3.4,-17.651757897189757
3.41,-19.922941714485784
3.42,-21.739823228882752
3.43,-22.16798240310935
3.44,-19.909815084152992
3.45,-21.739823228882752
3.46,-24.103631366545404
3.47,-25.528016836390528
3.48,-24.18478853583913
3.49,-24.297089021395088
3.5,-24.16763968596839
3.51,-24.35378847721168
3.52,-25.92254853080762
3.53,-26.886175678626714
3.54,-32.04332066398599
3.55,-33.38225645659825
3.56,-31.761591438413884
3.57,-28.610327200460034
3.58,-25.996247430493117
3.59,-25.247086982213727
3.6,-27.33694560307249
3.61,-25.155427201810664
3.62,-26.603823393262655
3.63,-26.575521349199455
3.64,-24.64297412512336
3.65,-23.523946018540368
3.66,-30.282980038785997
3.67,-33.519437751710385
3.68,-33.826482020863374
3.69,-34.951046378832544
3.7,-37.65985285549987
3.71,-40.4537909186576
3.72,-39.47741382026274
3.73,-40.623001912258644
3.74,-41.30401653280713
3.75,-45.95931981491623
3.76,-44.82584171392076
3.77,-41.77877347190285
3.78,-41.58574575837924
3.79,-42.41996508267003
3.8,-43.3040383325111
3.81,-40.20599913279624
3.82,-40.151881265277744
3.83,-39.91243882367998
3.84,-38.57725260575926
3.85,-38.57725260575926
3.86,-34.03737892783052
3.87,-31.41934525619098
3.88,-33.80047634383789
3.89,-42.280987883563476
3.9,-45.85466927624269
3.91,-44.87216656846438
3.92,-39.78221315139747
3.93,-42.7410406802316
3.94,-46.787173518080735
3.95,-46.90376439129521
3.96,-36.9973788788353
3.97,-31.83375948262035
3.98,-30.11148602495115
3.99,-31.49866900054301
4.0,-33.12623275330374
4.01,-33.054448132834864
4.02,-33.90496950948155
4.03,-33.519437751710385
4.04,-36.45206031364975
4.05,-35.23733752133622
4.06,-41.03113891947621
4.07,-42.455059634001046
4.08,-41.36583807234997
4.09,-40.9125583796311
4.1,-41.00134167022599
4.11,-47.20227794989312
4.12,-42.77745955806411
4.13,-35.25267007542893
4.14,-32.085846524394825
4.15,-30.911365824264358
4.16,-30.119980783220477
4.17,-34.559789208826054
4.18,-33.27160668459903
4.19,-30.68168851762347
4.2,-32.77309917518034
4.21,-31.03324215228325
4.22,-36.612091466306104
4.23,-38.96847137601314
4.24,-40.23318503805073
4.25,-37.65985285549987
4.26,-41.091041844063405
4.27,-43.26534833696711
4.28,-42.043003417569324
4.29,-29.860431275484626
4.3,-24.965564131134084
4.31,-24.738499404454007
4.32,-28.232924280075217
4.33,-34.21258512477111
4.34,-40.31525704682628
4.35,-40.82467341766925
4.36,-41.30401653280713
4.37,-42.9246815509915
4.38,-43.57980402222377
4.39,-42.59687322722811
4.4,-42.88764145375963
4.41,-44.508306471944
4.42,-48.44056499594966
4.43,-42.246588275678
4.44,-34.40530690554588
4.45,-32.2363483775096
4.46,-33.6205846255637
4.47,-31.761591438413884
4.48,-29.672753272586945
4.49,-27.851580241905648
4.5,-26.11869840834174
4.51,-25.349533371958227
4.52,-25.12190015303367
4.53,-27.196206023998826
4.54,-28.232924280075217
4.55,-26.530429023977288
4.56,-28.89346944232566
4.57,-28.41259109209836
4.58,-29.77016614001377
4.59,-27.129693491526155
4.6,-25.24223859267223
4.61,-27.593628407837908
4.62,-28.532107444654272
4.63,-26.9981771647469
4.64,-29.87694437862951
4.65,-31.659523405651292
4.66,-32.56791113817521
4.67,-29.232070162149306
4.68,-28.151238195538383
4.69,-26.74673365290172
4.7,-25.548076636618447
4.71,-26.028025110955525
4.72,-26.886175678626714
4.73,-26.396539827455623
4.74,-28.43356306921976
4.75,-30.162579640739466
4.76,-31.864873150414027
4.77,-34.77497501942614
4.78,-35.01053900619659
4.79,-39.47741382026274
4.8,-36.0391878373155
4.81,-40.260456299505705
4.82,-41.42810278083282
4.83,-33.39463833986118
4.84,-35.04043882793561
4.85,-30.33509553296124
4.86,-27.530319894055882
4.87,-26.03333271248827
4.88,-26.335856960105907
4.89,-27.442456099353425
4.9,-27.051738832755838
4.91,-26.259232357992488
4.92,-26.93315829291072
4.93,-27.361656543318627
4.94,-31.31144461845686
4.95,-33.431890246731136
4.96,-35.581068653661504
4.97,-32.7270811091929
4.98,-36.225988362398375
4.99,-30.699840853672352
5.0,-33.21073825303724
5.01,-29.371294882440154
5.02,-26.485569584623185
5.03,-24.124915105786204
5.04,-26.270137431161352
5.05,-26.25378495133036
5.06,-26.897897528770187
5.07,-25.74099152513426
5.08,-25.050489312557723
5.09,-25.77700059504721
5.1,-31.5988533827001
5.11,-35.54925217252573
5.12,-35.95558863914911
5.13,-33.41945518428073
5.14,-33.431890246731136
5.15,-35.77445451866291
5.16,-37.16788164205228
5.17,-31.03324215228325
5.18,-26.82780254469385
5.19,-26.16169794981292
5.2,-23.296286534015266
5.21,-21.8440812204582
5.22,-25.012642239003625
5.23,-26.413163544755864
5.24,-25.588335756841637
5.25,-25.807984776433383
5.26,-26.491164360750965
5.27,-25.896378310232514
5.28,-25.04101207251431
5.29,-24.90940516628788
