seconds_elapsed,dBFS
0.0,-40.39811194826538
0.01,-40.56623118965063
0.02,-34.77497501942614
0.03,-34.92145217767158
0.04,-32.77309917518034
0.05,-33.29607399553303
0.06,-37.225467861635146
0.07,-43.03675910135147
0.08,-49.17090167246491
0.09,-53.918119988356985
0.1,-56.32959861247397
0.11,-57.053842065562876
0.12,-59.67942035834925
0.13,-51.41934525619099
0.14,-47.63822053179
0.15,-38.311337257720595
0.16,-27.956944865392668
0.17,-27.825437589700854
0.18,-30.976778965555667
0.19,-35.206753371292926
0.2,-37.65985285549987
0.21,-37.38092417473297
0.22,-40.37040573773005
0.23,-36.63005608416411
0.24,-37.559204108944144
0.25,-36.72044076695198
0.26,-41.33487230109275
0.27,-50.573564013869465
0.28,-53.787502645177824
0.29,-55.19150158574453
0.3,-58.713326766858145
0.31,-55.34523815907035
0.32,-35.407502867553205
0.33,-37.12970184590566
0.34,-36.08973631928884
0.35,-37.18703465893772
0.36,-37.619453295979724
0.37,-39.730664693641266
0.38,-41.03113891947621
0.39,-40.79557493270576
0.4,-39.75640068176758
0.41,-36.123599479677736
0.42,-33.93129040731416
0.43,-27.238798913177604
0.44,-26.468806846120955
0.45,-29.46536680887903
0.46,-27.996788465708363
0.47,-33.030651160037145
0.48,-33.407037898909216
0.49,-38.48770655866437
0.5,-41.42810278083282
0.51,-42.178195090515246
0.52,-44.37569489396373
0.53,-44.55296410058984
0.54,-45.64907649135128
0.55,-41.42810278083282
0.56,-39.78221315139747
0.57,-36.005651542225195
0.58,-38.736214499832904
0.59,-38.5100066726802
0.6,-41.5539874427866
0.61,-47.20227794989312
0.62,-47.02194158350561
0.63,-48.23292428007521
0.64,-46.118698408341736
0.65,-45.10757093949286
0.66,-44.87216656846438
0.67,-46.50236473578853
0.68,-47.02194158350561
0.69,-49.095041892122126
0.7,-54.60240199897902
0.71,-60.20599913279624
0.72,-60.76657360480111
0.73,-62.704773864962235
0.74,-62.3501985257536
0.75,-62.3501985257536
0.76,-62.3501985257536
0.77,-64.28839878591474
0.78,-64.73392668013777
0.79,-61.68172341601461
0.8,-56.68417395168261
0.81,-60.76657360480111
0.82,-60.48176482250891
0.83,-40.88316447801559
0.84,-27.812395710917173
0.85,-29.520716315671613
0.86,-34.6452248776892
0.87,-34.280924498847256
0.88,-29.064882522800104
0.89,-19.774461352901646
0.9,-18.570504536297953
0.91,-19.821076257117518
0.92,-21.560329823234934
0.93,-28.75437510614651
0.94,-34.10434833929267
0.95,-45.70002027162887
0.96,-45.70002027162887
0.97,-43.82334959324051
0.98,-45.802813064677096
0.99,-51.41934525619099
1.0,-52.13929832162136
1.01,-27.087630989770865
1.02,-22.67226269922749
1.03,-25.266507649081472
1.04,-22.81403177899228
1.05,-24.419674175962495
1.06,-25.16022736199808
1.07,-28.610327200460034
1.08,-31.528603170221025
1.09,-35.80710827756498
1.1,-31.896098671058603
1.11,-25.18908416474632
1.12,-27.670212794985865
1.13,-27.910690494034537
1.14,-28.805361606820526
1.15,-27.461209376817635
1.16,-29.004876138108116
1.17,-30.23978805700423
1.18,-35.54925217252573
1.19,-37.400553312212516
1.2,-39.47741382026274
1.21,-42.41996508267003
1.22,-45.251938079596485
1.23,-50.939339728115655
1.24,-51.619029674323
1.25,-49.885212717795596
1.26,-36.46969664384714
1.27,-26.92138879295537
1.28,-20.495785632071623
1.29,-17.908360796668408
1.3,-17.545205895377617
1.31,-18.41893782279257
1.32,-18.147039772688764
1.33,-19.656458674616534
1.34,-19.562693236954164
1.35,-18.62237421184374
1.36,-19.86011402906796
1.37,-22.715638018521283
1.38,-23.304038332511098
1.39,-24.624897345158473
1.4,-25.290844705177236
1.41,-23.843956695760617
1.42,-23.292413227535
1.43,-26.446506732105128
1.44,-23.733254692103664
1.45,-24.17192372533418
1.46,-26.374424246728623
1.47,-29.402539123461207
1.48,-29.301403573965196
1.49,-31.74108165406008
1.5,-32.995077500872945
1.51,-37.579240772127044
1.52,-38.59978410902434
1.53,-38.532364187310215
1.54,-39.75640068176758
1.55,-40.4537909186576
1.56,-37.11067469779735
1.57,-34.789512076606975
1.58,-34.18539921951661
1.59,-35.454496073100394
1.6,-37.341798479575715
1.61,-42.110336232568464
1.62,-43.57980402222377
1.63,-44.463877272064835
1.64,-39.603116298338946
1.65,-37.864718239868445
1.66,-40.31525704682628
1.67,-42.49029655712677
1.68,-46.17248117855736
1.69,-49.01983891465598
1.7,-53.28383172481285
1.71,-55.98893182649837
1.72,-57.24474842368748
1.73,-59.67942035834925
1.74,-61.36583807234997
1.75,-62.704773864962235
1.76,-59.9387199016366
1.77,-62.704773864962235
1.78,-60.76657360480111
1.79,-62.3501985257536
1.8,-63.46054508275023
1.81,-64.28839878591474
1.82,-65.70002027162887
1.83,-65.20354859712823
1.84,-58.713326766858145
1.85,-60.20599913279624
1.86,-61.68172341601461
1.87,-50.573564013869465
1.88,-35.72570290533895
1.89,-21.257937434615847
1.9,-22.73740717687886
1.91,-21.98951047166304
1.92,-22.40247083780734
1.93,-22.150987896341654
1.94,-23.112289052396594
1.95,-24.099380869940852
1.96,-24.219188143724605
1.97,-22.64346569104135
1.98,-22.64706010021247
1.99,-25.83388962604953
2.0,-29.332396968627354
2.01,-31.109101932626032
2.02,-35.97224423320387
2.03,-45.05997690458577
2.04,-39.80810255845745
2.05,-28.72537377824186
2.06,-23.35069496916053
2.07,-18.656369909401626
2.08,-17.74326407740407
2.09,-16.38711549928989
2.1,-15.068939311692048
2.11,-15.930664978897134
2.12,-16.118511581667534
2.13,-16.771470059731612
2.14,-18.485479692958528
2.15,-20.149184202800527
2.16,-21.421856186073803
2.17,-22.195242965738807
2.18,-21.291704851599032
2.19,-19.600584338070888
2.2,-19.23133816631687
2.21,-21.209054353005158
2.22,-19.666656374218277
2.23,-18.377056786665154
2.24,-16.608502997080077
2.25,-18.761460860854065
2.26,-19.512427531636394
2.27,-19.694761939561218
2.28,-22.37106971634388
2.29,-25.730730579300594
2.3,-25.12668181549303
2.31,-24.770576057878877
2.32,-24.6837849580941
2.33,-24.679240940392727
2.34,-23.848083989560326
2.35,-23.656190491445102
2.36,-20.726133739622096
2.37,-19.122838481054107
2.38,-17.12589308038176
2.39,-17.275686620735648
2.4,-19.407807005314297
2.41,-22.525677011903706
2.42,-22.869180469896055
2.43,-22.036298755223243
2.44,-20.685881282633652
2.45,-21.726878532540425
2.46,-22.12386565841616
2.47,-23.856344465349892
2.48,-23.257630975608183
2.49,-22.792069973011237
2.5,-17.78835374261398
2.51,-14.156945300864464
2.52,-14.307035095698845
2.53,-16.24833260452064
2.54,-19.0180444640754
2.55,-20.398111948265388
2.56,-23.385852654554192
2.57,-30.01019170333563
2.58,-32.98325191751046
2.59,-39.52747672333882
2.6,-42.14419939295736
2.61,-46.67212694029891
2.62,-48.301587796843094
2.63,-46.84527333094888
2.64,-49.095041892122126
2.65,-51.41934525619099
2.66,-52.92436430457484
2.67,-53.53201688444925
2.68,-55.823481307178575
2.69,-52.807773431360346
2.7,-50.84644162720038
2.71,-36.922661087872115
2.72,-21.396914633722407
2.73,-19.26050178511265
2.74,-18.38585708087091
2.75,-16.52815191863092
2.76,-16.59595501688387
2.77,-19.34858480108374
2.78,-19.867942681817908
2.79,-20.290553915388344
2.8,-20.387018856542927
2.81,-18.478802519301272
2.82,-21.772269623124195
2.83,-21.12416540163272
2.84,-20.755000132551743
2.85,-22.332844095129065
2.86,-22.378037939451715
2.87,-24.327573498646164
2.88,-26.764041974081888
2.89,-29.51278761622735
2.9,-27.715200855208337
2.91,-27.04577119965399
2.92,-30.864941931613068
2.93,-37.016159188071846
2.94,-39.628476578071655
2.95,-44.33193717100022
2.96,-46.787173518080735
2.97,-48.03013165305762
2.98,-48.164799306236986
2.99,-50.48447718534446
3.0,-50.05225420509091
3.01,-46.61517008284237
3.02,-48.23292428007521
3.03,-49.01983891465598
3.04,-47.08163865449485
3.05,-34.475185718792
3.06,-32.865873244228496
3.07,-33.722923242573856
3.08,-29.819285345211014
3.09,-27.093627461971792
3.1,-26.92138879295537
3.11,-25.839079879946464
3.12,-20.543626389285162
3.13,-20.512640533165346
3.14,-20.11957165714339
3.15,-19.522457428406852
3.16,-18.194280821659426
3.17,-15.87938160379337
3.18,-16.587003259276038
3.19,-19.537524023057244
3.2,-20.50701859792826
3.21,-22.777459558064116
3.22,-20.11957165714339
3.23,-17.989997666066337
3.24,-18.891137974826513
3.25,-17.479516489112367
3.26,-16.651662785947867
3.27,-23.918549717885277
3.28,-24.388865312920913
3.29,-26.85694007499716
3.3,-25.21803715701488
3.31,-26.091931392896495
3.32,-22.28788418375748
3.33,-19.115653131433206
3.34,-22.236294903383396
3.35,-24.59785251903888
3.36,-27.87780181544434
3.37,-27.663804908573468
3.38,-31.24347196584827
3.39,-30.74538836044608
3.4,-34.01073507369288
3.41,-35.47021714461037
3.42,-33.99744373270901
3.43,-39.834069362963064
3.44,-41.42810278083282
3.45,-40.94205209095121
3.46,-44.779762615729474
3.47,-48.653291292865354
3.48,-46.012121738240396
3.49,-45.15542720181067
3.5,-44.82584171392076
3.51,-45.64907649135128
3.52,-45.90683693839325
3.53,-45.44823772546847
3.54,-45.01264223900363
3.55,-46.787173518080735
3.56,-42.110336232568464
3.57,-45.54807663661845
3.58,-50.30899869919435
3.59,-42.009531739778
3.6,-44.68833135423981
3.61,-44.508306471944
