seconds_elapsed,dBFS
0.0,-50.48447718534446
0.01,-52.467106645384746
0.02,-47.70232332929424
0.03,-54.18539921951661
0.04,-54.891958466351475
0.05,-54.05073156633725
0.06,-55.50174490930948
0.07,-53.28383172481285
0.08,-55.50174490930948
0.09,-53.28383172481285
0.1,-56.32959861247397
0.11,-53.04254149678523
0.12,-56.15759517723562
0.13,-52.35645687338553
0.14,-49.96833191321875
0.15,-52.807773431360346
0.16,-51.92743685167287
0.17,-52.92436430457484
0.18,-51.518613646821976
0.19,-52.69272685357852
0.2,-54.60240199897902
0.21,-54.05073156633725
0.22,-53.16234877056899
0.23,-55.19150158574453
0.24,-52.69272685357852
0.25,-53.787502645177824
0.26,-55.66112350273499
0.27,-53.918119988356985
0.28,-54.18539921951661
0.29,-51.619029674323
0.3,-51.82341297795672
0.31,-53.53201688444925
0.32,-53.04254149678523
0.33,-54.745973691521485
0.34,-51.518613646821976
0.35,-51.41934525619099
0.36,-47.83196587985263
0.37,-49.095041892122126
0.38,-49.96833191321875
0.39,-50.39629480724336
0.4,-46.96265200423083
0.41,-47.44870269411245
0.42,-47.3864379856296
0.43,-49.481144996029855
0.44,-50.30899869919435
0.45,-50.663574038402984
0.46,-53.787502645177824
0.47,-50.05225420509091
0.48,-50.48447718534446
0.49,-52.467106645384746
0.5,-54.891958466351475
0.51,-54.46116490922928
0.52,-53.65882044506962
0.53,-53.28383172481285
0.54,-55.34523815907035
0.55,-53.53201688444925
0.56,-55.823481307178575
0.57,-55.0404388279356
0.58,-52.467106645384746
0.59,-56.15759517723562
0.6,-55.823481307178575
0.61,-56.86704154048
0.62,-55.50174490930948
0.63,-56.32959861247397
0.64,-56.505077098624085
0.65,-55.50174490930948
0.66,-59.42763781218885
0.67,-57.63962958760263
0.68,-58.26779887263511
0.69,-55.823481307178575
0.7,-54.18539921951661
0.71,-54.32218771012272
0.72,-56.68417395168261
0.73,-55.823481307178575
0.74,-54.32218771012272
0.75,-58.26779887263511
0.76,-52.467106645384746
0.77,-56.32959861247397
0.78,-56.86704154048
0.79,-54.745973691521485
0.8,-55.0404388279356
0.81,-55.19150158574453
0.82,-57.43994516947061
0.83,-56.32959861247397
0.84,-58.94496421785445
0.85,-55.34523815907035
0.86,-55.34523815907035
0.87,-57.053842065562876
0.88,-53.918119988356985
0.89,-56.15759517723562
0.9,-56.32959861247397
0.91,-55.50174490930948
0.92,-53.65882044506962
0.93,-55.98893182649837
0.94,-55.823481307178575
0.95,-56.505077098624085
0.96,-58.053321564799646
0.97,-56.505077098624085
0.98,-55.19150158574453
0.99,-56.68417395168261
1.0,-55.19150158574453
1.01,-55.66112350273499
1.02,-55.66112350273499
1.03,-57.844012891236346
1.04,-55.823481307178575
1.05,-57.63962958760263
1.06,-55.66112350273499
1.07,-55.34523815907035
1.08,-55.98893182649837
1.09,-55.98893182649837
1.1,-57.053842065562876
1.11,-56.15759517723562
1.12,-55.98893182649837
1.13,-56.505077098624085
1.14,-57.053842065562876
1.15,-55.19150158574453
1.16,-58.053321564799646
1.17,-55.34523815907035
1.18,-55.34523815907035
1.19,-57.053842065562876
1.2,-52.92436430457484
1.21,-54.745973691521485
1.22,-55.19150158574453
1.23,-55.0404388279356
1.24,-57.24474842368748
1.25,-55.98893182649837
1.26,-55.66112350273499
1.27,-57.24474842368748
1.28,-57.053842065562876
1.29,-55.34523815907035
1.3,-57.24474842368748
1.31,-55.50174490930948
1.32,-55.0404388279356
1.33,-58.053321564799646
1.34,-57.43994516947061
1.35,-57.24474842368748
1.36,-57.24474842368748
1.37,-55.823481307178575
1.38,-58.053321564799646
1.39,-56.15759517723562
1.4,-56.86704154048
1.41,-52.467106645384746
1.42,-58.94496421785445
1.43,-54.18539921951661
1.44,-55.66112350273499
1.45,-55.50174490930948
1.46,-56.32959861247397
1.47,-57.63962958760263
1.48,-55.66112350273499
1.49,-56.86704154048
1.5,-57.053842065562876
1.51,-56.68417395168261
1.52,-58.26779887263511
1.53,-53.918119988356985
1.54,-55.823481307178575
