seconds_elapsed,dBFS
0.0,-24.798164931168166
0.01,-26.752499261900724
0.02,-27.141748857289365
0.03,-26.581174385284495
0.04,-23.1274741780091
0.05,-23.811008758148088
0.06,-22.462095591970275
0.07,-23.296286534015266
0.08,-24.23643917151656
0.09,-18.025824509010853
0.1,-11.624081078732933
0.11,-9.0739193430757
0.12,-8.524324071886392
0.13,-9.46930866945863
0.14,-14.193546060480973
0.15,-15.820204231252863
0.16,-14.93771650892289
0.17,-14.129932716076134
0.18,-12.378474349403252
0.19,-11.491699179859925
0.2,-11.064454072192657
0.21,-10.595081505397516
0.22,-13.144271990604096
0.23,-12.767333566181344
0.24,-14.298781161306998
0.25,-12.992711095834997
0.26,-10.355156340359827
0.27,-10.337709533975525
0.28,-9.466943338448306
0.29,-10.983347455845092
0.3,-9.935820747484003
0.31,-9.801242701386204
0.32,-11.498669000543014
0.33,-10.58252315817905
0.34,-9.990073826043034
0.35,-8.708019347617324
0.36,-7.648445241196809
0.37,-7.927181650759922
0.38,-9.242050855809008
0.39,-10.97677896555567
0.4,-11.087224303836434
0.41,-9.08296557507347
0.42,-8.654727095767718
0.43,-9.927504115636383
0.44,-10.613953136886087
0.45,-11.143456188240407
0.46,-10.777414326392158
0.47,-10.607658036184338
0.48,-10.524453224583619
0.49,-10.560142600478333
0.5,-10.50222160344233
0.51,-10.32203731505993
0.52,-11.029466499262242
0.53,-11.436141044151778
0.54,-11.611962639881138
0.55,-11.245406677881675
0.56,-11.319246900264284
0.57,-10.603164327336593
0.58,-10.201098061460234
0.59,-9.183100957669799
0.6,-9.316111647808357
0.61,-10.161725612948791
0.62,-10.578938391459547
0.63,-10.566403345996413
0.64,-10.877915630273133
0.65,-11.326079650795482
0.66,-11.291969521423429
0.67,-11.441087169015267
0.68,-11.880471878889047
0.69,-12.082649852713747
0.7,-11.47777629447294
0.71,-12.62669145896098
0.72,-11.722664164124446
0.73,-12.194160151362327
0.74,-12.184453438147179
0.75,-12.041199826559247
0.76,-12.19955746070027
0.77,-12.321344588529055
0.78,-11.909664669526617
0.79,-11.117677766435804
0.8,-9.58041338666086
0.81,-10.341196092833405
0.82,-10.839052524553093
0.83,-12.520723418340179
0.84,-15.670779856856909
0.85,-16.780614064827155
0.86,-17.983690593560194
0.87,-18.33537672105109
0.88,-21.431227763646916
