seconds_elapsed,dBFS
0.0,-22.458576900555713
0.01,-18.002625566964777
0.02,-16.313978065404072
0.03,-23.75364890113978
0.04,-24.384472953971144
0.05,-23.83158656838418
0.06,-21.052057982560882
0.07,-27.165909901068726
0.08,-27.111641757343023
0.09,-24.67016003037786
0.1,-28.18518075392605
0.11,-28.812669886290863
0.12,-28.31538587700935
0.13,-28.603187134593053
0.14,-28.475659547280667
0.15,-29.23974660068525
0.16,-29.664684633234724
0.17,-28.377749931711644
0.18,-26.183277810945707
0.19,-24.890765910984733
0.2,-27.238798913177604
0.21,-26.183277810945707
0.22,-16.97489597679638
0.23,-22.20207149568018
0.24,-22.308605997891185
0.25,-26.804562692333306
0.26,-32.947871462733524
0.27,-31.79244720669951
0.28,-33.12623275330374
0.29,-28.99740440462539
0.3,-30.449096730567526
0.31,-28.42656678238313
0.32,-31.57872384961649
0.33,-33.519437751710385
0.34,-33.41945518428073
0.35,-35.517551810192515
0.36,-35.82348130717857
0.37,-36.10665139695803
0.38,-34.419237766010966
0.39,-37.53921356010161
0.4,-37.439945169470604
0.41,-38.24611124679071
0.42,-37.65985285549987
0.43,-37.225467861635146
0.44,-40.73766878731749
0.45,-38.224477637504954
0.46,-40.680146129148255
0.47,-40.31525704682628
0.48,-38.992042325724
0.49,-37.499369959785916
0.5,-37.14877076605211
0.51,-42.178195090515246
0.52,-33.054448132834864
0.53,-31.99045446525204
0.54,-29.301403573965196
0.55,-29.901773046240198
0.56,-30.466768943455364
0.57,-30.077589827248794
0.58,-30.17967785420972
0.59,-31.57872384961649
0.6,-31.03324215228325
0.61,-31.03324215228325
0.62,-29.624453483783345
0.63,-31.03324215228325
0.64,-33.030651160037145
0.65,-33.06637111293361
0.66,-30.50222160344233
0.67,-28.89346944232566
0.68,-30.069136406009214
0.69,-31.399626996557963
0.7,-29.918365008569246
0.71,-28.97502769073445
0.72,-30.995559274792225
0.73,-30.618452432318502
0.74,-28.137698224537665
0.75,-30.54674189382732
0.76,-30.01858792403588
0.77,-32.085846524394825
0.78,-31.56867654989807
0.79,-29.721323145490164
0.8,-33.01877707802652
0.81,-31.518613646821983
0.82,-31.95888850814342
0.83,-33.27160668459903
0.84,-32.26894087217977
0.85,-34.33598579028897
0.86,-31.023806095257378
0.87,-29.46536680887903
0.88,-29.968331913218748
0.89,-29.079949117450493
0.9,-28.849303806635746
0.91,-28.66047268197892
0.92,-31.24347196584827
0.93,-31.37013328523785
0.94,-29.347935236882176
0.95,-30.188239599248014
0.96,-30.29164426856982
0.97,-31.83375948262035
0.98,-29.82749895304583
0.99,-32.15002826694891
1.0,-28.22608768811419
1.01,-32.66989927240235
1.02,-31.74108165406008
1.03,-30.65453094582345
1.04,-31.70020680386035
1.05,-30.36127101124809
1.06,-33.826482020863374
1.07,-31.639252942220246
1.08,-31.185630089687088
1.09,-29.457488450390542
1.1,-32.21468779362074
1.11,-30.431460400370135
1.12,-34.349805824450435
1.13,-31.679841285414255
1.14,-32.87753998827678
1.15,-33.569863958003346
1.16,-32.19308109183699
1.17,-34.65954621586863
1.18,-31.854489539329155
1.19,-31.70020680386035
1.2,-34.98074175694637
1.21,-31.690018075843895
1.22,-35.37631472044278
1.23,-32.947871462733524
1.24,-32.65850794009675
1.25,-33.28383172481285
1.26,-31.37013328523785
1.27,-33.030651160037145
1.28,-33.247208102157046
1.29,-31.20486794835552
1.3,-31.42922119771892
1.31,-32.66989927240235
1.32,-33.0069192063718
1.33,-32.4005477784062
1.34,-34.01073507369288
1.35,-30.90206117459249
1.36,-31.91697822351214
1.37,-30.094521391358896
1.38,-29.78650836428535
1.39,-31.37013328523785
1.4,-31.95888850814342
1.41,-30.708931267519425
1.42,-30.17967785420972
1.43,-35.597020705230754
1.44,-28.703686152397463
1.45,-30.326387873446933
1.46,-32.225511333511086
1.47,-30.911365824264358
1.48,-29.255119860694997
1.49,-28.26032458556763
1.5,-32.534179485536505
1.51,-32.75005966661059
1.52,-30.257039084796183
1.53,-31.90653217337988
1.54,-32.4005477784062
1.55,-28.75437510614651
1.56,-28.198795003794878
1.57,-31.004964678676114
1.58,-31.137721034755007
1.59,-28.219256472946455
1.6,-30.663574038402984
1.61,-30.10299956639812
1.62,-29.9266728902529
1.63,-30.83720623064922
1.64,-31.214502879613097
1.65,-31.291969521423425
1.66,-32.279832271272106
1.67,-31.558640858847422
1.68,-32.075195524117134
1.69,-30.222571223541507
1.7,-28.967581578286953
1.71,-24.03165429181129
1.72,-27.141748857289365
1.73,-26.530429023977288
1.74,-27.17801567255873
1.75,-28.849303806635746
1.76,-25.766697047411853
1.77,-27.5682496034041
1.78,-27.093627461971792
1.79,-29.31688644729489
1.8,-28.989939092916963
1.81,-28.56757458106365
1.82,-27.07565045043964
1.83,-28.22608768811419
1.84,-28.539189295546432
1.85,-27.34311675049944
1.86,-31.60893567012126
1.87,-30.162579640739466
1.88,-27.734553012425817
1.89,-28.274057220267032
1.9,-27.80588210758375
1.91,-28.689257760976613
1.92,-29.27823088888781
1.93,-27.72164678473464
1.94,-29.959984108983633
1.95,-32.25806311291453
1.96,-31.38978462764298
1.97,-30.01019170333563
1.98,-30.56461410103426
1.99,-28.23976625730026
2.0,-29.504866147700135
2.01,-30.609456170884485
2.02,-30.248409288121998
2.03,-30.205388449118754
2.04,-31.321198566296097
2.05,-28.718138551136235
2.06,-27.864681133737825
2.07,-28.617473140507737
2.08,-26.804562692333306
2.09,-29.648569805536145
2.1,-26.188681163927466
2.11,-21.172571738762382
2.12,-21.356536743988634
