seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-49.481144996029855
0.04,-40.9125583796311
0.05,-37.844012891236346
0.06,-36.005651542225195
0.07,-31.48871382508296
0.08,-25.208375432283326
0.09,-21.67529180547412
0.1,-21.136241718681372
0.11,-17.796577070696205
0.12,-18.35509498068411
0.13,-19.425156483893705
0.14,-17.108774273407743
0.15,-15.715985332475952
0.16,-17.378963698562117
0.17,-16.5192697319094
0.18,-11.665613780778513
0.19,-15.849742520344565
0.2,-15.72732355832212
0.21,-14.521615627364724
0.22,-13.211951450837677
0.23,-12.210362151281304
0.24,-14.636643395379384
0.25,-13.67672159301238
0.26,-12.176911264694752
0.27,-16.310510644344824
0.28,-15.043434478814785
0.29,-14.629498630940937
0.3,-16.25177528773577
0.31,-14.517384455905846
0.32,-15.995615851174552
0.33,-15.080967549221736
0.34,-12.515122870310652
0.35,-12.573545838105595
0.36,-12.176911264694752
0.37,-15.255739836774914
0.38,-16.123599479677743
0.39,-14.962912350128892
0.4,-15.264955635663938
0.41,-12.090110584194779
0.42,-1.9728612627354698
0.43,-1.782027223444205
0.44,-3.118739487301842
0.45,-3.4858499502856093
0.46,-3.5910188586921215
0.47,-3.240291942071065
0.48,-3.591419656497516
0.49,-6.453190756781304
0.5,-4.63935575821494
0.51,-4.4470535853614
0.52,-4.481177637626218
0.53,-3.230289587763947
0.54,-2.885793588708931
0.55,-3.5922213075952762
0.56,-3.439645149809074
0.57,-4.072650465277248
0.58,-2.1496297711511687
0.59,-2.377340865526697
0.6,-2.2765082228490687
0.61,-2.2184819037194243
0.62,-2.2369807488287443
0.63,-2.2823667056376578
0.64,-2.643465691041351
0.65,-2.672623266679671
0.66,-2.1069571663371462
0.67,-2.2689325178002653
0.68,-2.2328664882459073
0.69,-2.1594809933692436
0.7,-2.2961669780641563
0.71,-2.132332263665997
0.72,-2.1747895269985578
0.73,-2.190807298315996
0.74,-2.2034378461058495
0.75,-2.428374852219751
0.76,-2.5473300715213885
0.77,-2.34603029902174
0.78,-2.2448718662982294
0.79,-2.32210173558701
0.8,-2.199339439468911
0.81,-2.199339439468911
0.82,-2.257581334747751
0.83,-2.1588012399146734
0.84,-2.2417831838838658
0.85,-2.241440064737164
0.86,-2.146574765678067
0.87,-2.124204164218661
0.88,-2.1949016801200893
0.89,-3.5774027257135934
0.9,-2.163560631616256
0.91,-2.1867148456250782
0.92,-2.147253562930527
0.93,-2.1397897091770717
0.94,-2.138772407689868
0.95,-2.17104494870307
0.96,-2.247274934410961
0.97,-2.132332263665997
0.98,-2.1914895612680447
0.99,-2.1503088072018657
1.0,-2.0819928491087967
1.01,-2.093791354302608
1.02,-2.230467402568989
1.03,-2.2318382275295083
1.04,-2.108984448325125
1.05,-2.1258968911427454
1.06,-2.1707046125300717
1.07,-2.3693285336903487
1.08,-2.6147638404287092
1.09,-2.78878048626938
1.1,-2.163220588566589
1.11,-2.1601608000251487
1.12,-2.2243013661258986
1.13,-2.4136630946679483
1.14,-3.2237558091046905
1.15,-2.280643212241907
1.16,-2.5083225812791703
1.17,-2.667937056888057
1.18,-2.1873967871845137
1.19,-2.22464380889588
1.2,-2.1966082423272932
1.21,-2.163220588566589
1.22,-2.183305940699821
1.23,-4.379643923192053
1.24,-5.866119309181121
1.25,-2.3703732013971908
1.26,-2.3383937412810045
1.27,-2.2689325178002653
1.28,-2.2256712182184852
1.29,-2.2215623098887445
1.3,-2.233894870705194
1.31,-2.558354806507346
1.32,-2.9324800800174557
1.33,-2.1826243202303464
1.34,-2.1384333336696404
1.35,-2.2007053601570647
1.36,-3.5291177302966474
1.37,-2.1863738949218856
1.38,-2.263771050100755
1.39,-3.079352782691531
1.4,-2.3061859040404187
1.41,-2.2154025896130554
1.42,-3.475560955024004
1.43,-2.235952000967766
1.44,-2.170023980187282
1.45,-2.225328734941108
1.46,-2.147253562930527
1.47,-2.2188241171283716
1.48,-2.220535386444163
1.49,-2.238695599407465
1.5,-2.289954141976295
1.51,-2.1785357203173756
1.52,-2.2672116877524244
1.53,-2.222931730038689
1.54,-2.173768118263508
1.55,-2.273408272117539
1.56,-2.183305940699821
1.57,-2.163900687978757
1.58,-2.173087245829353
1.59,-2.1856920336632975
1.6,-2.1408071298257645
1.61,-2.1360601860790513
1.62,-2.1435208343352445
1.63,-2.196949595008089
1.64,-2.146235386943655
1.65,-2.175470532890009
1.66,-2.162880558828713
1.67,-2.152006629611553
1.68,-2.09210487202675
1.69,-2.1659413057816503
1.7,-2.4603360680833597
1.71,-3.2568596164639403
1.72,-3.7540572741452403
1.73,-3.9031643144031514
1.74,-4.568648672752327
1.75,-6.461553027224124
1.76,-8.182460462755035
1.77,-10.798524439987728
1.78,-10.693483219941925
1.79,-10.8169228574537
1.8,-12.966723102554816
1.81,-13.638407064021486
1.82,-15.043434478814785
1.83,-14.906692803452323
1.84,-16.705915864506895
1.85,-15.808744192371218
1.86,-19.659006977301107
1.87,-2.854808091475851
1.88,-1.635201779360386
1.89,-1.9118655272489358
1.9,-2.1181130772663335
1.91,-1.2827897824377654
1.92,-1.3779447091408423
1.93,-1.530560820967539
1.94,-1.1580214909741873
1.95,-2.1029040213088326
1.96,-4.300132659073791
1.97,-6.165470557291114
1.98,-7.841767524268431
1.99,-9.728632108264726
2.0,-7.5841026642715095
2.01,-11.22028897262471
2.02,-8.644681456074409
2.03,-10.055628021267752
2.04,-10.787504066796878
2.05,-11.562653743944473
2.06,-11.414411493128442
2.07,-11.781120693800712
2.08,-11.984132089887563
2.09,-14.318052556682057
2.1,-14.120498123253673
2.11,-12.075195524117133
2.12,-13.898401728723961
2.13,-8.86988649313475
2.14,-2.29271485384318
2.15,-1.6428847250318994
2.16,-1.8713287753522296
2.17,-1.9121958708562574
2.18,-1.836873284770998
2.19,-1.3074053067605906
2.2,-1.6010310938471581
2.21,-2.3227943902634585
2.22,-1.3000133219410728
2.23,-2.1928542479652338
2.24,-2.8206311636111794
2.25,-2.4959477542279225
