seconds_elapsed,dBFS
0.0,-28.768912163327354
0.01,-28.967581578286953
0.02,-29.91006506561751
0.03,-30.754526593417395
0.04,-30.582523158179047
0.05,-32.56791113817521
0.06,-30.948684419321516
0.07,-30.052254205090914
0.08,-29.536595460200303
0.09,-29.473252319759318
0.1,-31.01438027812177
0.11,-31.79244720669951
0.12,-31.11863115973439
0.13,-28.99740440462539
0.14,-31.301701611671895
0.15,-29.592402194137794
0.16,-31.301701611671895
0.17,-29.102598125428653
0.18,-28.937860797747096
0.19,-29.441753138771766
0.2,-29.402539123461207
0.21,-27.963572786079073
0.22,-27.983486947583472
0.23,-28.864000746924063
0.24,-29.332396968627354
0.25,-30.939339728115655
0.26,-29.544545931819982
0.27,-29.943312530663736
0.28,-29.186153458013308
0.29,-29.004876138108116
0.3,-27.638220531790004
0.31,-26.637908026817122
0.32,-26.96856278338923
0.33,-26.070577013024167
0.34,-25.40368191004513
0.35,-25.89115371480397
0.36,-26.479978409896447
0.37,-27.20835412337495
0.38,-27.549264044723728
0.39,-29.14807409128872
0.4,-30.213975587374332
0.41,-29.371294882440154
0.42,-29.379095412500188
0.43,-29.11016093795526
0.44,-27.549264044723728
0.45,-27.50512512762173
0.46,-28.308484097037105
0.47,-29.14047821005425
0.48,-30.864941931613068
0.49,-30.83720623064922
0.5,-30.618452432318502
0.51,-28.64611583633331
0.52,-28.72537377824186
0.53,-29.70510299205933
0.54,-28.99740440462539
0.55,-29.27823088888781
0.56,-27.251006771319407
0.57,-29.504866147700135
0.58,-27.87780181544434
0.59,-27.40507057691072
0.6,-26.575521349199455
0.61,-26.530429023977288
0.62,-27.80588210758375
0.63,-27.275474082253403
0.64,-26.485569584623185
0.65,-26.845273330948878
0.66,-27.555587954459252
0.67,-27.269350790044875
0.68,-26.874469626129734
0.69,-27.15382097825708
0.7,-27.5682496034041
0.71,-27.72164678473464
0.72,-27.263231811533227
0.73,-28.732615037217386
0.74,-28.482695505249897
0.75,-26.986319293092173
0.76,-26.10262830266972
0.77,-25.86507777315996
0.78,-25.088502019346407
0.79,-24.881461261312868
0.8,-24.881461261312868
0.81,-25.19390296633347
0.82,-24.904741601269503
0.83,-24.292742816832018
0.84,-25.290844705177236
0.85,-28.01677901455089
0.86,-26.221172060808364
0.87,-25.859871965609422
0.88,-26.67784322193863
0.89,-27.63183619512766
0.9,-28.17158780962128
0.91,-28.475659547280667
0.92,-26.74673365290172
0.93,-27.542944735868726
0.94,-27.17801567255873
0.95,-27.57458735606622
0.96,-26.839445830134462
0.97,-25.548076636618447
0.98,-27.171960677794132
0.99,-27.587276751512412
1.0,-27.473734093678598
1.01,-25.623716211618568
1.02,-24.904741601269503
1.03,-25.885932260100255
1.04,-27.147782820462254
1.05,-27.442456099353425
1.06,-26.001535643525916
1.07,-26.42981913881062
1.08,-26.524808907548234
1.09,-26.113338402224056
1.1,-26.0652466111152
1.11,-26.775600045831368
1.12,-25.828702471737074
1.13,-26.63221795806593
1.14,-25.548076636618447
1.15,-26.530429023977288
1.16,-26.424263724717775
1.17,-26.502364735788525
