seconds_elapsed,dBFS
0.0,-13.849953888244723
0.01,-15.132274204255191
0.02,-13.868253737742652
0.03,-13.574922717399732
0.04,-12.557777880594177
0.05,-12.489406759400579
0.06,-13.104635005819226
0.07,-14.353956126180144
0.08,-13.47805539406329
0.09,-12.179065503207298
0.1,-11.8534518606184
0.11,-11.509632888167634
0.12,-12.488290392888139
0.13,-9.097308071977062
0.14,-8.065615739161164
0.15,-7.594263829004885
0.16,-7.2126099753108965
0.17,-8.481287857627006
0.18,-9.155676620997774
0.19,-8.037484363182998
0.2,-7.868615257593742
0.21,-7.308614660891387
0.22,-7.790269359872484
0.23,-7.996788465708362
0.24,-8.058239187008201
0.25,-8.132288140502244
0.26,-8.839764113597658
0.27,-8.615328741129344
0.28,-9.26127679140686
0.29,-10.345556260405544
0.3,-10.769167793071349
0.31,-11.668660570510331
0.32,-14.805530990698621
0.33,-19.725526633959895
0.34,-21.245690848677214
0.35,-21.3101789237276
0.36,-18.368265399641288
0.37,-16.5263747545044
0.38,-15.490697169568705
0.39,-14.69113652545278
0.4,-15.009046713496746
0.41,-16.44677638995153
0.42,-18.370462412334945
0.43,-16.503304648941764
0.44,-13.936564171676578
0.45,-12.12751067117627
0.46,-11.586770065697271
0.47,-12.597251575401236
0.48,-13.972246081153655
0.49,-15.38877654415584
0.5,-17.81510807375273
0.51,-21.74630281861858
0.52,-25.344627475392866
0.53,-22.554085507017085
0.54,-20.79557493270576
0.55,-21.209054353005158
0.56,-23.860477651075303
0.57,-26.14017157042301
0.58,-34.33598579028897
0.59,-36.55841947490166
0.6,-33.984172699358695
0.61,-40.94205209095121
0.62,-41.2426318982536
0.63,-33.81346944968344
0.64,-28.682052543111705
0.65,-23.90191804284092
0.66,-16.91708307870809
0.67,-13.435624239611482
0.68,-14.08554479786327
0.69,-15.343687245819543
0.7,-18.724763094564373
0.71,-26.944943762341737
0.72,-19.666656374218277
0.73,-16.604916009774065
0.74,-15.629012968426618
0.75,-16.032470211583863
0.76,-15.669169718815768
0.77,-15.281876704686486
0.78,-14.275437518476494
0.79,-13.638407064021486
0.8,-12.06987491774062
0.81,-11.757485605372146
0.82,-11.923251889106705
0.83,-10.085204946994528
0.84,-7.018372773085733
0.85,-7.697177659926879
0.86,-6.892620738520981
0.87,-7.0852335595491684
0.88,-7.341264945857943
0.89,-7.6433313819745745
0.9,-7.472480808972858
0.91,-7.584737388933859
0.92,-7.398855271001105
0.93,-7.4455788351907914
0.94,-7.328929660623408
0.95,-7.563182728744997
0.96,-8.472143704432394
0.97,-8.32436639757672
0.98,-8.506660484154159
0.99,-8.177022434943618
1.0,-8.160728749431382
