seconds_elapsed,dBFS
0.0,-33.11422737525142
0.01,-32.18229786309254
0.02,-27.753948382534894
0.03,-28.812669886290863
0.04,-29.15567662099777
0.05,-27.202277949893123
0.06,-25.969854551972418
0.07,-27.670212794985865
0.08,-28.00344687127633
0.09,-27.542944735868726
0.1,-26.188681163927466
0.11,-25.155427201810664
0.12,-25.493023276847737
0.13,-26.564226302564784
0.14,-29.713209282557244
0.15,-30.231175374456143
0.16,-31.885677686439582
0.17,-32.6813055637829
0.18,-35.34523815907035
0.19,-39.182948683848615
0.2,-43.86461280451597
0.21,-44.37569489396373
0.22,-47.63822053179
0.23,-48.164799306236986
0.24,-48.301587796843094
0.25,-48.23292428007521
0.26,-48.798059471343734
0.27,-49.40253912346121
0.28,-44.37569489396373
0.29,-23.81923403304123
0.3,-19.48490488552919
0.31,-20.189728338831834
0.32,-21.601668566941132
0.33,-21.525503902324985
0.34,-24.402055732521998
0.35,-33.06637111293361
0.36,-30.326387873446933
0.37,-29.201432071694352
0.38,-25.227709640907598
0.39,-25.2713696081438
0.4,-24.214880734939047
0.41,-21.133221064977455
0.42,-22.350198525753605
0.43,-21.636801832719993
0.44,-20.677279971841912
0.45,-22.65425338396775
0.46,-23.57980402222377
0.47,-24.793560695895728
0.48,-24.232123201421267
0.49,-25.30059865301648
0.5,-24.839713246767428
0.51,-25.751264606920884
0.52,-25.700020271628876
0.53,-25.408621284439295
0.54,-24.56640628481214
0.55,-25.315250143088328
0.56,-24.06121971178252
0.57,-22.72288834418272
0.58,-22.51504773506664
0.59,-19.5249667133118
0.6,-20.871434713048544
0.61,-17.89378889931024
0.62,-20.40366381143815
0.63,-17.631553446027702
0.64,-19.185361766136133
0.65,-18.48993399543464
0.66,-19.766716466398254
0.67,-18.49439058334055
0.68,-18.127787700592616
0.69,-19.277559225709282
0.7,-19.467435772481846
0.71,-26.424263724717775
0.72,-25.20354859712824
0.73,-25.65415744477962
0.74,-25.74612654723952
0.75,-25.295720309929486
0.76,-26.468806846120955
0.77,-27.06966637191286
0.78,-30.727140686427823
0.79,-28.768912163327354
0.8,-29.14047821005425
0.81,-29.16328581083006
0.82,-28.36385250532596
0.83,-28.560469558468643
0.84,-27.773387158954176
0.85,-27.779876430558268
0.86,-28.09720449320938
0.87,-32.19308109183699
0.88,-33.697225325491466
0.89,-33.984172699358695
0.9,-31.31144461845686
0.91,-32.64713152768056
0.92,-30.74538836044608
0.93,-28.79805947134374
0.94,-27.492555097008147
0.95,-26.88032068033419
0.96,-27.220519236901417
0.97,-29.402539123461207
0.98,-31.619029674323002
0.99,-34.57397025628313
1.0,-36.26038797028385
1.01,-31.48871382508296
1.02,-32.467106645384746
1.03,-31.109101932626032
1.04,-31.042688471472133
1.05,-22.0497132592611
1.06,-17.647713245364372
1.07,-17.615423655620713
1.08,-16.510396618829997
1.09,-19.022780499982304
1.1,-26.764041974081888
1.11,-30.7911759711585
1.12,-21.052057982560882
1.13,-15.58266254111218
1.14,-13.989478679754647
1.15,-15.080967549221736
1.16,-18.399074262682873
1.17,-25.393811579848816
1.18,-31.37013328523785
1.19,-37.619453295979724
1.2,-35.11564180540175
1.21,-33.93129040731416
1.22,-37.63962958760262
1.23,-38.37705678666515
1.24,-38.42114769168582
1.25,-39.88623702511363
1.26,-42.88764145375963
1.27,-38.267798872635105
1.28,-21.42810278083283
1.29,-12.55440275343375
1.3,-10.282114090962331
1.31,-11.5726940752417
1.32,-16.106651396958032
1.33,-22.593299522327644
1.34,-26.874469626129734
1.35,-32.6813055637829
1.36,-32.70416318128475
1.37,-35.100549030730114
1.38,-31.864873150414027
1.39,-27.695891718753742
1.4,-24.6565564416331
1.41,-24.867522949194157
1.42,-22.781109858449035
1.43,-21.59529594036176
1.44,-18.881810844117563
1.45,-18.379256024463476
1.46,-19.270244791897614
1.47,-15.498586978121063
1.48,-11.428233098105991
1.49,-13.495587472526179
1.5,-17.844012891236346
1.51,-19.039376991306145
1.52,-20.29329524084524
1.53,-22.150987896341654
1.54,-23.559813473381233
1.55,-23.048046808772487
1.56,-21.81789916706009
1.57,-20.945006977742104
1.58,-22.226013715000455
1.59,-24.49495383343727
1.6,-28.937860797747096
1.61,-32.4005477784062
1.62,-28.3222931454752
1.63,-29.057359014631096
1.64,-30.10299956639812
1.65,-27.6510033003047
1.66,-27.34311675049944
1.67,-24.35816534283116
1.68,-23.346797329589602
1.69,-22.291334388227103
1.7,-19.925569422761175
1.71,-18.361677693873805
1.72,-18.06816380628897
1.73,-17.674037211262966
1.74,-18.731632125873784
1.75,-19.063141410064862
1.76,-43.86461280451597
1.77,-53.04254149678523
1.78,-59.42763781218885
1.79,-65.20354859712823
1.8,-69.48114499602985
1.81,-74.74597369152148
1.82,-78.2677988726351
1.83,-80.76657360480111
1.84,-84.28839878591472
1.85,-90.30899869919435
1.86,-90.30899869919435
1.87,-90.30899869919435
1.88,-100
1.89,-100
1.9,-100
1.91,-100
1.92,-100
1.93,-100
1.94,-100
1.95,-100
1.96,-100
1.97,-100
1.98,-100
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-78.2677988726351
2.1,-72.24719895935547
2.11,-70.30899869919435
2.12,-71.22414851040786
2.13,-63.46054508275023
2.14,-54.745973691521485
2.15,-46.39100565100968
2.16,-39.78221315139747
2.17,-32.70416318128475
2.18,-24.923410903756384
2.19,-19.73323486369643
2.2,-19.666656374218277
2.21,-19.51994886820514
2.22,-19.211950011753267
2.23,-18.724763094564373
2.24,-19.082199870016332
2.25,-19.343667795779453
2.26,-19.267808015436668
2.27,-12.877539988276784
2.28,-7.35052791958223
2.29,-8.136345387584841
2.3,-8.855179598936987
2.31,-9.025831249931995
2.32,-10.524453224583619
2.33,-13.453070795682756
2.34,-13.239901871833023
2.35,-13.441851130435245
2.36,-13.30588025075251
2.37,-15.462353052051391
2.38,-14.864031899757286
2.39,-16.762335670796322
2.4,-21.12114894400974
2.41,-22.378037939451715
2.42,-21.14228617935541
2.43,-23.79458153880612
2.44,-23.786379564978468
2.45,-26.25378495133036
2.46,-27.498837838430763
2.47,-26.700746042427884
2.48,-28.212430626121247
2.49,-28.539189295546432
2.5,-27.238798913177604
2.51,-28.689257760976613
2.52,-30.63647295670367
2.53,-30.511107424818892
2.54,-30.754526593417395
2.55,-32.796199959110986
2.56,-35.82348130717857
2.57,-37.96899187677637
2.58,-31.761591438413884
2.59,-27.963572786079073
2.6,-28.496784542626223
2.61,-33.852565793132264
2.62,-41.61762061851039
2.63,-41.12114894400974
2.64,-44.508306471944
2.65,-41.71395309914619
2.66,-32.80777343136036
2.67,-23.389767862931528
2.68,-24.738499404454007
2.69,-20.580389122105682
2.7,-12.437092022796694
2.71,-7.33817948184977
2.72,-10.771915767669979
2.73,-7.180438852833358
2.74,-3.6719532605222645
2.75,-5.461152071679511
2.76,-6.868622510703228
2.77,-7.400097976438245
2.78,-7.561916471779701
2.79,-11.77597715741658
2.8,-14.324945573183854
2.81,-13.086677815966452
2.82,-15.203700870949422
2.83,-11.740057435010716
2.84,-14.279552428764937
2.85,-11.482746191981118
2.86,-14.630927113739657
2.87,-14.084203244128568
2.88,-14.434587562923891
2.89,-13.720350026842386
2.9,-16.833839968202824
2.91,-18.29607398594647
2.92,-19.11325933518323
2.93,-24.292742816832018
2.94,-22.28788418375748
2.95,-22.991754391143253
2.96,-22.448029370858794
2.97,-20.720371955239628
2.98,-22.472660226929378
2.99,-20.874365669593335
3.0,-20.492979658977255
3.01,-21.163474977967844
3.02,-21.691379770136532
3.03,-22.45154379115277
3.04,-20.16537915398954
3.05,-20.743442060802266
3.06,-19.64372836362006
3.07,-20.373172385193513
3.08,-19.07504804611449
3.09,-18.425569116896114
3.1,-16.635452722820517
3.11,-10.524453224583619
3.12,-8.160728749431382
3.13,-10.702566979019231
3.14,-6.572131292704956
3.15,-7.890284847971736
3.16,-7.914645517084459
3.17,-7.211393804819122
3.18,-8.42167273247167
3.19,-6.614602396188928
3.2,-7.182862709312898
3.21,-8.47776973629491
3.22,-7.0350397813429755
3.23,-7.986810417927469
3.24,-7.489415429654942
3.25,-5.988849337028115
3.26,-6.349060747251638
3.27,-8.352750551888578
3.28,-6.89203462632817
3.29,-7.222345474348256
3.3,-8.446871559636223
3.31,-6.483891854269055
3.32,-8.314005082214608
3.33,-8.325057591595948
3.34,-8.145142596493516
3.35,-10.532470558288843
3.36,-8.258952515485312
3.37,-8.697190410124335
3.38,-10.851987582249755
3.39,-9.071659256423095
3.4,-11.043633668669655
3.41,-8.358993654560628
3.42,-8.691420492358017
3.43,-8.827304918629482
3.44,-8.373578368529856
3.45,-12.248284763424413
3.46,-8.02145010347125
3.47,-10.567298106711917
3.48,-10.086898102874757
3.49,-7.342499438418017
3.5,-7.757185159035202
3.51,-6.285974146089156
3.52,-9.245892639956768
3.53,-7.23026360997566
3.54,-8.684213480960413
3.55,-6.883833205678846
3.56,-7.603164609679316
3.57,-9.101842206222043
3.58,-6.721410341559225
3.59,-7.84569128113597
3.6,-7.505754106921625
3.61,-7.367226206631027
3.62,-6.971519682017976
3.63,-8.66047268197892
3.64,-8.18722153154551
3.65,-10.34032432190498
3.66,-7.760423142162379
3.67,-10.662669305353052
3.68,-8.318838824635058
3.69,-12.114669634507464
3.7,-8.539189295546434
3.71,-9.816002075605466
3.72,-8.847835479417638
3.73,-8.864736247126716
3.74,-9.578017609611312
3.75,-6.863363470094345
3.76,-8.7609137712324
3.77,-7.579026536060375
3.78,-9.909235507368653
3.79,-8.241819901863101
3.8,-9.014599010376209
3.81,-7.379616037756961
3.82,-9.93249313911534
3.83,-9.382998306134974
3.84,-10.607658036184338
3.85,-8.893469442325664
3.86,-10.847365707167008
3.87,-8.224037759385473
3.88,-11.629135422569512
3.89,-9.218269646095333
3.9,-10.07843562204357
3.91,-7.274249078423988
3.92,-7.7883197381580995
3.93,-6.692723184106418
3.94,-8.573262786661873
3.95,-10.465000103282655
3.96,-10.772831952433034
3.97,-10.712570098589854
3.98,-10.291644268569819
3.99,-16.915224538070195
4.0,-19.103690741940063
4.01,-19.562693236954164
4.02,-19.262936512427274
4.03,-19.565214174321465
4.04,-19.901948617527996
4.05,-19.79773753379302
4.06,-19.08458512051548
