seconds_elapsed,dBFS
0.0,-35.17627653427739
0.01,-36.81177588443812
0.02,-38.62237421184374
0.03,-38.59978410902434
0.04,-40.09809849506211
0.05,-41.77877347190285
0.06,-43.86461280451597
0.07,-44.64297412512336
0.08,-44.073921478079264
0.09,-42.63269137958573
0.1,-38.62237421184374
0.11,-35.565145845099615
0.12,-31.128170852772485
0.13,-29.91006506561751
0.14,-28.050199177512752
0.15,-27.232701412303776
0.16,-26.070577013024167
0.17,-25.823518413309202
0.18,-28.596052933257226
0.19,-31.927436851672873
0.2,-33.09026628519248
0.21,-33.76161323811785
0.22,-33.53201688444925
0.23,-34.847904831909105
0.24,-38.42114769168582
0.25,-41.36583807234997
0.26,-42.81403177899228
0.27,-42.52567701190371
0.28,-37.459708294351934
0.29,-38.736214499832904
0.3,-36.793431865712655
0.31,-38.736214499832904
0.32,-36.72044076695198
0.33,-34.68825992677172
0.34,-34.616652846536844
0.35,-35.872786394943425
0.36,-36.15759517723562
0.37,-34.616652846536844
0.38,-33.29607399553303
0.39,-34.906692803452316
0.4,-35.23733752133622
0.41,-37.12970184590566
0.42,-37.53921356010161
0.43,-37.51926891382263
0.44,-38.532364187310215
0.45,-39.27999873973685
0.46,-38.333188563932055
0.47,-37.400553312212516
0.48,-35.47021714461037
0.49,-37.579240772127044
0.5,-37.619453295979724
0.51,-37.59932376289611
0.52,-37.88547306369365
0.53,-37.28343841923147
0.54,-40.623001912258644
0.55,-40.23318503805073
0.56,-41.81136596657302
0.57,-40.56623118965063
0.58,-42.52567701190371
0.59,-41.36583807234997
0.6,-42.009531739778
0.61,-42.3501985257536
0.62,-42.96188027867397
0.63,-41.942972872799444
0.64,-42.7410406802316
0.65,-41.03113891947621
0.66,-41.459403317905384
0.67,-40.28781345483932
0.68,-38.465463551277026
0.69,-37.823356782480985
0.7,-38.532364187310215
0.71,-36.885541844892686
0.72,-37.53921356010161
0.73,-36.225988362398375
0.74,-37.32230152495152
0.75,-37.72080671713998
0.76,-38.24611124679071
0.77,-39.378145429631736
0.78,-39.15885466108119
0.79,-39.402856369877874
0.8,-40.23318503805073
0.81,-40.85386971285011
0.82,-40.680146129148255
0.83,-40.88316447801559
0.84,-38.96847137601314
0.85,-40.39811194826538
0.86,-41.74630281861858
0.87,-41.84408122045819
0.88,-39.378145429631736
0.89,-39.01567741415257
0.9,-40.623001912258644
0.91,-41.5539874427866
0.92,-42.668657847696984
0.93,-42.38501175727962
0.94,-42.9246815509915
0.95,-42.52567701190371
0.96,-42.63269137958573
0.97,-44.15907794093009
0.98,-43.57980402222377
0.99,-43.1884815553319
1.0,-44.96556413113407
1.01,-44.59785251903888
1.02,-45.251938079596485
1.03,-43.57980402222377
1.04,-43.421153225492134
1.05,-44.24507755078458
1.06,-45.49801373354236
1.07,-45.251938079596485
1.08,-43.782281480619325
1.09,-43.700723232210535
1.1,-43.3040383325111
1.11,-44.41967417596249
1.12,-45.01264223900363
1.13,-45.10757093949286
1.14,-45.39874534291136
1.15,-45.251938079596485
1.16,-46.28105621278533
1.17,-46.90376439129521
1.18,-45.251938079596485
1.19,-44.87216656846438
1.2,-41.03113891947621
1.21,-41.1816780366135
1.22,-42.81403177899228
1.23,-47.02194158350561
1.24,-45.95931981491623
1.25,-48.097204493209375
1.26,-47.3864379856296
1.27,-39.06314141006486
1.28,-29.441753138771766
1.29,-27.593628407837908
1.3,-25.39874534291136
1.31,-25.67451103262403
1.32,-28.864000746924063
1.33,-33.65882044506963
1.34,-37.88547306369365
1.35,-44.463877272064835
1.36,-45.39874534291136
1.37,-44.37569489396373
1.38,-41.64961288170624
1.39,-31.782149766681258
1.4,-30.56461410103426
1.41,-27.312304764878657
1.42,-28.117427761106622
1.43,-28.301587796843094
1.44,-26.609494885229136
1.45,-24.49495383343727
1.46,-23.512023038441615
1.47,-28.137698224537665
1.48,-33.06637111293361
1.49,-41.06103874121523
1.5,-41.97618855242873
1.51,-41.21210149902416
1.52,-39.1108661984721
1.53,-39.378145429631736
1.54,-34.98074175694637
1.55,-31.321198566296097
1.56,-29.70510299205933
1.57,-28.864000746924063
1.58,-30.052254205090914
1.59,-29.560468740381882
1.6,-28.151238195538383
1.61,-27.728097501435194
1.62,-25.885932260100255
1.63,-27.638220531790004
1.64,-31.023806095257378
1.65,-36.140580696500095
1.66,-38.37705678666515
1.67,-38.13847802765047
1.68,-38.851566655184754
1.69,-39.20710972762797
1.7,-38.66773144096018
1.71,-39.15885466108119
1.72,-35.206753371292926
1.73,-33.16234877056899
1.74,-31.53860419566452
1.75,-32.715614586553286
1.76,-32.433763458035486
1.77,-32.09651060141033
1.78,-31.43910838107231
1.79,-32.85422214974098
1.8,-32.635769996122
1.81,-30.248409288121998
1.82,-30.154043139179556
1.83,-28.805361606820526
1.84,-33.99744373270901
1.85,-34.363647882580025
1.86,-36.505077098624085
1.87,-35.50174490930948
1.88,-35.83988525849064
1.89,-36.140580696500095
1.9,-35.613002107417415
1.91,-35.92237295951982
1.92,-37.63962958760262
1.93,-35.36076254146589
1.94,-34.32218771012272
1.95,-32.47824954574307
1.96,-35.438803404625766
1.97,-35.161078123333866
1.98,-37.016159188071846
1.99,-37.11067469779735
2.0,-36.243171136821125
2.01,-33.81346944968344
2.02,-29.82749895304583
2.03,-33.054448132834864
2.04,-37.18703465893772
2.05,-39.91243882367998
2.06,-41.30401653280713
2.07,-41.00134167022599
2.08,-42.63269137958573
2.09,-40.12494825257229
2.1,-41.64961288170624
2.11,-41.42810278083282
2.12,-42.2123243667956
2.13,-40.4537909186576
2.14,-41.21210149902416
2.15,-41.64961288170624
2.16,-42.49029655712677
2.17,-43.1122890523966
2.18,-42.88764145375963
2.19,-43.15030175918528
2.2,-44.15907794093009
2.21,-44.733926680137785
2.22,-45.75126460692089
2.23,-45.300598653016465
2.24,-46.84527333094888
2.25,-45.95931981491623
2.26,-46.06524661111521
2.27,-46.118698408341736
2.28,-46.06524661111521
2.29,-46.39100565100968
2.3,-48.581802085699394
2.31,-46.5585842824651
2.32,-46.50236473578853
2.33,-47.263231811533224
2.34,-46.96265200423083
2.35,-47.51141697116962
2.36,-47.32461644608676
2.37,-47.574587356066225
2.38,-46.67212694029891
2.39,-46.96265200423083
2.4,-39.628476578071655
2.41,-35.581068653661504
2.42,-43.1122890523966
2.43,-47.83196587985263
2.44,-49.481144996029855
2.45,-47.7669027318982
2.46,-49.56046874038188
2.47,-47.89752007507736
2.48,-48.37079843903322
2.49,-47.51141697116962
2.5,-48.653291292865354
2.51,-48.798059471343734
2.52,-42.455059634001046
2.53,-37.823356782480985
2.54,-40.23318503805073
2.55,-48.510896470406394
2.56,-48.097204493209375
2.57,-49.40253912346121
2.58,-51.128170852772485
2.59,-49.481144996029855
2.6,-49.247429829525956
2.61,-49.64052358945536
2.62,-49.885212717795596
2.63,-50.30899869919435
2.64,-49.247429829525956
2.65,-46.84527333094888
2.66,-45.44823772546847
2.67,-44.463877272064835
2.68,-40.59457016956276
2.69,-30.87420688143879
2.7,-32.001001994948965
2.71,-34.15829813781729
2.72,-47.20227794989312
2.73,-43.94773199993912
2.74,-49.72132314549016
2.75,-48.44056499594966
2.76,-49.247429829525956
2.77,-48.72537377824186
2.78,-49.481144996029855
2.79,-49.80288139389895
2.8,-49.095041892122126
2.81,-49.72132314549016
2.82,-41.71395309914619
2.83,-44.91873981483603
2.84,-45.70002027162887
2.85,-44.87216656846438
2.86,-38.48770655866437
2.87,-38.992042325724
2.88,-45.85466927624269
2.89,-49.01983891465598
2.9,-47.89752007507736
2.91,-47.96357278607907
2.92,-47.70232332929424
2.93,-48.72537377824186
2.94,-49.56046874038188
2.95,-47.96357278607907
2.96,-47.96357278607907
2.97,-49.40253912346121
2.98,-48.87135855307185
2.99,-49.80288139389895
3.0,-50.136995263955995
3.01,-49.40253912346121
3.02,-49.885212717795596
3.03,-49.80288139389895
3.04,-49.32463824579072
3.05,-48.37079843903322
3.06,-47.7669027318982
3.07,-46.787173518080735
3.08,-45.90683693839325
3.09,-46.17248117855736
3.1,-44.64297412512336
3.11,-44.82584171392076
3.12,-43.342901438231145
3.13,-41.71395309914619
3.14,-43.03675910135147
3.15,-46.118698408341736
3.16,-45.10757093949286
3.17,-44.779762615729474
3.18,-46.33585696010591
3.19,-47.263231811533224
3.2,-47.141748857289365
3.21,-47.20227794989312
3.22,-47.63822053179
3.23,-49.481144996029855
3.24,-49.40253912346121
3.25,-48.03013165305762
3.26,-48.72537377824186
3.27,-49.32463824579072
3.28,-48.653291292865354
3.29,-49.095041892122126
3.3,-50.05225420509091
3.31,-48.510896470406394
3.32,-48.44056499594966
3.33,-49.01983891465598
3.34,-48.798059471343734
3.35,-49.247429829525956
3.36,-47.44870269411245
3.37,-46.787173518080735
3.38,-46.17248117855736
3.39,-44.508306471944
3.4,-40.39811194826538
3.41,-43.86461280451597
3.42,-44.91873981483603
3.43,-45.85466927624269
3.44,-45.70002027162887
3.45,-45.10757093949286
3.46,-44.33193717100022
3.47,-44.463877272064835
3.48,-37.20623000296671
3.49,-36.17464305245918
3.5,-36.540602259140144
3.51,-37.439945169470604
3.52,-39.27999873973685
3.53,-39.730664693641266
3.54,-40.07133147961686
3.55,-40.94205209095121
3.56,-40.9125583796311
3.57,-39.75640068176758
3.58,-39.96508074019487
3.59,-39.47741382026274
3.6,-38.69049918568197
3.61,-37.38092417473297
3.62,-34.02404678455595
3.63,-32.422677445505585
3.64,-31.771864520200506
3.65,-32.7270811091929
3.66,-32.97144241244438
3.67,-37.579240772127044
3.68,-45.15542720181067
3.69,-47.02194158350561
3.7,-46.67212694029891
3.71,-44.733926680137785
3.72,-44.64297412512336
3.73,-44.87216656846438
3.74,-38.69049918568197
3.75,-29.600403935503394
3.76,-26.237463199634906
3.77,-25.503007059140103
3.78,-25.720481740780453
3.79,-26.40761876982255
3.8,-25.849469701326527
3.81,-26.485569584623185
3.82,-26.446506732105128
3.83,-26.86277932875527
3.84,-27.5682496034041
3.85,-29.410367776211153
3.86,-30.222571223541507
3.87,-29.347935236882176
3.88,-31.05214507516951
3.89,-41.81136596657302
3.9,-44.24507755078458
3.91,-43.0744419788425
3.92,-45.90683693839325
3.93,-41.15136076451451
3.94,-33.11422737525142
3.95,-29.095041892122122
3.96,-27.74747844582005
3.97,-28.440564995949657
3.98,-27.644609564544467
3.99,-28.732615037217386
4.0,-28.377749931711644
4.01,-26.73521390368256
4.02,-29.489044850724543
4.03,-32.29073734444098
4.04,-31.253149838312517
4.05,-31.282248323276
4.06,-32.24719895935549
4.07,-31.875269189522314
4.08,-31.864873150414027
4.09,-36.59416392714908
4.1,-43.61992367617574
4.11,-46.90376439129521
4.12,-44.37569489396373
4.13,-45.54807663661845
4.14,-40.04464669783558
4.15,-33.544614261041836
4.16,-30.422655645801623
4.17,-28.747115691066142
4.18,-26.55858428246509
4.19,-29.17852421761235
4.2,-32.7270811091929
4.21,-34.23985638622608
4.22,-32.936109931297835
4.23,-37.302848236555626
4.24,-38.24611124679071
4.25,-43.50011640239199
4.26,-43.421153225492134
4.27,-46.61517008284237
4.28,-45.59842976104338
4.29,-46.61517008284237
4.3,-45.49801373354236
4.31,-47.141748857289365
4.32,-47.3864379856296
4.33,-47.141748857289365
4.34,-45.49801373354236
4.35,-47.70232332929424
4.36,-46.61517008284237
4.37,-45.64907649135128
4.38,-46.96265200423083
4.39,-45.95931981491623
4.4,-46.39100565100968
4.41,-44.55296410058984
4.42,-46.50236473578853
4.43,-45.20354859712824
4.44,-44.87216656846438
4.45,-45.802813064677096
4.46,-45.20354859712824
4.47,-46.729459753330964
4.48,-46.012121738240396
4.49,-46.22659904607586
4.5,-45.64907649135128
4.51,-47.32461644608676
4.52,-47.08163865449485
4.53,-45.95931981491623
4.54,-46.22659904607586
4.55,-46.06524661111521
4.56,-46.67212694029891
4.57,-46.67212694029891
4.58,-45.802813064677096
4.59,-44.37569489396373
4.6,-44.508306471944
4.61,-45.44823772546847
4.62,-43.26534833696711
4.63,-44.28839878591474
4.64,-44.33193717100022
4.65,-44.64297412512336
4.66,-44.03165429181129
4.67,-44.68833135423981
4.68,-43.782281480619325
4.69,-43.22682991624633
4.7,-44.11639535067637
4.71,-43.82334959324051
4.72,-44.28839878591474
4.73,-44.20197131026188
4.74,-44.82584171392076
4.75,-45.95931981491623
4.76,-46.06524661111521
4.77,-45.251938079596485
4.78,-44.91873981483603
4.79,-45.85466927624269
4.8,-46.90376439129521
4.81,-46.17248117855736
4.82,-46.90376439129521
4.83,-47.08163865449485
4.84,-47.83196587985263
4.85,-46.96265200423083
4.86,-48.581802085699394
4.87,-46.787173518080735
4.88,-47.141748857289365
4.89,-46.67212694029891
4.9,-48.37079843903322
4.91,-47.83196587985263
4.92,-48.581802085699394
4.93,-48.164799306236986
4.94,-47.141748857289365
4.95,-47.70232332929424
4.96,-47.7669027318982
4.97,-47.44870269411245
4.98,-48.72537377824186
4.99,-48.945281464271126
5.0,-47.70232332929424
5.01,-48.301587796843094
5.02,-47.3864379856296
5.03,-47.7669027318982
5.04,-48.23292428007521
5.05,-47.7669027318982
5.06,-49.247429829525956
5.07,-48.164799306236986
5.08,-48.798059471343734
5.09,-47.83196587985263
5.1,-48.87135855307185
5.11,-48.510896470406394
5.12,-48.798059471343734
5.13,-47.89752007507736
5.14,-46.50236473578853
5.15,-47.574587356066225
5.16,-47.141748857289365
5.17,-47.7669027318982
5.18,-47.63822053179
5.19,-48.72537377824186
5.2,-49.095041892122126
5.21,-46.118698408341736
5.22,-45.90683693839325
5.23,-49.64052358945536
5.24,-47.263231811533224
5.25,-46.5585842824651
5.26,-47.70232332929424
5.27,-48.510896470406394
5.28,-47.44870269411245
5.29,-46.96265200423083
5.3,-47.51141697116962
5.31,-47.02194158350561
5.32,-48.44056499594966
5.33,-47.02194158350561
5.34,-46.44650673210513
5.35,-45.39874534291136
5.36,-45.54807663661845
5.37,-45.70002027162887
5.38,-45.300598653016465
5.39,-42.246588275678
5.4,-43.700723232210535
5.41,-43.381939210181585
5.42,-42.59687322722811
5.43,-41.64961288170624
5.44,-43.61992367617574
5.45,-42.850758639792225
5.46,-40.07133147961686
5.47,-38.96847137601314
5.48,-37.59932376289611
5.49,-36.666097171717716
5.5,-34.06410476318697
5.51,-31.128170852772485
5.52,-31.291969521423425
5.53,-31.379953398932898
5.54,-31.071089225837348
5.55,-30.052254205090914
5.56,-32.03272165152002
5.57,-28.482695505249897
5.58,-27.202277949893123
5.59,-28.689257760976613
5.6,-26.845273330948878
5.61,-26.30841336811895
5.62,-25.208375432283326
5.63,-25.623716211618568
5.64,-24.75223203915341
5.65,-21.070028795119118
5.66,-19.631016683262462
5.67,-16.501532560873176
5.68,-17.696373818784355
5.69,-18.736214499832908
5.7,-19.91243882367998
5.71,-16.651662785947867
5.72,-16.319181793750268
5.73,-17.137324391053102
5.74,-16.782444021567954
5.75,-17.553202111949773
5.76,-17.040634454140765
5.77,-16.943144490229937
5.78,-15.81365378626815
5.79,-16.633653470688124
5.8,-16.907794349731674
5.81,-15.38877654415584
5.82,-15.228150963485628
5.83,-16.57091330783081
5.84,-18.660912738813796
5.85,-18.429992793914607
5.86,-19.71525962373603
5.87,-20.3565857035686
5.88,-19.620860716436816
5.89,-18.966117795281214
5.9,-21.058044123141073
5.91,-19.467435772481846
5.92,-18.731632125873784
5.93,-20.015387816694723
5.94,-17.927132086659505
5.95,-21.209054353005158
5.96,-19.067902106066782
5.97,-18.64048869106422
5.98,-17.985792442242698
5.99,-17.77193040585984
6.0,-17.12589308038176
6.01,-20.29329524084524
6.02,-18.877151031968214
6.03,-17.58526079521987
6.04,-16.68779382655812
6.05,-18.423358122958234
6.06,-16.80076482489709
6.07,-17.53921356010161
6.08,-16.980511248819166
6.09,-20.159977481154957
6.1,-15.283416619527513
6.11,-14.757562605366157
6.12,-14.263104471245082
6.13,-16.279365986775815
6.14,-15.357655444441857
6.15,-16.42742945757917
6.16,-15.161078123333873
6.17,-14.290535062929992
6.18,-15.155006197439583
6.19,-13.18409068339327
6.2,-12.631229541424746
6.21,-14.289161473990928
6.22,-12.916151806162464
6.23,-13.880038318843752
6.24,-13.865637111834008
6.25,-12.876372608443285
6.26,-15.31581805729636
6.27,-14.50751973066826
6.28,-17.179368383384386
6.29,-19.115653131433206
6.3,-18.518942773919083
6.31,-16.390613642566358
6.32,-17.254404777809405
6.33,-17.414320150250507
6.34,-15.459209407558854
6.35,-12.604036543566634
6.36,-14.671020312171375
6.37,-12.29619501954235
6.38,-17.82335678248099
6.39,-12.40275820967861
6.4,-11.496677052446206
6.41,-13.12623275330374
6.42,-11.956788184197013
6.43,-13.085481988933783
6.44,-11.699187393068966
6.45,-10.983347455845092
6.46,-13.116627123750746
6.47,-13.258178983798379
6.48,-12.341077780594178
6.49,-15.834960819369002
6.5,-15.277258597548153
6.51,-16.664291561143074
6.52,-14.802616262604806
6.53,-12.71790668041487
6.54,-16.738631118392078
6.55,-15.167154296815706
6.56,-18.525650888273407
6.57,-14.263104471245082
6.58,-16.698662511569257
6.59,-18.837643238409985
6.6,-16.52815191863092
6.61,-15.573103600707142
6.62,-16.460874002521745
6.63,-16.819124353267355
6.64,-15.20980694476016
6.65,-18.821427410932714
6.66,-13.851259742511344
6.67,-13.41945518428073
6.68,-16.57091330783081
6.69,-18.263457013190504
6.7,-13.769371960954484
6.71,-15.132274204255191
6.72,-18.683662593720946
6.73,-20.326258808446703
6.74,-15.555606152061518
6.75,-15.64665907035307
6.76,-18.283012495307606
6.77,-17.19278880928931
6.78,-14.31667460956438
6.79,-14.46116490922928
6.8,-14.447166695662752
6.81,-17.204308558508473
6.82,-13.51943775171039
6.83,-14.082861897567634
6.84,-15.64505339706297
6.85,-18.21799804776913
6.86,-16.608502997080077
6.87,-15.833319959887769
6.88,-17.684183094484172
6.89,-13.533275800262466
6.9,-16.722258088778478
6.91,-18.10644643767445
6.92,-17.051954033898433
6.93,-16.98987811011522
6.94,-18.56151525773305
6.95,-16.430943877873144
6.96,-17.511303860868274
6.97,-19.383081996765508
6.98,-19.241048496716754
6.99,-21.406259324928275
7.0,-16.04759218208157
7.01,-15.74029967970926
7.02,-16.42918648997882
7.03,-18.276489108115463
7.04,-19.262936512427274
7.05,-18.579503127766422
7.06,-20.865575765347092
7.07,-17.808926678897087
7.08,-17.33399444523397
7.09,-20.660102860829053
7.1,-20.729016065727212
7.11,-17.985792442242698
7.12,-19.888853651022277
7.13,-20.0900597257349
7.14,-18.905147477279836
7.15,-17.070852843873944
7.16,-18.004732003167188
7.17,-17.30673541032293
7.18,-19.646272933621578
7.19,-17.53522096539189
7.2,-17.881318129561294
7.21,-22.336312208426516
7.22,-21.12718290718263
7.23,-22.28788418375748
7.24,-22.81036761963059
7.25,-22.367587700006183
7.26,-23.21147024886968
