seconds_elapsed,dBFS
0.0,-51.7206201849085
0.01,-51.92743685167287
0.02,-48.03013165305762
0.03,-46.787173518080735
0.04,-43.700723232210535
0.05,-44.15907794093009
0.06,-40.31525704682628
0.07,-38.159898234900986
0.08,-36.522821516721955
0.09,-34.53149638368602
0.1,-32.65850794009675
0.11,-31.458916575832742
0.12,-30.555673400668866
0.13,-31.449006831873547
0.14,-29.332396968627354
0.15,-29.28594825024673
0.16,-30.939339728115655
0.17,-31.301701611671895
0.18,-30.213975587374332
0.19,-30.119980783220477
0.2,-27.46746947772866
0.21,-29.520716315671613
0.22,-37.823356782480985
0.23,-42.3501985257536
0.24,-42.77745955806411
0.25,-41.84408122045819
0.26,-16.682364579811043
0.27,-12.638041113833484
0.28,-9.289809503761337
0.29,-9.921687207744599
0.3,-10.046353178274291
0.31,-8.749292878604319
0.32,-10.36214488716191
0.33,-12.582568968004765
0.34,-10.441155950214307
0.35,-13.252082338894422
0.36,-12.76272383294959
0.37,-12.724786593359173
0.38,-14.619505823944028
0.39,-19.847081934143002
0.4,-18.501079755514102
0.41,-19.598053115661
0.42,-20.65724330865901
0.43,-20.4231233258877
0.44,-23.918549717885277
0.45,-24.548487991427102
0.46,-24.323212017440756
0.47,-22.44100479333232
0.48,-18.485479692958528
0.49,-19.272682252174043
0.5,-23.567804172783866
0.51,-29.819285345211014
0.52,-34.280924498847256
0.53,-33.67160321358432
0.54,-34.15829813781729
0.55,-34.15829813781729
0.56,-36.73863111839208
0.57,-35.34523815907035
0.58,-36.73863111839208
0.59,-39.01567741415257
0.6,-38.82837334463998
0.61,-38.333188563932055
0.62,-37.439945169470604
0.63,-38.92152050689344
0.64,-41.81136596657302
0.65,-39.182948683848615
0.66,-38.82837334463998
0.67,-41.876920161797734
0.68,-41.522344822589105
0.69,-45.20354859712824
0.7,-42.49029655712677
0.71,-42.668657847696984
0.72,-43.22682991624633
0.73,-45.15542720181067
0.74,-47.70232332929424
0.75,-46.729459753330964
0.76,-43.700723232210535
0.77,-47.263231811533224
0.78,-43.700723232210535
0.79,-42.49029655712677
0.8,-42.043003417569324
0.81,-39.96508074019487
0.82,-41.77877347190285
0.83,-43.46054508275023
0.84,-45.01264223900363
0.85,-45.01264223900363
0.86,-45.90683693839325
0.87,-46.39100565100968
0.88,-50.05225420509091
0.89,-50.05225420509091
0.9,-49.64052358945536
0.91,-51.7206201849085
0.92,-46.96265200423083
0.93,-49.481144996029855
0.94,-51.619029674323
0.95,-53.918119988356985
0.96,-51.41934525619099
0.97,-53.28383172481285
0.98,-51.03324215228325
0.99,-54.745973691521485
1.0,-54.745973691521485
1.01,-53.28383172481285
1.02,-55.50174490930948
1.03,-57.053842065562876
1.04,-56.505077098624085
1.05,-54.745973691521485
1.06,-52.24719895935549
1.07,-49.32463824579072
1.08,-45.49801373354236
1.09,-45.90683693839325
1.1,-38.20289777637217
1.11,-38.71332676685816
1.12,-38.645023219821894
1.13,-37.619453295979724
1.14,-37.70044119869388
1.15,-37.72080671713998
1.16,-39.231338166316874
1.17,-39.20710972762797
1.18,-40.651527027019284
1.19,-40.28781345483932
1.2,-39.88623702511363
1.21,-42.31552426957359
1.22,-43.1884815553319
1.23,-42.280987883563476
1.24,-47.44870269411245
1.25,-45.802813064677096
1.26,-49.247429829525956
1.27,-49.095041892122126
1.28,-49.80288139389895
1.29,-53.04254149678523
1.3,-54.18539921951661
1.31,-52.03272165152002
1.32,-54.60240199897902
1.33,-51.22414851040786
1.34,-50.939339728115655
1.35,-49.96833191321875
1.36,-48.510896470406394
1.37,-47.96357278607907
1.38,-46.118698408341736
1.39,-47.141748857289365
1.4,-45.95931981491623
1.41,-46.012121738240396
1.42,-47.7669027318982
1.43,-46.44650673210513
1.44,-45.85466927624269
1.45,-44.59785251903888
1.46,-46.33585696010591
1.47,-47.7669027318982
1.48,-48.653291292865354
1.49,-48.37079843903322
1.5,-48.301587796843094
1.51,-49.80288139389895
1.52,-49.247429829525956
1.53,-48.945281464271126
1.54,-52.807773431360346
1.55,-52.24719895935549
1.56,-54.32218771012272
1.57,-57.24474842368748
1.58,-57.24474842368748
1.59,-54.745973691521485
1.6,-56.15759517723562
1.61,-57.43994516947061
1.62,-55.19150158574453
1.63,-48.798059471343734
1.64,-45.05997690458577
1.65,-40.509829110697666
1.66,-37.579240772127044
1.67,-40.59457016956276
1.68,-38.898139901556405
1.69,-37.302848236555626
1.7,-35.01053900619659
1.71,-36.243171136821125
1.72,-36.8301587265126
1.73,-37.9062775997192
1.74,-36.72044076695198
1.75,-36.277638998075815
1.76,-38.59978410902434
1.77,-38.159898234900986
1.78,-39.15885466108119
1.79,-39.52747672333882
1.8,-39.552616797728874
1.81,-40.23318503805073
1.82,-39.80810255845745
1.83,-40.23318503805073
1.84,-41.9098837293992
1.85,-41.21210149902416
1.86,-43.782281480619325
1.87,-43.26534833696711
1.88,-42.850758639792225
1.89,-44.20197131026188
1.9,-45.95931981491623
1.91,-47.02194158350561
1.92,-46.787173518080735
1.93,-49.80288139389895
1.94,-53.04254149678523
1.95,-55.66112350273499
1.96,-56.32959861247397
1.97,-55.66112350273499
1.98,-55.823481307178575
1.99,-54.32218771012272
2.0,-53.16234877056899
2.01,-49.32463824579072
2.02,-47.574587356066225
2.03,-47.263231811533224
2.04,-45.39874534291136
2.05,-44.96556413113407
2.06,-45.49801373354236
2.07,-45.95931981491623
2.08,-45.85466927624269
2.09,-47.20227794989312
2.1,-46.39100565100968
2.11,-46.28105621278533
2.12,-47.3864379856296
2.13,-49.095041892122126
2.14,-47.574587356066225
2.15,-47.96357278607907
2.16,-50.48447718534446
2.17,-50.136995263955995
2.18,-50.05225420509091
2.19,-51.82341297795672
2.2,-49.72132314549016
2.21,-50.754526593417395
2.22,-52.807773431360346
2.23,-51.7206201849085
2.24,-51.92743685167287
2.25,-52.807773431360346
2.26,-54.891958466351475
2.27,-53.918119988356985
2.28,-51.128170852772485
2.29,-52.35645687338553
2.3,-58.053321564799646
2.31,-54.46116490922928
2.32,-54.18539921951661
2.33,-53.918119988356985
2.34,-54.745973691521485
2.35,-61.68172341601461
2.36,-62.009531739778
2.37,-57.844012891236346
2.38,-55.0404388279356
2.39,-56.68417395168261
2.4,-58.94496421785445
2.41,-60.20599913279624
2.42,-58.94496421785445
2.43,-53.787502645177824
2.44,-53.787502645177824
2.45,-50.663574038402984
2.46,-45.70002027162887
2.47,-45.10757093949286
2.48,-42.110336232568464
2.49,-40.94205209095121
2.5,-38.992042325724
2.51,-39.603116298338946
2.52,-38.20289777637217
2.53,-36.072854118370536
2.54,-36.225988362398375
2.55,-35.533387529506975
2.56,-32.70416318128475
2.57,-24.620384022303966
2.58,-17.061398298869406
2.59,-12.814724924038776
2.6,-14.300156272469223
2.61,-16.56377177432423
2.62,-16.943144490229937
2.63,-20.729016065727212
2.64,-20.792670438567995
2.65,-27.3864379856296
2.66,-27.753948382534894
2.67,-30.052254205090914
2.68,-31.679841285414255
2.69,-30.618452432318502
2.7,-29.640523589455363
2.71,-30.466768943455364
2.72,-29.16328581083006
2.73,-30.11148602495115
2.74,-30.162579640739466
2.75,-31.458916575832742
2.76,-33.0069192063718
2.77,-34.09091308582035
2.78,-32.90092059361382
2.79,-34.731509259139564
2.8,-34.29465713354666
2.81,-34.77497501942614
2.82,-34.267213541559705
2.83,-36.15759517723562
2.84,-37.28343841923147
2.85,-37.459708294351934
2.86,-36.59416392714908
2.87,-35.95558863914911
2.88,-37.9062775997192
2.89,-35.95558863914911
2.9,-40.651527027019284
2.91,-38.992042325724
2.92,-39.01567741415257
2.93,-40.260456299505705
2.94,-41.58574575837924
2.95,-40.260456299505705
2.96,-40.17889805109691
2.97,-40.04464669783558
2.98,-38.159898234900986
2.99,-36.32959861247398
3.0,-34.37751203498576
3.01,-31.95888850814342
3.02,-27.825437589700854
3.03,-26.55858428246509
3.04,-25.453202509620823
3.05,-24.271044355290194
3.06,-25.16022736199808
3.07,-29.528652259246115
3.08,-29.885212717795593
3.09,-29.934988725869488
3.1,-32.7270811091929
