seconds_elapsed,dBFS
0.0,-17.396623934340454
0.01,-17.227393993062947
0.02,-18.476577934927974
0.03,-17.20238753900754
0.04,-16.042548599453802
0.05,-17.156410071415316
0.06,-12.95847047519949
0.07,-15.191501585744529
0.08,-14.124540265405921
0.09,-15.589041017358483
0.1,-15.74029967970926
0.11,-16.44149567869065
0.12,-16.436218175963393
0.13,-15.89589156815987
0.14,-15.573103600707142
0.15,-15.281876704686486
0.16,-15.78097545713591
0.17,-14.036044792256423
0.18,-13.77584286167697
0.19,-15.930664978897134
0.2,-20.478963374447826
0.21,-17.561205696610116
0.22,-21.933032887387284
0.23,-25.165030176407463
0.24,-18.33537672105109
0.25,-18.256948290789225
0.26,-19.42267586424581
0.27,-15.294203674487342
0.28,-19.98622716485287
0.29,-20.2631881408989
0.3,-22.246588275678
0.31,-24.432911500807624
0.32,-24.28405692647013
0.33,-22.458576900555713
0.34,-14.537147580787169
0.35,-12.049686285112282
0.36,-19.839272052329797
0.37,-21.06103874121523
0.38,-22.270653688842863
0.39,-21.091041844063398
0.4,-19.31667390881265
0.41,-16.585214014313884
0.42,-8.3015877968431
0.43,-18.030049163587364
0.44,-19.774461352901646
0.45,-20.18431150695184
0.46,-21.643204995293843
0.47,-23.868749927546347
0.48,-15.147422254202107
0.49,-15.32509785480091
0.5,-20.0233577419868
0.51,-13.757736474099884
0.52,-20.40366381143815
0.53,-22.650655997443735
0.54,-25.383952453207918
0.55,-23.010478023394842
0.56,-22.308605997891185
0.57,-24.20627232032157
0.58,-26.091931392896495
0.59,-19.390492112077503
0.6,-23.257630975608183
0.61,-20.874365669593335
0.62,-17.945944031623966
0.63,-14.615226709165931
0.64,-13.597723665812422
0.65,-15.8103804153464
0.66,-14.86696731365412
0.67,-19.707567322446792
0.68,-18.94261699729212
0.69,-17.794520508679238
0.7,-19.12763201850362
0.71,-19.8288697880469
0.72,-17.641649796854217
0.73,-21.001341670225994
0.74,-18.786780816777565
0.75,-19.79773753379302
0.76,-20.930242585885132
0.77,-21.25181198327731
0.78,-21.88679610332567
0.79,-18.543564562347775
0.8,-21.10909357824653
0.81,-21.707497588155572
0.82,-20.883164478015583
0.83,-22.53631931215857
0.84,-22.7847616935409
0.85,-21.880210894793365
0.86,-22.164580840646426
0.87,-21.453134180398973
0.88,-20.824673417669253
0.89,-16.948739266357716
0.9,-21.643204995293843
0.91,-20.685881282633652
0.92,-20.950919768738352
0.93,-22.416463413750172
0.94,-21.3101789237276
0.95,-18.63369133349436
0.96,-20.749219174176567
0.97,-20.789766915345883
0.98,-20.25772531704709
0.99,-21.40314331067492
1.0,-21.778773471902856
1.01,-22.43398589223275
1.02,-18.429992793914607
1.03,-18.881810844117563
1.04,-17.32424925220221
1.05,-16.967414589910025
1.06,-14.52020500785077
1.07,-15.614601866080761
1.08,-16.885541844892693
1.09,-15.258810683417497
1.1,-14.652382595142521
1.11,-16.34524730187191
1.12,-18.89347132329939
1.13,-15.013524360973548
1.14,-16.52815191863092
1.15,-8.86841468263592
1.16,-12.71676055787734
1.17,-15.12924776184197
1.18,-18.164188622559504
1.19,-10.315080950977574
1.2,-18.670005531728002
1.21,-20.775263840281465
1.22,-22.82136473817671
1.23,-20.714613990402935
1.24,-19.262936512427274
1.25,-18.194280821659426
1.26,-15.900850683132186
1.27,-12.840261434753618
1.28,-12.563406008593896
1.29,-12.206038662074036
1.3,-14.603826032040336
1.31,-14.886071722894654
1.32,-12.977345157923379
1.33,-13.698508417249187
1.34,-10.381392434526155
1.35,-10.067446708574055
1.36,-10.07843562204357
1.37,-8.763094420552545
1.38,-8.751470612008747
1.39,-9.426046281619902
1.4,-9.720511418034029
1.41,-10.272594358427796
1.42,-11.18947425422785
1.43,-9.861256185465594
1.44,-10.228593234129526
1.45,-10.021108373723656
1.46,-8.902329582133099
1.47,-8.791492793997698
1.48,-9.854659098173757
1.49,-9.404104289631416
1.5,-8.968325902349113
1.51,-9.562062627832558
1.52,-9.700242846653373
1.53,-8.909719942179105
1.54,-9.6228481072631
1.55,-8.696468960758242
1.56,-7.790919331035885
1.57,-8.026791568556526
1.58,-7.970205768179241
1.59,-7.979500461027731
1.6,-8.419576126361463
1.61,-8.024788134194498
1.62,-8.326440144665014
1.63,-8.605328538138785
1.64,-8.269935149650369
1.65,-8.546276925183333
1.66,-7.943704177404771
1.67,-8.671975268845275
