seconds_elapsed,dBFS
0.0,-42.3501985257536
0.01,-41.00134167022599
0.02,-38.71332676685816
0.03,-37.927132086659505
0.04,-39.99152182496077
0.05,-39.552616797728874
0.06,-39.086971026213234
0.07,-37.24474842368748
0.08,-36.86704154048001
0.09,-36.904081637711876
0.1,-37.14877076605211
0.11,-38.44327735878521
0.12,-38.224477637504954
0.13,-40.31525704682628
0.14,-38.71332676685816
0.15,-38.944964217854455
0.16,-38.992042325724
0.17,-40.01804364598864
0.18,-40.37040573773005
0.19,-30.29164426856982
0.2,-31.156852957992452
0.21,-31.321198566296097
0.22,-34.03737892783052
0.23,-34.53149638368602
0.24,-33.59518726934584
0.25,-38.35509498068411
0.26,-35.50174490930948
0.27,-39.452490160010754
0.28,-41.2426318982536
0.29,-36.10665139695803
0.3,-34.32218771012272
0.31,-32.947871462733524
0.32,-34.40530690554588
0.33,-33.22287786317275
0.34,-37.24474842368748
0.35,-38.5100066726802
0.36,-37.65985285549987
0.37,-34.951046378832544
0.38,-35.93896492184887
0.39,-36.77512650669703
0.4,-38.8748220630206
0.41,-40.17889805109691
0.42,-36.94128036539435
0.43,-35.80710827756498
0.44,-36.05600466665013
0.45,-38.71332676685816
0.46,-38.805241800641134
0.47,-39.13482728853104
0.48,-39.452490160010754
0.49,-37.72080671713998
0.5,-38.37705678666515
0.51,-39.42763781218884
0.52,-38.20289777637217
0.53,-39.502409203376885
0.54,-41.1816780366135
0.55,-37.20623000296671
0.56,-37.11067469779735
0.57,-38.69049918568197
0.58,-38.736214499832904
0.59,-40.59457016956276
0.6,-37.51926891382263
0.61,-35.790766053293396
0.62,-33.46930260739208
0.63,-35.161078123333866
0.64,-38.944964217854455
0.65,-35.80710827756498
0.66,-34.29465713354666
0.67,-34.308411514311665
0.68,-33.918119988356985
0.69,-32.06455756854605
0.7,-36.072854118370536
0.71,-35.629012968426615
0.72,-34.03737892783052
0.73,-36.072854118370536
0.74,-37.07274498844913
0.75,-31.49866900054301
0.76,-34.51738445590585
0.77,-34.077498581782486
0.78,-36.0224035042897
0.79,-33.58251638505932
0.8,-34.58817449434327
0.81,-36.64805793441736
0.82,-35.34523815907035
0.83,-34.67389120614498
0.84,-35.95558863914911
0.85,-36.15759517723562
0.86,-35.26802974280558
0.87,-38.311337257720595
0.88,-33.5068768100592
0.89,-31.43910838107231
0.9,-28.9824801919536
0.91,-32.33449506740448
0.92,-31.948391963496753
0.93,-30.413859807441792
0.94,-29.04233152015937
0.95,-27.670212794985865
0.96,-28.790763469538803
0.97,-31.588782784890164
0.98,-32.936109931297835
0.99,-31.36032426145334
1.0,-33.04254149678523
1.01,-35.597020705230754
1.02,-32.36745863500595
1.03,-33.41945518428073
1.04,-32.06455756854605
1.05,-30.257039084796183
1.06,-33.93129040731416
1.07,-33.878728131098896
1.08,-33.28383172481285
1.09,-33.74869741471482
1.1,-30.618452432318502
1.11,-33.878728131098896
1.12,-30.939339728115655
1.13,-33.710064780361634
1.14,-33.95769130799874
1.15,-33.89183891040035
1.16,-36.17464305245918
