seconds_elapsed,dBFS
0.0,-17.152589578880413
0.01,-16.255219336011688
0.02,-15.968910558383415
0.03,-15.130760851234887
0.04,-12.320249613470807
0.05,-11.539604931841453
0.06,-11.96309068028057
0.07,-9.634895669837313
0.08,-9.118487644420547
0.09,-11.273508537559856
0.1,-12.521843961415726
0.11,-16.327861608241
0.12,-19.61071661059702
0.13,-31.41934525619098
0.14,-35.145906259846555
0.15,-35.77445451866291
0.16,-37.782191351693506
0.17,-40.708859840051346
0.18,-47.7669027318982
0.19,-49.885212717795596
0.2,-46.61517008284237
0.21,-34.44716669566275
0.22,-34.33598579028897
0.23,-34.23985638622608
0.24,-32.345469029240824
0.25,-33.78750264517783
0.26,-32.48940675940057
0.27,-31.166434745658094
0.28,-32.13929832162136
0.29,-33.46930260739208
0.3,-33.684404821853086
0.31,-34.433191005377985
0.32,-42.246588275678
0.33,-46.787173518080735
0.34,-50.48447718534446
0.35,-44.59785251903888
0.36,-33.74869741471482
0.37,-28.71090934585994
0.38,-24.87216656846438
0.39,-22.270653688842863
0.4,-22.312064444935906
0.41,-23.35459435851359
0.42,-24.18478853583913
0.43,-27.196206023998826
0.44,-37.302848236555626
0.45,-57.24474842368748
0.46,-60.76657360480111
0.47,-61.36583807234997
0.48,-29.520716315671613
0.49,-23.555820878671515
0.5,-22.096827847827
0.51,-22.350198525753605
0.52,-12.712177579463106
0.53,-8.898636758796975
0.54,-9.104866277847357
0.55,-8.486919817388639
0.56,-9.176999173338734
0.57,-9.167092906941011
0.58,-9.040079636733696
0.59,-10.046353178274291
0.6,-11.290024411206351
0.61,-10.991799963052923
0.62,-12.469334082155019
0.63,-12.23309584437365
0.64,-11.308520568727827
0.65,-11.806884163001081
0.66,-11.771864520200513
0.67,-13.241119150181042
0.68,-12.71103221259416
0.69,-12.732820052010247
0.7,-11.904444470055786
0.71,-11.590795970584209
0.72,-11.513623190127358
0.73,-11.685945928728492
0.74,-11.821345155154894
0.75,-13.210738253037245
0.76,-18.96141254617478
0.77,-19.185361766136133
0.78,-20.425906818825503
0.79,-22.195242965738807
0.8,-20.157277903934144
0.81,-20.56623118965063
0.82,-11.901313855627208
0.83,-8.362463984878904
0.84,-8.540606358872534
0.85,-8.00411299264926
0.86,-10.459695743033492
0.87,-12.286373672086919
0.88,-11.590795970584209
0.89,-12.320249613470807
0.9,-13.1358490173782
0.91,-12.700730701636026
0.92,-14.456963075895029
0.93,-13.315697589619703
0.94,-13.746116553118632
0.95,-13.688248986393848
0.96,-13.860406223607221
0.97,-13.876108348350014
0.98,-15.312726993335602
0.99,-15.767938472117212
1.0,-13.784910229209304
1.01,-24.517219648342422
1.02,-30.282980038785997
1.03,-34.44716669566275
1.04,-38.645023219821894
1.05,-44.96556413113407
1.06,-48.03013165305762
1.07,-44.28839878591474
1.08,-32.16077148370263
1.09,-14.064104763186974
1.1,-13.770665755495948
1.11,-14.422026621272703
1.12,-12.878707525026718
1.13,-12.298379050139241
1.14,-13.102238567774485
1.15,-16.673323369836734
1.16,-17.139231073014017
1.17,-16.885541844892693
1.18,-18.036390000689543
1.19,-25.06472458966602
1.2,-26.502364735788525
1.21,-29.544545931819982
1.22,-25.608535509289887
1.23,-21.801575370415534
1.24,-21.58574575837924
1.25,-20.848022597423604
1.26,-20.983512263408514
1.27,-20.775263840281465
1.28,-20.304269202681574
1.29,-19.49740436910527
1.3,-19.05838332194913
1.31,-17.38288509349918
1.32,-17.798634119761605
1.33,-12.267852483025026
1.34,-12.12215793196819
1.35,-12.585955059778424
1.36,-12.98088873163326
1.37,-13.362482083485885
1.38,-12.755813816962185
1.39,-12.98798021900886
1.4,-13.104635005819226
1.41,-14.009405023979223
1.42,-13.010474868414247
1.43,-13.941841140027263
1.44,-13.068757674190026
1.45,-12.891560797839501
1.46,-14.029377186464922
1.47,-13.090266285192483
1.48,-12.246113291003587
1.49,-12.933759534953353
1.5,-13.57239296941678
1.51,-13.418212656614198
1.52,-13.360013449210902
1.53,-12.584826215844407
1.54,-11.542607832351246
1.55,-13.010474868414247
1.56,-12.825162605612935
1.57,-13.42069788971787
1.58,-13.563544649148351
1.59,-15.848098866325454
1.6,-16.265559682040134
1.61,-19.272682252174043
1.62,-27.117654834521954
1.63,-34.39139835231285
1.64,-35.50174490930948
1.65,-36.072854118370536
1.66,-36.43445972072142
1.67,-37.459708294351934
1.68,-39.27999873973685
1.69,-40.31525704682628
1.7,-41.97618855242873
1.71,-41.3969146337224
1.72,-40.651527027019284
1.73,-36.10665139695803
1.74,-35.92237295951982
1.75,-34.077498581782486
1.76,-28.63894630258901
1.77,-27.087630989770865
1.78,-13.319381954314633
1.79,-10.12423127982503
1.8,-10.587006198091766
1.81,-10.519112443740173
1.82,-11.77494881554146
1.83,-12.102915337822981
1.84,-12.499460519990942
1.85,-11.392736167447588
1.86,-11.933718078634376
1.87,-12.812407141599921
1.88,-12.815884047232336
1.89,-13.019963756030696
1.9,-11.747229505894941
1.91,-11.066349313229647
1.92,-10.9974395409838
1.93,-11.531602268934623
1.94,-11.72573103509307
1.95,-11.542607832351246
1.96,-12.291828605154524
1.97,-15.189977879111717
1.98,-17.402518667948492
1.99,-17.559204108944144
2.0,-25.36426770905907
2.01,-27.587276751512412
2.02,-33.15029340480577
2.03,-35.08548243607973
2.04,-40.37040573773005
2.05,-42.280987883563476
2.06,-43.1884815553319
2.07,-42.009531739778
2.08,-39.552616797728874
2.09,-38.57725260575926
2.1,-39.730664693641266
2.11,-36.77512650669703
2.12,-32.32353495284228
2.13,-27.741013324838228
2.14,-16.86149912427277
2.15,-8.353444008408692
2.16,-8.202883443332855
2.17,-10.372638261604049
2.18,-12.1061194779041
2.19,-12.162921722514968
2.2,-11.256055304015495
2.21,-11.060664830279332
2.22,-11.045524371689325
2.23,-11.308520568727827
2.24,-10.39804970969161
2.25,-12.59386107780901
2.26,-14.215308401055548
2.27,-14.67389120614498
2.28,-12.88571604313537
2.29,-16.281093318915953
2.3,-15.952261349455846
2.31,-15.670779856856909
2.32,-12.61762240082769
2.33,-11.835830263328234
2.34,-12.512883661832648
2.35,-12.353159060409862
2.36,-14.194904610517067
2.37,-13.671603213584325
2.38,-13.724210136366576
2.39,-12.277652898625357
2.4,-13.434379396952515
2.41,-13.865637111834008
2.42,-14.646655949385014
2.43,-13.58378264202462
2.44,-12.95847047519949
2.45,-14.124540265405921
2.46,-14.801159265262118
2.47,-14.406698986587092
