seconds_elapsed,dBFS
0.0,-46.5585842824651
0.01,-47.89752007507736
0.02,-46.61517008284237
0.03,-45.39874534291136
0.04,-46.118698408341736
0.05,-46.67212694029891
0.06,-46.22659904607586
0.07,-47.70232332929424
0.08,-48.301587796843094
0.09,-48.37079843903322
0.1,-47.08163865449485
0.11,-46.44650673210513
0.12,-46.118698408341736
0.13,-46.44650673210513
0.14,-46.787173518080735
0.15,-48.510896470406394
0.16,-48.44056499594966
0.17,-47.3864379856296
0.18,-46.96265200423083
0.19,-47.63822053179
0.2,-47.51141697116962
0.21,-48.653291292865354
0.22,-49.64052358945536
0.23,-49.095041892122126
0.24,-45.64907649135128
0.25,-45.70002027162887
0.26,-45.95931981491623
0.27,-46.118698408341736
0.28,-46.67212694029891
0.29,-45.85466927624269
0.3,-45.90683693839325
0.31,-43.421153225492134
0.32,-42.49029655712677
0.33,-44.11639535067637
0.34,-43.0744419788425
0.35,-42.38501175727962
0.36,-42.7410406802316
0.37,-43.782281480619325
0.38,-44.508306471944
0.39,-45.251938079596485
0.4,-41.68172341601461
0.41,-42.280987883563476
0.42,-44.41967417596249
0.43,-43.86461280451597
0.44,-43.46054508275023
0.45,-42.009531739778
0.46,-43.1884815553319
0.47,-44.68833135423981
0.48,-43.7414066304196
0.49,-42.7410406802316
0.5,-41.30401653280713
0.51,-43.381939210181585
0.52,-45.75126460692089
0.53,-43.50011640239199
0.54,-44.508306471944
0.55,-45.90683693839325
0.56,-45.34953337195822
0.57,-45.59842976104338
0.58,-46.787173518080735
0.59,-47.70232332929424
0.6,-47.574587356066225
0.61,-47.08163865449485
0.62,-46.96265200423083
0.63,-47.20227794989312
0.64,-45.54807663661845
0.65,-49.40253912346121
0.66,-48.097204493209375
0.67,-45.54807663661845
0.68,-47.96357278607907
0.69,-47.44870269411245
0.7,-48.72537377824186
0.71,-46.33585696010591
0.72,-48.23292428007521
0.73,-49.481144996029855
0.74,-47.02194158350561
0.75,-47.44870269411245
0.76,-46.67212694029891
0.77,-45.44823772546847
0.78,-48.798059471343734
0.79,-46.729459753330964
0.8,-46.50236473578853
0.81,-44.96556413113407
0.82,-46.61517008284237
0.83,-44.82584171392076
0.84,-46.39100565100968
0.85,-45.20354859712824
0.86,-46.06524661111521
0.87,-46.22659904607586
0.88,-48.72537377824186
0.89,-47.02194158350561
0.9,-50.939339728115655
0.91,-51.03324215228325
0.92,-49.96833191321875
0.93,-51.32119856629609
0.94,-53.65882044506962
0.95,-51.22414851040786
0.96,-49.247429829525956
0.97,-47.3864379856296
0.98,-50.05225420509091
0.99,-50.754526593417395
1.0,-49.095041892122126
1.01,-48.301587796843094
1.02,-47.83196587985263
1.03,-48.87135855307185
1.04,-48.301587796843094
1.05,-49.17090167246491
1.06,-48.44056499594966
1.07,-48.164799306236986
1.08,-51.7206201849085
1.09,-51.128170852772485
1.1,-48.945281464271126
1.11,-51.518613646821976
1.12,-48.798059471343734
1.13,-49.01983891465598
1.14,-48.72537377824186
1.15,-52.807773431360346
1.16,-48.581802085699394
1.17,-49.01983891465598
1.18,-49.481144996029855
1.19,-54.18539921951661
1.2,-48.798059471343734
1.21,-52.69272685357852
1.22,-51.518613646821976
1.23,-55.0404388279356
1.24,-53.16234877056899
1.25,-51.92743685167287
1.26,-49.72132314549016
1.27,-45.64907649135128
1.28,-45.44823772546847
1.29,-47.20227794989312
1.3,-49.095041892122126
1.31,-47.3864379856296
1.32,-46.28105621278533
1.33,-44.20197131026188
1.34,-46.90376439129521
1.35,-46.90376439129521
1.36,-45.95931981491623
1.37,-46.06524661111521
1.38,-46.28105621278533
1.39,-45.34953337195822
1.4,-42.56120217241977
1.41,-43.03675910135147
1.42,-46.84527333094888
1.43,-44.87216656846438
1.44,-44.96556413113407
1.45,-46.84527333094888
1.46,-46.90376439129521
1.47,-48.653291292865354
1.48,-48.87135855307185
1.49,-51.619029674323
1.5,-50.754526593417395
1.51,-52.35645687338553
1.52,-51.619029674323
1.53,-48.945281464271126
1.54,-48.37079843903322
1.55,-48.945281464271126
1.56,-49.885212717795596
1.57,-50.573564013869465
1.58,-47.32461644608676
1.59,-50.136995263955995
1.6,-49.32463824579072
1.61,-49.64052358945536
1.62,-50.39629480724336
1.63,-49.481144996029855
1.64,-47.7669027318982
1.65,-52.03272165152002
1.66,-51.7206201849085
1.67,-51.92743685167287
1.68,-51.619029674323
1.69,-55.19150158574453
1.7,-54.60240199897902
1.71,-56.505077098624085
1.72,-54.60240199897902
1.73,-54.05073156633725
1.74,-52.57918419574472
1.75,-53.04254149678523
1.76,-53.65882044506962
1.77,-55.98893182649837
1.78,-58.713326766858145
1.79,-57.63962958760263
1.8,-55.66112350273499
1.81,-55.98893182649837
1.82,-55.98893182649837
1.83,-57.43994516947061
1.84,-58.713326766858145
1.85,-55.50174490930948
1.86,-45.95931981491623
1.87,-46.61517008284237
1.88,-47.63822053179
1.89,-47.83196587985263
1.9,-49.885212717795596
1.91,-48.097204493209375
1.92,-43.82334959324051
1.93,-42.9246815509915
1.94,-44.03165429181129
1.95,-43.15030175918528
1.96,-42.81403177899228
1.97,-43.1884815553319
1.98,-43.7414066304196
1.99,-46.50236473578853
2.0,-41.490817057890006
2.01,-40.37040573773005
2.02,-42.38501175727962
2.03,-42.38501175727962
2.04,-43.86461280451597
2.05,-44.03165429181129
2.06,-41.942972872799444
2.07,-43.539868827102254
2.08,-44.24507755078458
2.09,-45.01264223900363
2.1,-46.84527333094888
2.11,-49.17090167246491
2.12,-47.20227794989312
2.13,-47.7669027318982
2.14,-50.573564013869465
2.15,-49.01983891465598
2.16,-46.33585696010591
2.17,-47.7669027318982
2.18,-46.96265200423083
2.19,-50.05225420509091
2.2,-48.945281464271126
2.21,-51.92743685167287
2.22,-47.141748857289365
2.23,-42.49029655712677
2.24,-37.96899187677637
2.25,-42.07660457992975
2.26,-48.945281464271126
2.27,-47.20227794989312
2.28,-47.32461644608676
2.29,-45.90683693839325
2.3,-44.55296410058984
2.31,-46.96265200423083
2.32,-47.89752007507736
2.33,-44.24507755078458
2.34,-46.17248117855736
2.35,-46.96265200423083
2.36,-47.83196587985263
2.37,-49.32463824579072
2.38,-45.54807663661845
2.39,-45.44823772546847
2.4,-44.41967417596249
2.41,-44.15907794093009
2.42,-46.012121738240396
2.43,-42.280987883563476
2.44,-43.1884815553319
2.45,-43.61992367617574
2.46,-43.22682991624633
2.47,-41.42810278083282
2.48,-42.178195090515246
2.49,-42.3501985257536
2.5,-43.0744419788425
2.51,-41.71395309914619
2.52,-44.03165429181129
2.53,-43.57980402222377
2.54,-40.76657360480111
2.55,-42.07660457992975
2.56,-44.073921478079264
2.57,-42.246588275678
2.58,-43.0744419788425
2.59,-43.57980402222377
2.6,-44.68833135423981
2.61,-41.97618855242873
2.62,-43.22682991624633
2.63,-41.77877347190285
2.64,-41.64961288170624
2.65,-40.76657360480111
2.66,-41.06103874121523
2.67,-39.086971026213234
2.68,-42.07660457992975
2.69,-40.4537909186576
2.7,-42.56120217241977
2.71,-41.21210149902416
2.72,-41.97618855242873
2.73,-40.623001912258644
2.74,-41.03113891947621
2.75,-42.59687322722811
2.76,-42.2123243667956
2.77,-41.71395309914619
2.78,-44.073921478079264
2.79,-43.989591790056004
2.8,-45.70002027162887
2.81,-45.59842976104338
2.82,-46.06524661111521
2.83,-43.86461280451597
2.84,-45.95931981491623
2.85,-43.3040383325111
2.86,-42.52567701190371
2.87,-43.61992367617574
2.88,-42.59687322722811
2.89,-43.539868827102254
2.9,-43.381939210181585
2.91,-42.88764145375963
2.92,-43.0744419788425
2.93,-44.24507755078458
2.94,-43.57980402222377
2.95,-44.82584171392076
2.96,-44.24507755078458
2.97,-46.28105621278533
2.98,-47.32461644608676
2.99,-46.61517008284237
3.0,-45.44823772546847
3.01,-51.619029674323
3.02,-47.44870269411245
3.03,-48.510896470406394
3.04,-46.96265200423083
3.05,-48.097204493209375
3.06,-47.20227794989312
3.07,-51.41934525619099
3.08,-49.17090167246491
3.09,-52.467106645384746
3.1,-52.69272685357852
3.11,-51.619029674323
3.12,-48.945281464271126
3.13,-47.32461644608676
3.14,-46.33585696010591
3.15,-45.64907649135128
3.16,-44.64297412512336
3.17,-47.263231811533224
3.18,-47.3864379856296
3.19,-49.481144996029855
3.2,-49.80288139389895
3.21,-51.41934525619099
3.22,-50.30899869919435
3.23,-49.095041892122126
3.24,-48.510896470406394
3.25,-46.67212694029891
3.26,-46.39100565100968
3.27,-48.945281464271126
3.28,-46.96265200423083
3.29,-50.30899869919435
3.3,-48.653291292865354
3.31,-46.118698408341736
3.32,-46.61517008284237
3.33,-47.96357278607907
3.34,-49.96833191321875
3.35,-50.39629480724336
3.36,-52.92436430457484
3.37,-49.481144996029855
3.38,-48.581802085699394
3.39,-48.23292428007521
3.4,-56.505077098624085
3.41,-50.754526593417395
3.42,-50.39629480724336
3.43,-50.136995263955995
3.44,-49.17090167246491
3.45,-50.22257122354151
3.46,-47.574587356066225
3.47,-47.89752007507736
3.48,-49.17090167246491
3.49,-46.06524661111521
3.5,-44.59785251903888
3.51,-44.779762615729474
3.52,-44.20197131026188
3.53,-44.37569489396373
3.54,-44.11639535067637
3.55,-44.87216656846438
3.56,-46.61517008284237
3.57,-46.22659904607586
3.58,-46.118698408341736
3.59,-45.90683693839325
3.6,-46.729459753330964
3.61,-46.84527333094888
3.62,-46.787173518080735
3.63,-44.96556413113407
3.64,-44.41967417596249
3.65,-46.06524661111521
3.66,-46.06524661111521
3.67,-45.75126460692089
3.68,-44.55296410058984
3.69,-44.463877272064835
3.7,-45.75126460692089
3.71,-45.802813064677096
3.72,-45.64907649135128
3.73,-44.779762615729474
3.74,-44.20197131026188
3.75,-44.82584171392076
3.76,-45.300598653016465
3.77,-45.90683693839325
3.78,-45.01264223900363
3.79,-44.96556413113407
3.8,-44.59785251903888
3.81,-44.11639535067637
3.82,-44.28839878591474
3.83,-45.01264223900363
3.84,-44.508306471944
3.85,-44.64297412512336
3.86,-43.539868827102254
3.87,-43.1122890523966
3.88,-43.0744419788425
3.89,-43.1884815553319
3.9,-44.20197131026188
3.91,-43.66022950088225
3.92,-42.49029655712677
3.93,-41.64961288170624
3.94,-42.668657847696984
3.95,-41.81136596657302
3.96,-41.68172341601461
3.97,-41.42810278083282
3.98,-41.9098837293992
3.99,-41.30401653280713
4.0,-41.876920161797734
4.01,-42.31552426957359
4.02,-42.41996508267003
4.03,-42.63269137958573
4.04,-42.41996508267003
4.05,-43.989591790056004
4.06,-44.87216656846438
4.07,-42.850758639792225
4.08,-42.31552426957359
4.09,-42.81403177899228
4.1,-42.59687322722811
4.11,-42.009531739778
4.12,-42.178195090515246
4.13,-42.49029655712677
4.14,-41.5539874427866
4.15,-40.4537909186576
4.16,-40.17889805109691
4.17,-40.88316447801559
4.18,-41.33487230109275
4.19,-41.81136596657302
4.2,-42.59687322722811
4.21,-43.26534833696711
4.22,-42.7410406802316
4.23,-42.043003417569324
4.24,-41.61762061851039
4.25,-40.97164629211217
4.26,-39.6539111193444
4.27,-38.898139901556405
4.28,-39.15885466108119
4.29,-39.378145429631736
4.3,-39.25563437695049
4.31,-40.20599913279624
4.32,-40.17889805109691
4.33,-39.13482728853104
4.34,-40.31525704682628
4.35,-40.708859840051346
4.36,-40.151881265277744
4.37,-41.36583807234997
4.38,-43.57980402222377
4.39,-46.118698408341736
4.4,-44.87216656846438
4.41,-44.96556413113407
4.42,-46.39100565100968
4.43,-45.44823772546847
4.44,-43.782281480619325
4.45,-42.246588275678
4.46,-39.6539111193444
4.47,-40.17889805109691
4.48,-42.3501985257536
4.49,-37.63962958760262
4.5,-38.7821716950785
4.51,-39.502409203376885
4.52,-38.8748220630206
4.53,-40.04464669783558
4.54,-36.26038797028385
4.55,-39.52747672333882
4.56,-40.651527027019284
4.57,-40.76657360480111
4.58,-39.1108661984721
4.59,-38.992042325724
4.6,-37.47951648911237
4.61,-40.76657360480111
4.62,-40.97164629211217
4.63,-43.86461280451597
4.64,-41.490817057890006
4.65,-41.273269988708556
4.66,-41.74630281861858
4.67,-42.99923900137636
4.68,-42.96188027867397
4.69,-42.110336232568464
4.7,-42.59687322722811
4.71,-44.508306471944
4.72,-43.989591790056004
4.73,-44.20197131026188
4.74,-38.805241800641134
4.75,-44.82584171392076
4.76,-44.37569489396373
4.77,-41.459403317905384
4.78,-45.54807663661845
4.79,-48.03013165305762
4.8,-45.49801373354236
4.81,-41.77877347190285
4.82,-46.06524661111521
4.83,-45.34953337195822
4.84,-42.59687322722811
4.85,-43.539868827102254
4.86,-43.86461280451597
4.87,-45.70002027162887
4.88,-44.779762615729474
4.89,-47.32461644608676
4.9,-47.20227794989312
4.91,-46.5585842824651
4.92,-47.02194158350561
4.93,-46.44650673210513
4.94,-46.90376439129521
4.95,-49.96833191321875
4.96,-45.85466927624269
4.97,-45.70002027162887
4.98,-47.7669027318982
4.99,-47.83196587985263
5.0,-44.779762615729474
5.01,-45.300598653016465
