seconds_elapsed,dBFS
0.0,-25.751264606920884
0.01,-22.02290493662772
0.02,-20.09273848894443
0.03,-19.565214174321465
0.04,-21.30093697608703
0.05,-21.500263377078884
0.06,-23.757733495448797
0.07,-24.588856257604867
0.08,-26.107981701691614
0.09,-28.96014184366674
0.1,-34.433191005377985
0.11,-36.31224418184944
0.12,-34.39139835231285
0.13,-32.6813055637829
0.14,-28.886092890172698
0.15,-28.050199177512752
0.16,-27.202277949893123
0.17,-26.22659904607586
0.18,-22.8250335406127
0.19,-23.539868827102257
0.2,-21.79831428922909
0.21,-21.54131655850008
0.22,-20.04997709974454
0.23,-16.891099628790155
0.24,-14.977767646443738
0.25,-15.493852233038945
0.26,-18.333188563932055
0.27,-20.084704676466597
0.28,-19.76155704264212
0.29,-17.66998217401002
0.3,-17.42613768899598
0.31,-16.462637814008783
0.32,-15.50174490930948
0.33,-15.64505339706297
0.34,-17.93548792149156
0.35,-20.7318993486211
0.36,-21.304016532807136
0.37,-22.26377105010075
0.38,-23.436888537110917
0.39,-24.065451570398785
0.4,-24.310140698739016
0.41,-24.811992298861057
0.42,-24.040091290666076
0.43,-22.755589912507897
0.44,-22.106957166337146
0.45,-20.749219174176567
0.46,-20.792670438567995
0.47,-21.73334846925527
0.48,-22.069873940586326
0.49,-23.15411219558684
0.5,-23.425084381765657
0.51,-23.456597848127394
0.52,-25.11234471792468
0.53,-26.45207639541752
0.54,-31.64938226073039
0.55,-39.01567741415257
0.56,-44.073921478079264
0.57,-47.83196587985263
0.58,-50.754526593417395
0.59,-52.35645687338553
0.6,-76.32959861247397
0.61,-76.32959861247397
0.62,-39.502409203376885
0.63,-32.55665269247964
0.64,-30.56461410103426
0.65,-28.878722597292573
0.66,-26.752499261900724
0.67,-26.45207639541752
0.68,-26.204911420231465
0.69,-25.46811391180334
0.7,-24.539542687198708
0.71,-24.53507348738924
0.72,-25.65924137213463
0.73,-24.406456994150535
0.74,-23.92687751299883
0.75,-25.26164840999638
0.76,-21.640002823962433
0.77,-23.93104440664462
0.78,-28.56757458106365
0.79,-27.43621399370349
0.8,-11.971501128420691
0.81,-8.241819901863101
0.82,-7.134513630183741
0.83,-8.087110489007639
0.84,-8.907502173843792
0.85,-8.3888839048921
0.86,-8.862529933333542
0.87,-8.753648891553219
0.88,-8.6432473126487
0.89,-8.359687609711244
0.9,-9.939982051467236
0.91,-8.855914352533674
0.92,-8.674853297247374
0.93,-8.331972558634263
0.94,-8.16479930623699
0.95,-8.16615658253291
0.96,-8.347897905809491
0.97,-8.648267850955065
0.98,-8.835364709668688
0.99,-8.759460309107512
1.0,-8.936377424908024
1.01,-8.986954763858895
1.02,-8.978753142062448
1.03,-9.466155037895234
1.04,-8.963116972874824
1.05,-8.055558356851712
1.06,-8.798789408706083
1.07,-8.655445086232113
1.08,-8.226087688114195
1.09,-9.077687461497586
1.1,-8.845633453892326
1.11,-8.051538662385187
1.12,-7.914645517084459
1.13,-9.262046714701082
1.14,-9.959984108983635
1.15,-9.791417033327022
